セクション,セクション_ja,項目,項目_ja,2026年モデル Ultra,2026年モデル Livis,Unnamed 4
座椅配置,シート装備,座椅材质,シート素材,● 本革,● 本革,–
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）",–
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）",–
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席●／助手席●（エアバッグ）,運転席●／助手席●（エアバッグ）,–
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● シートヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー
● ヘッドレストヒーター","● シートヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー
● ヘッドレストヒーター",–
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席","● 運転席
● 助手席",–
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,–
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● 前後調整
● 背もたれ調整
● レッグレスト調整
● フットレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整
● フットレスト調整",–
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,–
座椅配置,シート装備,第二排座椅功能,2列目シート機能,"● シートヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー
● ヘッドレストヒーター","● シートヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー
● ヘッドレストヒーター",–
座椅配置,シート装備,后排小桌板,後席折りたたみテーブル,●,●,–
座椅配置,シート装備,零重力座椅,ゼログラビティシート,"● 1列目
● 2列目","● 1列目
● 2列目",–
座椅配置,シート装備,第二排独立座椅,2列目独立シート,●,●,–
座椅配置,シート装備,第三排座椅调节,3列目シート調整,● 背もたれ調整,● 背もたれ調整,–
座椅配置,シート装備,第三排座椅电动调节,3列目電動シート調整,●,●,–
座椅配置,シート装備,第三排座椅功能,3列目シート機能,● 加熱,● 加熱,–
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-2-2,● 2-2-2,–
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方式,● 分割可倒式,● 分割可倒式,–
座椅配置,シート装備,后排座椅电动放倒,後席電動可倒,●,●,–
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,–
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,–
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,–
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 33スピーカー,● 33スピーカー,–
音响/车内灯光,オーディオ・室内照明,功放最大输出功率（W）,アンプ最大出力（W）,● 5440,● 5440,–
音响/车内灯光,オーディオ・室内照明,扬声器布局,スピーカー配置,● 9.3.6,● 9.3.6,–
音响/车内灯光,オーディオ・室内照明,杜比全景声(Dolby Atmos),ドルビーアトモス(Dolby Atmos),●,●,–
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,–
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 256色,● 256色,–
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,–
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,–
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,–
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,–
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,–
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,–
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,–
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,–
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,●,●,–
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,●,●,–
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,–
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,●,●,–
特色配置,特徴装備,车门电容防夹,ドア容量式挟み込み防止,●,●,–
颜色,カラー,外观颜色,外装色,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–
选装包,オプションパッケージ,Livis专属设计套件,Livis専用デザインキット,-,○ オプション（無料）,–
