セクション,セクション_ja,項目,項目_ja,2026年モデル 9X 2.0T 自動2WD 豪華型,2026年モデル 9X 2.0T 自動2WD 尊貴型,2026年モデル 9X 2.0T 自動2WD 先導型,2026年モデル 2.0T デュアルクラッチ2WD 快適版,2026年モデル 2.0T デュアルクラッチ2WD 豪華版,2026年モデル 2.0T 自動2WD 輝享版,2026年モデル 2.0T 自動4WD 至高版,2026年モデル 2.0T 自動4WD 旗艦版,2025年モデル 2.0T デュアルクラッチ2WD 快適版 5人乗り,2025年モデル 2.0T デュアルクラッチ2WD 快適版 7人乗り,2025年モデル 2.0T デュアルクラッチ2WD 豪華版 5人乗り,2025年モデル 2.0T デュアルクラッチ2WD 豪華版 7人乗り,2025年モデル 2.0T 自動2WD 尊享版 5人乗り,2025年モデル 2.0T 自動2WD 尊享版 7人乗り,2025年モデル 2.0T 自動4WD 至高版 5人乗り,2025年モデル 2.0T 自動4WD 至高版 7人乗り,2025年モデル 2.0T 自動4WD 旗艦版 5人乗り,2025年モデル 2.0T 自動4WD 旗艦版 7人乗り,2025年モデル 2.0T デュアルクラッチ2WD ブラックウォリアー版 5人乗り,2027年モデル 2.0T 自動4WD上級グレード
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,-
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 運転席,● 前席,● 前席,● 前席,● 前席,● 運転席,● 運転席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),○,●,●,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,○,●,●,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,-,●,-,●,-,●,●,-,-,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
○ オフロード
○ スノー","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適",-
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,-,-,-,● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整,-,-,-,-,● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前 ○ / 後 ●,前- / 後 ●,前席●／後席●,前- / 後 ●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前- / 後 ●,前- / 後 ●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,-
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,-
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,-
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,-,-,-,-,-,-,-,● 1個,-,-,-,-,-,-,-,-,● 1個,● 1個,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,"● 4個
○ 8個",● 4個,● 12個,● 4個,● 8個,● 8個,● 8個,● 8個,● 4個,● 4個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,-
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,○,●,●,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,○,●,●,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,循迹倒车,トレースバック機能（バック時）,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,-,● 高速道路区間,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,-
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,"● リモコンキー
● Bluetoothキー",● リモコンキー,● リモコンキー,"● リモコンキー
● Bluetoothキー",● リモコンキー,"● リモコンキー
● Bluetoothキー",● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー",● リモコンキー,-
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,外部照明,灯光特色功能,ライト特別機能,-,-,-,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,-
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,-
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,-
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインド多層防音ガラス,● 前席,● 前席,● 前席,-,● 前席,● 前席,● 前席,● 前席,-,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-
天窗/玻璃,サンルーフ・ガラス,后排侧窗遮阳帘,後席サイドウインド日よけカーテン,-,-,-,-,-,-,-,● 手動,-,-,-,-,-,-,-,-,● 手動,● 手動,-,-
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席サイドプライバシーガラス,-,-,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯",-
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
○ ミラー記憶機能
● ミラー加熱
○ バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納",-
互联/智能化,互联/智能化,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-
互联/智能化,互联/智能化,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,-
互联/智能化,互联/智能化,中控屏幕分辨率,センター画面解像度,● 2.5K,● 2.5K,● 2.5K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,互联/智能化,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
互联/智能化,互联/智能化,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応",-
互联/智能化,互联/智能化,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ",-
互联/智能化,互联/智能化,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小奇,● こんにちは、小奇,● こんにちは、小奇,● こんにちは、小奇,● こんにちは、小奇,● こんにちは、小奇,● こんにちは、小奇,● こんにちは、小奇,● こんにちは、小奇,● こんにちは、小奇,● こんにちは、小奇,● こんにちは、小奇,● こんにちは、小奇,● こんにちは、小奇,● こんにちは、小奇,● こんにちは、小奇,● こんにちは、小奇,● こんにちは、小奇,● こんにちは、小奇,-
互联/智能化,互联/智能化,语音分区域唤醒识别,音声エリア別起動認識,"● デュアルゾーン
○ クアッドゾーン",● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,-
互联/智能化,互联/智能化,语音连续识别,連続音声認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
互联/智能化,互联/智能化,面部识别,顔認証,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-
互联/智能化,互联/智能化,声纹识别,声紋認証,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-
互联/智能化,互联/智能化,应用商店,アプリストア,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,互联/智能化,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm 8255,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,-
互联/智能化,互联/智能化,车联网,コネクテッドカー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
互联/智能化,互联/智能化,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,-
互联/智能化,互联/智能化,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
互联/智能化,互联/智能化,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
