セクション,項目,岚图梦想家 2027款 PHEV 冠军版,岚图梦想家 2026款 PHEV 鲲鹏Pro,岚图梦想家 2026款 PHEV 鲲鹏Max,岚图梦想家 2026款 PHEV 乾崑Pro,岚图梦想家 2026款 PHEV 乾崑Max,岚图梦想家 2026款 PHEV 乾崑Ultra,岚图梦想家 2026款 PHEV 典藏版,岚图梦想家 2026款 PHEV 山河四座版,岚图梦想家 2026款 EV 鲲鹏Max,岚图梦想家 2026款 EV 乾崑Max,岚图梦想家 2026款 EV 乾崑Ultra,岚图梦想家 2025款 PHEV 四驱卓越鲲鹏版,岚图梦想家 2025款 PHEV 四驱卓越乾崑版,岚图梦想家 2025款 PHEV 四驱尊贵鲲鹏版,岚图梦想家 2025款 PHEV 四驱旗舰鲲鹏版,岚图梦想家 2025款 PHEV 超长续航世纪版,岚图梦想家 2025款 领航系列 PHEV 超长续航 舒享版,岚图梦想家 2025款 领航系列 PHEV 超长续航 尊享版,岚图梦想家 2025款 EV 长续航世纪版,岚图梦想家 2025款 EV 四驱卓越鲲鹏版,岚图梦想家 2025款 EV 四驱卓越乾崑版,岚图梦想家 2025款 领航系列 EV 超长续航 豪华版,岚图梦想家 2025款 领航系列 EV 超长续航 舒享版,岚图梦想家 2024款 PHEV 超长续航卓越版,岚图梦想家 2024款 PHEV 超长续航尊贵版,岚图梦想家 2024款 EV 长续航卓越版,岚图梦想家 2024款 EV 长续航尊贵版,岚图梦想家 2024款 EV 超长续航卓越版,岚图梦想家 2024款 EV 超长续航尊贵版,岚图梦想家 2024款 EV 超长续航旗舰版,岚图梦想家 2026款 梦想家9 EV 基本型,岚图梦想家 2026款 梦想家9 PHEV 基本型
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,-,-
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,-,-,-,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,-,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,-
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 宁德时代(江苏时代),● 宁德时代(江苏时代),"● 蜂巢能源
● 宁德时代(时代一汽)",● 宁德时代(江苏时代),"● 蜂巢能源
● 宁德时代(时代一汽)","● 蜂巢能源
● 宁德时代(时代一汽)","● 蜂巢能源
● 宁德时代(时代一汽)","● 蜂巢能源
● 宁德时代(时代一汽)",● 宁德时代,● 宁德时代,● 宁德时代,"● 宁德时代
● 蜂巢能源","● 宁德时代
● 蜂巢能源",● 宁德时代,● 宁德时代,● 宁德时代(江苏时代),● 蜂巢能源,● 蜂巢能源,● 东昱欣晟,● 宁德时代,● 宁德时代,"● 宁德时代
● 耀能新能源
● 孚能科技","● 宁德时代
● 耀能新能源
● 孚能科技",● 蜂巢能源,● 蜂巢能源,"● 耀能新能源
● 孚能科技","● 耀能新能源
● 孚能科技","● 宁德时代
● 耀能新能源
● 孚能科技","● 宁德时代
● 耀能新能源
● 孚能科技","● 宁德时代
● 耀能新能源
● 孚能科技",● 宁德时代(中州时代),● 宁德时代(时代一汽)
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,-,-
电池/充电,WLTC纯电续航里程(km),185,185,300,185,300,300,300,-,-,-,-,184,184,184,184,213,184,184,-,-,-,-,-,184,184,-,-,-,-,-,-,-
电池/充电,CLTC纯电续航里程(km),235,235,350,235,350,350,350,320,700,700,700,235,235,235,235,252,236,236,530,650,650,650,650,236,236,510,510,650,650,650,-,-
电池/充电,CLTC综合续航(km),1411,1411,1530,1411,1530,1530,1530,1405,-,-,-,1411,1411,1411,1411,1436,1231,1231,-,-,-,-,-,1231,1231,-,-,-,-,-,-,-
电池/充电,电池能量(kWh),43.2,43.2,62.5,43.2,62.5,62.5,62.5,62.5,108.7,108.7,108.7,41.7,41.7,41.7,41.7,43.2,43,43,76.9,108.7,108.7,108.73,108.73,43,43,82.11,82.11,108.73,108.73,108.73,-,-
电池/充电,百公里耗电量(kWh/100km),21.2,21.2,20.9,21.2,20.9,20.9,20.9,23.8,17.0,17.0,17.0,20.9,20.9,20.9,20.9,20.3,21.0,21.0,16.8,17.7,17.7,17.7,17.7,21.0,21.0,17.5,17.5,17.7,17.7,17.7,-,-
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,-,-
电池/充电,快充功率(kW),80,-,-,-,-,-,-,-,-,-,-,80,80,80,80,-,80,80,-,125,125,125,125,80,80,125,125,125,125,125,-,-
电池/充电,电池快充时间(分钟),20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,电池快充时间(小时),0.33,0.33,0.2,0.33,0.2,0.2,0.2,0.2,0.54,0.54,0.54,0.5,0.5,0.5,0.5,0.33,0.5,0.5,0.42,0.58,0.58,0.58,0.58,0.5,0.5,0.36,0.36,0.58,0.58,0.58,-,-
电池/充电,电池快充电量范围(%),20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,-,-
电池/充电,电池慢充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,14.9,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,电池慢充电量范围(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0-100,-,-,0-100,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,-,-
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,-,-
电池/充电,对外交流放电功率(kW),6,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,-,-,3.3,3.3,3.3,-,-,-,-,-,-,-,-,-,-,-
变速箱,简称,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,1挡DHT,1挡DHT,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,1挡DHT
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,混合动力专用变速箱(DHT)
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置前驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 前置四驱,● 前置四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 前置四驱
底盘转向,四驱形式,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,-,● 电动四驱,● 电动四驱,-,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,-,-
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,-,-
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,-,-
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,-,-
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20
车轮制动,后轮胎规格,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,-,-,-,-,● 补胎工具,● 补胎工具,-,-,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,-,-
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,-,-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,前 ● /后 ●,前 ● /后 ●,-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,-,-
主动安全,安全带未系提醒,"● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排",● 全车,"● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排",-,-
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,DOW开门预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
主动安全,后方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化",-,-
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶操控,可变悬架功能,-,-,-,-,-,"● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节",-,-,"● 悬架软硬调节
● 悬架高低调节",-,-,-,"● 悬架软硬调节
● 悬架高低调节",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"● 悬架软硬调节
● 悬架高低调节",-,-
驾驶操控,空气悬架,-,-,-,-,-,●,●,●,-,-,●,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-
驾驶操控,空气悬挂类型,-,-,-,-,-,● 单腔,● 单腔,● 单腔,-,-,● 单腔,-,-,-,● 单腔,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,魔毯智能悬架,-,-,-,-,-,●,●,●,-,-,●,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-
驾驶操控,整体主动转向系统,-,-,●,-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-
