セクション,セクション_ja,項目,項目_ja,2027年モデル PHEV チャンピオン版,2026年モデル PHEV 鯤鵬Pro,2026年モデル PHEV 鯤鵬Max,2026年モデル PHEV 乾崑Pro,2026年モデル PHEV 乾崑Max,2026年モデル PHEV 乾崑Ultra,2026年モデル PHEV 典蔵版,2026年モデル PHEV 山河4人乗り版,2026年モデル EV 鯤鵬Max,2026年モデル EV 乾崑Max,2026年モデル EV 乾崑Ultra,2025年モデル PHEV 4WD 卓越鯤鵬版,2025年モデル PHEV 4WD 卓越乾崑版,2025年モデル PHEV 4WD 尊貴鯤鵬版,2025年モデル PHEV 4WD 旗艦鯤鵬版,2025年モデル PHEV 超長航続世紀版,2025年モデル 先導シリーズ PHEV 超長航続 快適版,2025年モデル 先導シリーズ PHEV 超長航続 尊享版,2025年モデル EV 長航続世紀版,2025年モデル EV 4WD 卓越鯤鵬版,2025年モデル EV 4WD 卓越乾崑版,2025年モデル 先導シリーズ EV 超長航続 豪華版,2025年モデル 先導シリーズ EV 超長航続 快適版,2024年モデル PHEV 超長航続 卓越版,2024年モデル PHEV 超長距離プレミアム版,2024年モデル EV 長距離エクセレント版,2024年モデル EV 長距離プレミアム版,2024年モデル EV 超長距離エクセレント版,2024年モデル EV 超長距離プレミアム版,2024年モデル EV 超長距離フラッグシップ版,2026年モデル 夢想家9 EV 基本型,2026年モデル 夢想家9 PHEV 基本型
电动机,モーター,前电动机品牌,前モーターブランド,-,-,-,-,-,-,-,-,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,-,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,-
电动机,モーター,后电动机品牌,後モーターブランド,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,-,Zhixinテクノロジー,Zhixinテクノロジー,-,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,Zhixinテクノロジー,青山工業,-
电动机,モーター,前电动机型号,前モーター型式,DY38TZ225210,DY38TZ225210,DY60YS225150,DY38TZ225210,DY60YS225150,DY60YS225150,DY60YS225150,DY60YS225150,YS225XYH02,YS225XYH02,YS225XYH02,TZ236XY150,TZ236XY150,TZ236XY150,TZ236XY150,-,TZ236XY150,TZ236XY150,TZ225XYH02,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ236XY150,TZ236XY150,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,YS225XYH02,-
电动机,モーター,后电动机型号,後モーター型式,TZ200XSP08,TZ200XSP08,TZ225XYH01,TZ200XSP08,TZ225XYH01,TZ225XYH01,TZ225XYH01,TZ225XYH01,TZ225XYH01,TZ225XYH01,TZ225XYH01,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,-,TZ200XSP08,TZ200XSP08,-,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ220QY002,-
电动机,モーター,电机类型,モーター種類,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,-,-
电动机,モーター,电动机总功率(kW),モーター総出力(kW),370,370,380,370,380,380,380,380,405,405,405,310,310,310,310,210,310,310,215,320,320,320,320,310,310,320,320,320,320,320,475,450
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),503,503,517,503,517,517,517,517,551,551,551,422,422,422,422,286,422,422,292,435,435,435,435,422,422,435,435,435,435,435,646,612
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),620,620,695,620,695,695,695,695,770,770,770,620,620,620,620,310,620,620,380,620,620,620,620,620,620,620,620,620,620,620,-,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),210,210,150,210,150,150,150,150,175,175,175,150,150,150,150,210,150,150,215,160,160,160,160,150,150,160,160,160,160,160,175,150
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),310,310,300,310,300,300,300,300,375,375,375,310,310,310,310,310,310,310,380,310,310,310,310,310,310,310,310,310,310,310,-,-
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),160,160,230,160,230,230,230,230,230,230,230,160,160,160,160,-,160,160,-,160,160,160,160,160,160,160,160,160,160,160,300,300
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),310,310,395,310,395,395,395,395,395,395,395,310,310,310,310,-,310,310,-,310,310,310,310,310,310,310,310,310,310,310,-,-
电动机,モーター,系统综合功率(kW),システム総合出力(kW),480,480,490,480,490,490,490,490,405,405,405,420,420,420,420,-,420,420,-,320,320,320,320,420,420,320,320,320,320,320,-,-
电动机,モーター,系统综合马力(Ps),システム総合馬力（Ps）,653,653,666,653,666,666,666,666,551,551,551,571,571,571,571,-,571,571,-,435,435,435,435,571,571,435,435,435,435,435,-,-
电动机,モーター,系统综合扭矩(N·m),システム総合トルク(N·m),840,840,915,840,915,915,915,915,770,770,770,840,840,840,840,-,840,840,-,620,620,620,620,840,840,620,620,620,620,620,-,-
电动机,モーター,驱动电机数,駆動モーター数,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,単モーター,デュアルモーター,デュアルモーター,単モーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置,前置＋後置,前置＋後置,前置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,-,-
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証政策,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,-,-,-,-,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,-,-,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,-,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代・江蘇時代）,● CATL（寧徳時代・江蘇時代）,"● ハニカムエナジー
● CATL（時代一汽）",● CATL（寧徳時代・江蘇時代）,"● ハニカムエナジー
● CATL（時代一汽）","● ハニカムエナジー
● CATL（時代一汽）","● ハニカムエナジー
● CATL（時代一汽）","● ハニカムエナジー
● CATL（時代一汽）",● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,"● CATL（寧徳時代）
● ハニカムエナジー","● CATL（寧徳時代）
● ハニカムエナジー",● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代・江蘇時代）,● ハニーカムエナジー,● ハニーカムエナジー,● 東昱欣晟,● CATL（寧徳時代）,● CATL（寧徳時代）,"● 寧徳時代
● 耀能新能源
● 孚能科技","● 寧徳時代
● 耀能新能源
● 孚能科技",● ハニーカムエナジー,● ハニーカムエナジー,"● 耀能新能源
● 孚能科技","● 耀能新能源
● 孚能科技","● 寧徳時代
● 耀能新能源
● 孚能科技","● 寧徳時代
● 耀能新能源
● 孚能科技","● 寧徳時代
● 耀能新能源
● 孚能科技",● CATL（中州時代）,● CATL（時代一汽）
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,-,-
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),185,185,300,185,300,300,300,-,-,-,-,184,184,184,184,213,184,184,-,-,-,-,-,184,184,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),235,235,350,235,350,350,350,320,700,700,700,235,235,235,235,252,236,236,530,650,650,650,650,236,236,510,510,650,650,650,-,-
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1411,1411,1530,1411,1530,1530,1530,1405,-,-,-,1411,1411,1411,1411,1436,1231,1231,-,-,-,-,-,1231,1231,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),43.2,43.2,62.5,43.2,62.5,62.5,62.5,62.5,108.7,108.7,108.7,41.7,41.7,41.7,41.7,43.2,43,43,76.9,108.7,108.7,108.73,108.73,43,43,82.11,82.11,108.73,108.73,108.73,-,-
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),21.2,21.2,20.9,21.2,20.9,20.9,20.9,23.8,17.0,17.0,17.0,20.9,20.9,20.9,20.9,20.3,21.0,21.0,16.8,17.7,17.7,17.7,17.7,21.0,21.0,17.5,17.5,17.7,17.7,17.7,-,-
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,-,-
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),80,-,-,-,-,-,-,-,-,-,-,80,80,80,80,-,80,80,-,125,125,125,125,80,80,125,125,125,125,125,-,-
电池/充电,バッテリー/充電,电池快充时间(分钟),バッテリー急速充電時間（分）,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.33,0.33,0.2,0.33,0.2,0.2,0.2,0.2,0.54,0.54,0.54,0.5,0.5,0.5,0.5,0.33,0.5,0.5,0.42,0.58,0.58,0.58,0.58,0.5,0.5,0.36,0.36,0.58,0.58,0.58,-,-
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,-,-
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー低速充電時間（時間）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,14.9,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー低速充電量範囲（％）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0-100,-,-,0-100,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,-,-
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,-,-
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,-,-,3.3,3.3,3.3,-,-,-,-,-,-,-,-,-,-,-
变速箱,トランスミッション,简称,略称,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,1速DHT,1速DHT,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,1速DHT
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,ハイブリッド専用トランスミッション（DHT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置4WD,● 前置4WD,● 前置4WD,● 前置4WD,● 前置4WD,● 前置4WD,● 前置4WD,● 前置4WD,● デュアルモーター4WD,● デュアルモーター4WD,● デュアルモーター4WD,● 前置4WD,● 前置4WD,● 前置4WD,● 前置4WD,● 前置前輪駆動,● 前置4WD,● 前置4WD,● 前置前輪駆動,● デュアルモーター4WD,● デュアルモーター4WD,● デュアルモーター4WD,● デュアルモーター4WD,● 前置4WD,● 前置4WD,● デュアルモーター4WD,● デュアルモーター4WD,● デュアルモーター4WD,● デュアルモーター4WD,● デュアルモーター4WD,● デュアルモーター4WD,● 前置4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,-,● 電動4WD,● 電動4WD,-,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,-,-
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,-,-
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,-,-
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,-,-
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20,● 255/50 R20
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,-,-,-,-,● パンク修理キット,● パンク修理キット,-,-,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,-,-
