セクション,セクション_ja,項目,項目_ja,2026年モデル 智享家 JOY,2026年モデル 智享家 PRO,2026年モデル 智享家 PRO+,2026年モデル 智享家 MAX,2024年モデル 517km エリート PRO,2024年モデル 616km ロングレンジ PRO,2024年モデル 616km ロングレンジ プレミアム
方向盘/内后视镜,ステアリング・内側ミラー,仪表盘屏幕材质,メーターパネル画面素材,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,"● 手動防眩目
○ 自動防眩目","● 手動防眩目
○ 自動防眩目",● 自動防眩目
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,● 前席,● 前席,-,-,● 前席
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 本革／スエード素材コンビ,● 本革／スエード素材コンビ,● 本革／スエード素材コンビ,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,主 ● / 副,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ○,主 ● / 副 ○,主 ● / 副 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,● ヒーター付き,● ヒーター付き,○ ヒーター付き,○ ヒーター付き,● ヒーター付き
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,-,-,○ ヒーター付き,○ ヒーター付き,● ヒーター付き
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,-,-,-,-,-,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前 ● / 後,前 ● / 後,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後,前 ● / 後,前 ● / 後 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,●,●,-,-,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,● 8スピーカー,● 8スピーカー,● 6スピーカー,● 6スピーカー,● 7スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,● 多色,● 多色,● 多色,○ 31色,○ 31色,● 31色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,-,-,●,●,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,●,●,-,-,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,-,●,●,-,-,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–
选装包,オプションパッケージ,先进智能套装,先進スマートパッケージ,-,-,-,-,○ オプション（価格未定）,-,-
选装包,オプションパッケージ,智能安全辅助套装,スマート安全支援パッケージ,-,-,-,-,○ オプション（価格未定）,○ オプション（価格未定）,-
选装包,オプションパッケージ,先进舒适套装,先進快適パッケージ,-,-,-,-,-,○ オプション（価格未定）,-
