セクション,セクション_ja,項目,項目_ja,2025年モデル FREE+ 後輪駆動 乾崑版,2025年モデル FREE+ 4WD 乾崑版,2025年モデル FREE+ 4WD スポーツカスタム版,2025年モデル 318 318km 後輪駆動 周遊版,2025年モデル 318 259km 4WD 探索版
互联/智能化,コネクティビティ/スマート機能,副驾娱乐屏尺寸,助手席エンタメ画面サイズ,-,-,-,● 12.3インチ,● 12.3インチ
互联/智能化,コネクティビティ/スマート機能,副驾屏幕分辨率,助手席画面解像度,-,-,-,● 1920×720,● 1920×720
互联/智能化,コネクティビティ/スマート機能,副驾屏幕像素密度,助手席画面ピクセル密度,-,-,-,● 167PPI,● 167PPI
互联/智能化,コネクティビティ/スマート機能,中控液晶屏分屏显示,センター液晶画面分割表示,-,-,-,●,●
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ"
互联/智能化,コネクティビティ/スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、ラントゥ,● こんにちは、ラントゥ,● こんにちは、ラントゥ,● こんにちは、ラントゥ,● こんにちは、ラントゥ
互联/智能化,コネクティビティ/スマート機能,语音免唤醒词,音声起動ワード不要,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン
互联/智能化,コネクティビティ/スマート機能,语音连续识别,音声連続認識,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,可见即可说,見てすぐ話せる機能,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手势控制,ジェスチャー操作,-,-,-,●,●
互联/智能化,コネクティビティ/スマート機能,面部识别,顔認証,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,声纹识别,声紋認証,-,-,-,●,●
互联/智能化,コネクティビティ/スマート機能,应用商店,アプリストア,●,●,●,-,-
互联/智能化,コネクティビティ/スマート機能,车载智能系统,車載インテリジェントシステム,● HarmonySpace,● HarmonySpace,● HarmonySpace,-,-
互联/智能化,コネクティビティ/スマート機能,车机智能芯片,車載スマートチップ,-,-,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
互联/智能化,コネクティビティ/スマート機能,后排液晶屏幕,後席液晶画面,-,-,-,●,●
互联/智能化,コネクティビティ/スマート機能,后排多媒体屏幕数量,後席マルチメディア画面数,-,-,-,● 1個,● 1個
互联/智能化,コネクティビティ/スマート機能,后排控制多媒体,後席マルチメディア操作,-,-,-,●,●
互联/智能化,コネクティビティ/スマート機能,车机系统内存(GB),車載システムメモリ(GB),-,-,-,● 16,● 16
互联/智能化,コネクティビティ/スマート機能,车机系统存储(GB),車載システムストレージ(GB),-,-,-,● 128,● 128
互联/智能化,コネクティビティ/スマート機能,多指飞屏操控,マルチタッチ画面操作,-,-,-,●,●
互联/智能化,コネクティビティ/スマート機能,车联网,車載ネットワーク,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,● 5G,● 5G,● 5G
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiスポット,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车内生物监测系统,車内生体モニタリングシステム,-,-,-,●,●
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約"
互联/智能化,コネクティビティ/スマート機能,模拟声浪,シミュレートエンジンサウンド,-,●,●,-,-
互联/智能化,コネクティビティ/スマート機能,车载KTV,車載カラオケ,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,仪表盘屏幕分辨率（px）,メーターパネル画面解像度（px）,-,-,-,● 1920×720,● 1920×720
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,●,●,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップサイズ,● 29インチ,● 29インチ,● 29インチ,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,-,-,-,○,○
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,-,-,-,● 60W,● 60W
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),●,●,●,-,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ポート,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,"● 本革
● 合成皮革",● 本革／スエード素材のコンビ,● 本革／スエード素材のコンビ
座椅配置,シート装備,运动风格座椅,スポーツシート,-,-,-,●,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● シートヒーター
● ベンチレーション
● マッサージ
○ ヘッドレストスピーカー","● シートヒーター
● ベンチレーション
● マッサージ
○ ヘッドレストスピーカー","● シートヒーター
● ベンチレーション
● マッサージ
○ ヘッドレストスピーカー","● シートヒーター
● ベンチレーション
● マッサージ","● シートヒーター
● ベンチレーション
● マッサージ"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席",● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,-,-
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,"● シートヒーター
● ベンチレーション","● シートヒーター
● ベンチレーション","● シートヒーター
● ベンチレーション",-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,● Dynaudio（ダイナオーディオ）,● Dynaudio（ダイナオーディオ）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,"● 18スピーカー
○ 22スピーカー（4000元）","● 18スピーカー
○ 22スピーカー（4000元）","● 18スピーカー
○ 22スピーカー（4000元）",● 10スピーカー,● 10スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 256色,● 256色,● 256色,● 64色,● 64色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,●,●,●,-,-
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,●,●,●,○,○
颜色,カラー,外观颜色,外装色,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–
选装包,オプションパッケージ,四活塞运动卡钳,4ピストンスポーツキャリパー,○ オプション（6000元）,○ オプション（6000元）,-,-,-
选装包,オプションパッケージ,智能魔法美妆镜,スマートマジックビューティーミラー,-,-,-,○ オプション（999元）,○ オプション（999元）
选装包,オプションパッケージ,彩色四活塞运动卡钳,カラフル4ピストンスポーツキャリパー,-,-,-,○ オプション（8620元）,○ オプション（8620元）
