セクション,項目,长安启源A06 2026款 510Pro,长安启源A06 2026款 510Max,长安启源A06 2026款 630Max,长安启源A06 2026款 630舒享Ultra,长安启源A06 2026款 630激光Ultra,长安启源A06 2026款 630激光Ultra+,长安启源A06 2026款 240Max,长安启源A06 2026款 240激光Ultra
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,●,-,○
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,●,●,●,-,●
方向盘/内后视镜,液晶仪表尺寸,● 10.17英寸,● 10.17英寸,● 10.17英寸,● 10.17英寸,● 10.17英寸,● 10.17英寸,● 10.17英寸,● 10.17英寸
方向盘/内后视镜,AR-HUD增强现实抬头显示,-,-,-,○ (3000元),○ (3000元),○ (3000元),-,○ (3000元)
方向盘/内后视镜,HUD抬头尺寸,-,-,-,○ 49英寸,○ 49英寸,○ 49英寸,-,○ 49英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,USB/Type-C最大充电功率,● 67W,● 67W,● 67W,● 67W,● 67W,● 67W,● 67W,● 67W
车内充电,220V/230V电源,-,-,-,-,-,●,-,○
车内充电,手机无线充电功能,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,-,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,行李厢12V电源接口,●,●,●,●,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
座椅配置,前排座椅功能,● 头枕扬声器(仅驾驶位),"● 加热
● 通风
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)"
座椅配置,电动座椅记忆功能,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排"
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,第二排座椅电动调节,-,●,●,●,●,●,●,●
座椅配置,第二排座椅功能,-,"● 加热
● 通风","● 加热
● 通风","● 加热
● 通风
● 按摩","● 加热
● 通风","● 加热
● 通风
● 按摩","● 加热
● 通风","● 加热
● 通风
○ 按摩"
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,后排座椅电动放倒,-,●,●,●,●,●,●,●
座椅配置,前/后中央扶手,前 ● / 后-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
座椅配置,后排杯架,-,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 9喇叭,● 9喇叭,● 9喇叭,● 20喇叭,● 20喇叭,● 20喇叭,● 9喇叭,● 20喇叭
音响/车内灯光,车外扬声器数量,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,-,● 256色,● 256色,● 256色,● 256色,● 256色,● 256色,● 256色
音响/车内灯光,主动式环境氛围灯,-,●,●,●,●,●,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,●,-,○
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●
空调/冰箱,负离子发生器,-,-,-,-,-,●,-,○
空调/冰箱,车载冰箱,-,-,-,●,-,●,-,○
特色配置,拍一拍轻松开启后备箱,●,●,●,●,●,●,●,●
特色配置,28点马尔代夫电动按摩椅模式,-,-,-,●,-,●,-,-
特色配置,超迈145°无级电动零压后排,-,●,●,●,●,●,●,●
颜色,外观颜色,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–
选装包,可拓展生态设备,○ 选配 (暂无价格),○ 选配 (暂无价格),○ 选配 (暂无价格),○ 选配 (暂无价格),○ 选配 (暂无价格),○ 选配 (暂无价格),○ 选配 (暂无价格),○ 选配 (暂无价格)
选装包,吸音棉轮胎,-,-,-,-,-,○ 选配 (免费),-,-
选装包,19寸马牌静音轮胎,-,-,-,-,-,○ 选配 (2000元),-,-
选装包,舒享包,-,-,-,-,-,-,-,○ 选配 (8000元)
