セクション,セクション_ja,項目,項目_ja,2026年モデル 530km AIRエリート版,2026年モデル 雅宇版,2026年モデル 540km エリート版,2026年モデル 540km エリート4エアバッグ版,2026年モデル 530 越享型,2026年モデル 530 尊享型,2026年モデル 530km AIR,2025年モデル 110 長距離快適型,2025年モデル 205 超長距離快適型,2025年モデル 205 超長距離プレミアム型,2025年モデル 205 超長距離ラグジュアリー型,2025年モデル 430 ライト快適型,2025年モデル 430 快適型,2025年モデル 430 快適＋型,2025年モデル 518 快適型,2025年モデル 518 快適型 チャンピオン版,2025年モデル 430 快適型 エクセレント版,2025年モデル 518 風捷版,2025年モデル 518 プレミアム型,2025年モデル 518 プレミアム型 チャンピオン版,2025年モデル 改良版 518 エグゼクティブ版,2024年モデル 205 睿驰版,2024年モデル 205 臻享版,2024年モデル 518 フラッグシップ版,2024年モデル 110 Pro,2024年モデル 205 Air,2024年モデル 205 Pro,2024年モデル 205 Plus,2024年モデル 518 Air,2024年モデル 518 Pro
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),163,163,184,184,184,184,218,136,136,136,136,163,163,163,163,163,163,163,218,218,218,136,136,218,136,136,136,136,163,218
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),240,240,260,260,260,260,310,260,260,260,260,240,240,240,240,240,240,240,310,310,310,260,260,310,260,260,260,260,240,310
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),120,120,135,135,135,135,160,100,100,100,100,120,120,120,120,120,120,120,160,160,160,100,100,160,100,100,100,100,120,160
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),240,240,260,260,260,260,310,260,260,260,260,240,240,240,240,240,240,240,310,310,310,260,260,310,260,260,260,260,240,310
电动机,モーター,系统综合功率(kW),システム総合出力(kW),-,-,-,-,-,-,-,265,265,265,265,-,-,-,-,-,-,-,-,-,-,265,265,-,265,265,265,265,-,-
电动机,モーター,系统综合马力(Ps),システム総合馬力(Ps),-,-,-,-,-,-,-,360,360,360,360,-,-,-,-,-,-,-,-,-,-,360,360,-,360,360,360,360,-,-
电动机,モーター,系统综合扭矩(N·m),システム総合トルク(N·m),-,-,-,-,-,-,-,615,615,615,615,-,-,-,-,-,-,-,-,-,-,615,615,-,615,615,615,615,-,-
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,-,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,-,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,-,● 武漢楚能（メーカー名）,● 楚能新能源（メーカー名）,● 楚能新能源（メーカー名）,-,-,-,● 中创新航（メーカー名）,● 中创新航（メーカー名）,● 中创新航（メーカー名）,● 中创新航（メーカー名）,● 中创新航（メーカー名）,● 中创新航（メーカー名）,● 中创新航（メーカー名）,● 武漢楚能（メーカー名）,● 武漢楚能（メーカー名）,● 中创新航（メーカー名）,● 武漢楚能（メーカー名）,● 中创新航（メーカー名）,● 中创新航（メーカー名）,● 中创新航（メーカー名）,● 中创新航（メーカー名）,● 中创新航（メーカー名）,● 中创新航（メーカー名）,● 中创新航（メーカー名）,● 中创新航（メーカー名）,● 中创新航（メーカー名）,● 中创新航（メーカー名）,● 武漢楚能（メーカー名）,● 中创新航（メーカー名）
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,-,マッハバッテリー,-,-,-,-,-,マッハバッテリー,マッハバッテリー,マッハバッテリー,マッハバッテリー,マッハバッテリー,マッハバッテリー,マッハバッテリー,マッハバッテリー,マッハバッテリー,マッハバッテリー,マッハバッテリー,マッハバッテリー,マッハバッテリー,マッハバッテリー,-,-,マッハバッテリー,-,-,-,-,マッハバッテリー,マッハバッテリー
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),-,-,-,-,-,-,-,86,158,158,158,-,-,-,-,-,-,-,-,-,-,158,158,-,86,158,158,158,-,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),530,518,540,540,530,530,530,110,205,205,205,430,430,430,518,518,430,518,518,518,518,205,205,518,110,205,205,205,518,518
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),-,-,-,-,-,-,-,1400,1500,1500,1500,-,-,-,-,-,-,-,-,-,-,1500,1500,-,1400,1500,1500,1500,-,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),61.24,61.2,61.83,61.83,61.83,61.83,62.36,17.0,30.3,30.3,30.3,50.8,50.8,50.8,61.2,61.2,50.8,61.2,62.3,62.3,62.3,30.3,30.3,62.3,17.0,30.3,30.3,30.3,61.2,62.3
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),13.5,13.7,13.3,13.3,-,-,12.9,15.2,17.5,17.5,17.5,13,13,13,13.7,13.7,13,13.7,13.5,13.5,-,17.5,17.5,13.5,15.2,17.5,17.5,17.5,-,13.5
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.47,0.46,0.35,0.35,0.33,0.33,0.47,0.43,0.43,0.43,0.43,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.43,0.43,0.46,0.43,0.43,0.43,0.43,0.46,0.46
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),7.9,-,11,11,-,-,9.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),-,3.3,-,-,3.3,3.3,-,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,トランスミッション,简称,略称,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,4速DHT（デュアルハイブリッドトランスミッション）,4速DHT（デュアルハイブリッドトランスミッション）,4速DHT（デュアルハイブリッドトランスミッション）,4速DHT（デュアルハイブリッドトランスミッション）,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,4速DHT（デュアルハイブリッドトランスミッション）,4速DHT（デュアルハイブリッドトランスミッション）,電気自動車用単速変速機,4速DHT（デュアルハイブリッドトランスミッション）,4速DHT（デュアルハイブリッドトランスミッション）,4速DHT（デュアルハイブリッドトランスミッション）,4速DHT（デュアルハイブリッドトランスミッション）,電気自動車用単速変速機,電気自動車用単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,4,4,1,4,4,4,4,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,ハイブリッド専用変速機（DHT）,ハイブリッド専用変速機（DHT）,ハイブリッド専用変速機（DHT）,ハイブリッド専用変速機（DHT）,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,ハイブリッド専用変速機（DHT）,ハイブリッド専用変速機（DHT）,固定ギア比変速機,ハイブリッド専用変速機（DHT）,ハイブリッド専用変速機（DHT）,ハイブリッド専用変速機（DHT）,ハイブリッド専用変速機（DHT）,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 235/55 R19タイヤ,● 235/55 R19タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 235/55 R19タイヤ,● 235/55 R19タイヤ,● 225/60 R18タイヤ,● 225/60 R18／○ 235/55 R19タイヤ,● 225/60 R18／○ 235/55 R19タイヤ,● 235/55 R19タイヤ,● 235/55 R19タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 235/55 R19タイヤ,● 235/55 R19タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 235/55 R19タイヤ,● 235/55 R19タイヤ,● 225/60 R18タイヤ,● 225/60 R18／○ 235/55 R19タイヤ,● 225/60 R18／○ 235/55 R19タイヤ,● 235/55 R19タイヤ,● 235/55 R19タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,-,● パンク修理キット,● パンク修理キット,-,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,-,前 ● / 後,-,前 ● / 後,前 ● / 後,前 ● / 後,-,-,-,前 ● / 後,前 ● / 後,-,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,-,-,前 ● / 後 ●,-,-,-,前 ● / 後 ●,前 ● / 後 ●,-,-,-,-,-,-,-,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,-,前 ● / 後 ●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧表示,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧警報,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 運転席,● 前席,● 運転席,● 運転席,● 前席,● 前席,● 運転席,● 運転席,● 運転席,● 前席,● 前席,● 運転席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,-,●,●,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,●,●,-,●,-,●,●,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,-,●,●,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,●,●,-,●,-,●,●,-,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,-,-,-,-,●,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,-,-,-,●,●,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,●,●,-,●,-,●,●,-,-
