セクション,セクション_ja,項目,項目_ja,2026年モデル 改良版 1.6L MT 標準軸 快適型 5人乗り,2026年モデル 改良版 1.6L MT 標準軸 快適型 7人乗り,2026年モデル 改良版 1.6L MT 標準軸 豪華型 7人乗り,2026年モデル 改良版 1.6L MT 標準軸 中級営業用 7人乗り,2026年モデル 改良版 1.6L MT 標準軸 中級営業用 8人乗り,2026年モデル 改良版 1.6L MT ロング軸 快適型 5人乗り,2026年モデル 改良版 1.6L MT ロング軸 快適型 7人乗り,2026年モデル 改良版 2.0L MT 標準軸 豪華型 7人乗り,2026年モデル 2.0L MT ロング軸 快適型 7人乗り CNG,2026年モデル 2.0L MT ロング軸 エリート版 7人乗り CNG,2026年モデル 2.0L MT ロング軸 エリート版 9人乗り CNG,2026年モデル 2.0L ロング軸 中級営業用 快適版 7人乗り CNG,2026年モデル 2.0L ロング軸 中級営業用 快適版 8人乗り CNG,2026年モデル 2.0L ロング軸 中級営業用 快適版 9人乗り CNG,2026年モデル 2.0L AT ロング軸 新年版 7人乗り,2026年モデル 2.0L AT ロング軸 新年版 9人乗り,2026年モデル 2.0L キャンピングカー 美途版 5人乗り,2026年モデル 2.0L キャンピングカー 軽旅版 5人乗り,2026年モデル 改良版 2.0L AT ロング軸 豪華型 7人乗り,2026年モデル 改良版 2.0L AT ロング軸 豪華型 9人乗り,2026年モデル 改良版 2.0L AT ロング軸 フラッグシップ型 7人乗り,2026年モデル 改良版 2.0L AT ロング軸 フラッグシップ型 9人乗り,2026年モデル 改良版 2.0L AT ロング軸 中級営業用 7人乗り,2026年モデル 改良版 2.0L AT ロング軸 中級営業用 9人乗り,2026年モデル 改良版 2.0L MT ロング軸 基本型 ブラインドウィンドウ版 2人乗り,2026年モデル 改良版 2.0L MT ロング軸 快適型 7人乗り,2026年モデル 改良版 2.0L MT ロング軸 豪華型 7人乗り,2026年モデル 改良版 2.0L MT ロング軸 豪華型 9人乗り,2026年モデル 改良版 2.0L MT ロング軸 中級営業用 7人乗り,2026年モデル 改良版 2.0L MT ロング軸 中級営業用 8人乗り,2026年モデル 改良版 2.0L MT ロング軸 中級営業用 9人乗り,2026年モデル 2.0L AT ロング軸 豪華型 7人乗り,2026年モデル 2.0L AT ロング軸 豪華型 9人乗り,2026年モデル 2.0L AT ロング軸 フラッグシップ型 7人乗り,2026年モデル 2.0L AT ロング軸 フラッグシップ型 9人乗り,2026年モデル 2.0L AT ロング軸 中級営業用 7人乗り,2026年モデル 2.0L AT ロング軸 中級営業用 9人乗り,2026年モデル 1.6L MT 標準軸 快適型 5人乗り,2026年モデル 1.6L MT 標準軸 快適型 7人乗り,2026年モデル 1.6L MT 標準軸 豪華型 7人乗り,2026年モデル 1.6L MT 標準軸 中級営業用 7人乗り,2026年モデル 1.6L MT 標準軸 中級営業用 8人乗り,2026年モデル 2.0L MT 標準軸 豪華型 7人乗り,2026年モデル 1.6L MT ロング軸 快適型 5人乗り,2026年モデル 1.6L MT ロング軸 快適型 7人乗り,2026年モデル 2.0L MT ロング軸 基本型 ブラインドウィンドウ版 2人乗り,2026年モデル 2.0L MT ロング軸 快適型 7人乗り,2026年モデル 2.0L MT ロング軸 豪華型 7人乗り,2026年モデル 2.0L MT ロング軸 豪華型 9人乗り,2026年モデル 2.0L MT ロング軸 中級営業用 7人乗り,2026年モデル 2.0L MT ロング軸 中級営業用 8人乗り,2026年モデル 2.0L MT ロング軸 中級営業用 9人乗り,2025年モデル 2.0L CNG 基本版 2人乗り,2025年モデル 2.0L CNG 快適型 6人乗り,2025年モデル 2.0L CNG 快適型 7人乗り,2025年モデル 2.0L CNG エリート版 7人乗り,2025年モデル 2.0L CNG エリート版 9人乗り,2025年モデル 2.0L CNG 中級営業用 快適版 7人乗り,2025年モデル 2.0L CNG 中級営業用 快適版 8人乗り,2025年モデル 2.0L CNG 中級営業用 快適版 9人乗り,2025年モデル 2.0L CNG 中級営業用ラグジュアリー 7人乗り,2025年モデル 2.0L CNG 中級営業用ラグジュアリー 9人乗り,2025年モデル 2.0L CNG 上級営業用ラグジュアリー 7人乗り,2025年モデル 2.0L CNG 上級営業用ラグジュアリー 9人乗り,2025年モデル 1.6L MT 標準軸 快適タイプ 5人乗り,2025年モデル 1.6L MT 標準軸 ラグジュアリー 7人乗り,2025年モデル 1.6L MT 標準軸 中級営業用 7人乗り,2025年モデル 1.6L MT 標準軸 中級営業用 8人乗り,2025年モデル 2.0L MT 標準軸 ラグジュアリー 7人乗り,2025年モデル 2.0L MT 標準軸 中級営業用 7人乗り,2025年モデル 2.0L MT 標準軸 中級営業用 8人乗り,2025年モデル 1.6L MT ロング軸 快適タイプ 5人乗り,2025年モデル 1.6L MT ロング軸 快適タイプ 6・7人乗り,2025年モデル 2.0L MT ロング軸 ブラインドウィンドウ 基本タイプ 2人乗り,2025年モデル 2.0L MT ロング軸 快適タイプ 6・7人乗り,2025年モデル 2.0L MT ロング軸 ラグジュアリー 7人乗り,2025年モデル 2.0L MT ロング軸 ラグジュアリー 9人乗り,2025年モデル 2.0L MT ロング軸 中級営業用 7人乗り,2025年モデル 2.0L MT ロング軸 中級営業用 8・9人乗り,2025年モデル 2.0L AT ロング軸 ラグジュアリー 7人乗り,2025年モデル 2.0L AT ロング軸 ラグジュアリー 9人乗り,2025年モデル 2.0L AT ロング軸 フラッグシップ 7人乗り,2025年モデル 2.0L AT ロング軸 フラッグシップ 9人乗り,2025年モデル 2.0L AT ロング軸 中級営業用 7人乗り,2025年モデル 2.0L AT ロング軸 中級営業用 9人乗り,2025年モデル 2.0L AT ロング軸 上級営業用 7人乗り,2025年モデル 2.0L AT ロング軸 上級営業用 9人乗り,2025年モデル 2.0L AT ロング軸 プレミアム 7人乗り,2025年モデル 2.0L CNG 上級営業用 プレミアム 7人乗り,2024年モデル 1.6L ロング軸 創富タイプ 6人乗り,2024年モデル 1.6L ロング軸 創富タイプ 7人乗り,2024年モデル 1.6L ロング軸 創享タイプ 9人乗り,2024年モデル 2.0L ロング軸 創富タイプ 7人乗り,2024年モデル 1.6L ロング軸 ラグジュアリー営業用 9人乗り,2024年モデル 2.0L ロング軸 中級営業用 7人乗り,2024年モデル 2.0L ロング軸 中級営業用 9人乗り,2024年モデル 2.0L ロング軸 プレミアム 7人乗り,2023年モデル 1.6L 標準軸 創富タイプ 7人乗り,2023年モデル 2.0L ロング軸 行政仕様 7人乗り,2023年モデル 2.0L ロング軸 行政仕様 9人乗り,2023年モデル 1.6L ロング軸 配車アプリ専用カスタム 7人乗り,2023年モデル 2.0L ロング軸 配車アプリ専用カスタム 7人乗り,2023年モデル 2.0L CNG ロング軸 ラグジュアリー営業用 9人乗り 連結シート
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,-,-,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● なし,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),-,-,-,●,●,-,-,-,-,-,-,●,●,●,●,●,-,-,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,●,●,-,-,-,-,-,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,●,●,-,-,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,-,●,●,-,-,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,-,-,-,●,●,-,-,-,-,-,-,●,●,●,●,●,-,-,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,●,●,-,-,-,-,-,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,●,●,-,-,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,-,●,●,-,-,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,-,-,-,●,●,-,-,-,-,-,-,●,●,●,●,●,-,-,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,●,●,-,-,-,-,-,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,●,●,-,-,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,-,●,●,-,-,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 前席,● 前席,● 前席,● 前席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 前席,● 前席,● 前席,● 前席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 前席,● 前席,● 前席,● 前席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 前席,● 前席,● 前席,● 運転席,● 前席,● 前席,● 運転席,● 運転席,● 運転席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,●,●,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-,●,●,●,●,-,-,-,-,●,●,●,-,-,●,●,●,●,-,-,-,●,●,-,-,-,-,-,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,●,●,-,-,●,●,-,●,●,-,-,-,-,-,-,●,●,-,-,●,●,●,●,●,●,-,●,-,-,-,-,●,●,●,-,-,-,-,-,-,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,-,-,-,●,●,-,-,-,-,-,-,●,●,●,●,●,-,-,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,●,●,-,-,-,-,-,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,●,●,-,-,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,-,●,●,-,-,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●,前席/後席 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,○ バックカメラ映像,○ バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,○ バックカメラ映像,○ バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● 360度全方位カメラ映像,● 360度全方位カメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,○ バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● 360度全方位カメラ映像,● 360度全方位カメラ映像,● バックカメラ映像,● バックカメラ映像,○ バックカメラ映像,○ バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,○ バックカメラ映像,○ バックカメラ映像,● バックカメラ映像,○ バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,○ バックカメラ映像,○ バックカメラ映像,○ バックカメラ映像,○ バックカメラ映像,○ バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,○ バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,○ バックカメラ映像,○ バックカメラ映像,○ バックカメラ映像,○ バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● 360度全方位カメラ映像,● 360度全方位カメラ映像,● バックカメラ映像,● バックカメラ映像,● 360度全方位カメラ映像,● 360度全方位カメラ映像,● バックカメラ映像,● バックカメラ映像,-,-,● バックカメラ映像,-,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,-,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,○ 1個,○ 1個,● 1個,● 1個,● 1個,○ 1個,○ 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,-,-,● 1個,● 1個,● 4個,● 4個,● 1個,● 1個,● 1個,○ 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 4個,● 4個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,○ 1個,○ 1個,○ 1個,○ 1個,○ 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,○ 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,○ 1個,○ 1個,● 1個,● 1個,● 1個,● 1個,-,-,-,-,● 1個,● 1個,-,-,● 1個,● 1個,-,-,● 1個,-,● 1個,● 1個,● 1個,● 1個,-,● 1個,● 1個,● 1個,● 1個,● 1個
