セクション,項目,北京越野BJ40 2026款 2.0T 探险家 汽油版,北京越野BJ40 2024款 2.0T 城市猎人荣耀版,北京越野BJ40 2026款 2.0T 汽油标准版,北京越野BJ40 2026款 2.0T 汽油进阶版,北京越野BJ40 2026款 2.0T 汽油卓越版,北京越野BJ40 2026款 2.0T 巨幕标准版,北京越野BJ40 2026款 2.0T 巨幕进阶版,北京越野BJ40 2026款 2.0T 恒途版,北京越野BJ40 2026款 2.0D 柴油版,北京越野BJ40 2026款 2.0D 探险家 柴油版,北京越野BJ40 2026款 2.0D 巨幕柴油版,北京越野BJ40 2026款 2.0D 巨幕智驱版,北京越野BJ40 2024款 2.0D 刀锋英雄荣耀版,北京越野BJ40 2024款 2.0T 全新城市猎人版 先锋型,北京越野BJ40 2024款 2.0T 全新刀锋英雄版 攀登者,北京越野BJ40 2024款 2.0T 全新城市猎人版 侠客型,北京越野BJ40 2024款 2.0T 全新城市猎人版 至尊型,北京越野BJ40 2024款 2.0T 全新城市猎人版 进阶型,北京越野BJ40 2024款 2.0T 全新环塔冠军版,北京越野BJ40 2024款 2.0D 全新刀锋英雄穿越者
驾驶硬件,透明底盘/540度影像,-,-,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●
驾驶硬件,前方感知摄像头,-,-,● 单目,● 单目,-,● 单目,● 单目,● 单目,● 单目,-,● 单目,● 单目,-,-,-,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 1个,● 1个,● 5个,● 5个,● 4个,"● 5个
○ 6个",● 5个,● 6个,● 5个,● 1个,● 5个,● 5个,● 1个,● 4个,● 4个,● 5个,● 5个,● 5个,● 5个,● 5个
驾驶硬件,超声波雷达数量,● 4个,● 4个,"● 4个
○ 12个","● 4个
○ 12个",● 4个,"● 4个
○ 12个","● 4个
○ 12个",● 12个,"● 4个
○ 12个",● 4个,"● 4个
○ 12个","● 4个
○ 12个",● 4个,● 4个,● 4个,● 12个,● 12个,● 12个,"● 4个
○ 12个","● 4个
○ 12个"
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,-,-,● L2,● L2,-,● L2,● L2,● L2,● L2,-,● L2,● L2,-,-,-,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 腾讯,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 腾讯,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
驾驶功能,车道保持辅助系统,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
驾驶功能,车道居中保持,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
驾驶功能,道路交通标识识别,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,○,○,-,○,○,●,○,-,○,○,-,-,-,●,●,●,○,○
驾驶功能,遥控泊车,-,-,○,○,-,○,○,●,○,-,○,○,-,-,-,●,●,-,○,○
驾驶功能,循迹倒车,-,-,○,○,-,○,○,●,○,-,○,○,-,-,-,●,●,●,○,○
驾驶功能,辅助变道,-,-,○,-,-,○,-,●,-,-,-,-,-,-,-,-,●,-,○,-
驾驶功能,辅助驾驶路段,-,-,○ 高速路段,-,-,○ 高速路段,-,● 高速路段,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,无框设计车门,-,-,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●
外观/防盗,尾门玻璃独立开启,-,-,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●
外观/防盗,车顶行李架,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,-,●,-,-,-
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,-,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-,● 前排,● 前排,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,-,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●
外观/防盗,车侧脚踏板,● 固定,● 固定,"● 固定
○ 电动",● 固定,● 固定,"● 固定
○ 电动",● 固定,● 固定,● 固定,● 固定,● 固定,● 固定,● 固定,● 固定,● 固定,"● 固定
○ 电动","● 固定
○ 电动",● 电动,● 固定,● 固定
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,-,-,● 矩阵式,● 矩阵式,-,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,-,● 矩阵式,● 矩阵式,-,-,● 矩阵式,-,-,-,● 矩阵式,● 矩阵式
车外灯光,LED日间行车灯,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
车外灯光,自动头灯,-,-,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●
车外灯光,转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,● LED,● LED,● LED,● LED,-,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,-,● 可开启全景天窗,● 可开启全景天窗,-,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,-,● 可开启全景天窗,● 可开启全景天窗,-,-,● 分段式手动天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 分段式手动天窗,● 分段式手动天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,-,-,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,-,● 全车,● 全车,-,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,-,-,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,-,-,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,-,● 雨量感应式,● 雨量感应式,-,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
天窗/玻璃,可加热喷水嘴,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 15.6英寸,● 10.25英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 12.8英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 10.25英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸
互联/智能化,副驾娱乐屏尺寸,-,-,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 12.8英寸,-,● 15.6英寸,● 15.6英寸,-,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,"● 支持CarPlay
● 亿连",● 原厂互联/映射,"● 支持CarPlay
● 亿连","● 支持CarPlay
● 亿连","● 支持CarPlay
● 亿连","● 支持CarPlay
● 亿连","● 支持CarPlay
● 亿连","● 支持CarPlay
● 亿连","● 支持CarPlay
● 亿连","● 支持CarPlay
● 亿连","● 支持CarPlay
● 亿连","● 支持CarPlay
● 亿连",●,●,●,●,●,●,●,●
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调"
互联/智能化,语音助手唤醒词,● 北京北京,-,● 北京北京,● 北京北京,● 北京北京,● 北京北京,● 北京北京,● 北京北京,● 北京北京,● 北京北京,● 北京北京,● 北京北京,-,● 北京北京,● 北京北京,● 北京北京,● 北京北京,● 北京北京,● 北京北京,● 北京北京
互联/智能化,语音免唤醒词,●,-,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●
互联/智能化,语音分区域唤醒识别,● 双区域,-,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,-,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
互联/智能化,语音连续识别,●,-,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●
互联/智能化,应用商店,●,-,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●
互联/智能化,车机智能芯片,● 高通骁龙8155,-,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,-,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
互联/智能化,车机系统内存(GB),● 16,-,-,-,-,● 16,● 16,● 16,-,● 16,● 16,● 16,-,-,-,-,-,-,-,-
互联/智能化,车机系统存储(GB),● 128,-,-,-,-,● 128,● 128,● 128,-,● 128,● 128,● 128,-,-,-,-,-,-,-,-
互联/智能化,多指飞屏操控,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,●,●,-,-,-
互联/智能化,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车"
互联/智能化,主动降噪,-,-,○,-,-,○,-,-,●,-,●,●,-,-,-,-,●,-,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,"● 皮质
○ 真皮",● 皮质,● 皮质,"● 皮质
○ 真皮",● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 真皮,● 皮质,● 真皮,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下调节,● 手动上下调节,"● 手动上下+前后调节
○ 电动上下+前后调节",● 手动上下+前后调节,● 手动上下+前后调节,"● 手动上下+前后调节
○ 电动上下+前后调节",● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 电动上下+前后调节,● 手动上下+前后调节,● 电动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,○,-,-,○,-,-,-,-,-,-,-,-,-,●,●,●,●,-
方向盘/内后视镜,方向盘记忆,-,-,○,-,-,○,-,-,-,-,-,-,-,-,-,-,●,-,●,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 12.3英寸,● 10.25英寸,● 10.25英寸,● 12.3英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,"● 自动防眩目
○ 流媒体",● 自动防眩目,● 手动防眩目,"● 手动防眩目
○ 自动防眩目
○ 流媒体",● 手动防眩目,"● 自动防眩目
● 流媒体",● 自动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,"● 自动防眩目
● 流媒体",● 自动防眩目,"● 自动防眩目
● 流媒体",● 自动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● AUX","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● AUX","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排4个,● 前排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个
车内充电,220V/230V电源,●,●,●,●,-,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
车内充电,手机无线充电功能,-,-,● 前排,-,-,● 前排,-,● 前排,-,-,-,-,-,-,-,● 前排,● 前排,● 前排,● 前排,-
车内充电,手机无线充电功率,-,-,● 50W,-,-,● 50W,-,● 50W,-,-,-,-,-,-,-,● 50W,● 50W,● 50W,● 50W,-
车内充电,行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,"○ 真皮
● 仿皮",● 仿皮,● 织物,"○ 真皮
● 仿皮",● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 皮/织物混搭,● 皮/织物混搭,● 仿皮,● 真皮,● 仿皮,● 仿皮,● 皮/织物混搭
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● /副-,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,"● 加热
● 通风",-,"● 加热
○ 按摩",● 加热,-,"● 加热
● 通风
○ 按摩",● 加热,"● 加热
● 通风",● 加热,"● 加热
● 通风",● 加热,● 加热,-,-,-,"● 加热
● 通风","● 加热
● 通风
● 按摩","● 加热
● 通风","● 加热
● 通风
● 按摩",● 加热
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
