セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0T エクスプローラー ガソリン版,2024年モデル 2.0T シティハンター オナー版,2026年モデル 2.0T ガソリン 標準版,2026年モデル 2.0T ガソリン 上級版,2026年モデル 2.0T ガソリン エクセレント版,2026年モデル 2.0T ジャイアントスクリーン 標準版,2026年モデル 2.0T ジャイアントスクリーン 上級版,2026年モデル 2.0T 恒途版,2026年モデル 2.0D ディーゼル版,2026年モデル 2.0D エクスプローラー ディーゼル版,2026年モデル 2.0D ジャイアントスクリーン ディーゼル版,2026年モデル 2.0D ジャイアントスクリーン インテリジェントドライブ版,2024年モデル 2.0D ブレードヒーロー オナー版,2024年モデル 2.0T 新型シティハンター 先鋒型,2024年モデル 2.0T 新型ブレードヒーロー クライマー,2024年モデル 2.0T 新型シティハンター 侠客型,2024年モデル 2.0T 新型シティハンター 至尊型,2024年モデル 2.0T 新型シティハンター 上級型,2024年モデル 2.0T 新型環塔チャンピオン版,2024年モデル 2.0D 新型ブレードヒーロー トラベラー
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,"● 265/65 R18タイヤ
○ 265/65 R17タイヤ",● 265/65 R17タイヤ,"● 265/65 R17タイヤ
○ 265/65 R18タイヤ",● 265/65 R17タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,● 265/65 R17タイヤ,"● 265/65 R18タイヤ
○ 265/65 R17タイヤ",● 265/65 R17タイヤ,"● 265/65 R17タイヤ
○ 265/65 R18タイヤ",● 265/65 R17タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,-,-,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,-,前席 ● / 後席,前席 ● / 後席,-,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,前席 ● / 後席 ●,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 全席,● 前席,● 全席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),-,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● 雪道","● スポーツ
● エコ
● 標準／快適
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道"
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,拖挂模式,トレーラーモード,●,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-
四驱/越野,四驱/越野,中央差速器锁止功能,センターデフロック機能,-,-,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●
四驱/越野,四驱/越野,限滑差速器/差速锁,リミテッドスリップデフ/デフロック,"○ フロントアクスル差動ロック
● リアアクスル差動ロック","○ フロントアクスル差動ロック
○ リアアクスル差動ロック","○ フロントアクスル差動ロック（6000元）
● リアアクスル差動ロック","● フロントアクスル差動ロック
● リアアクスル差動ロック",-,"○ フロントアクスル差動ロック（6000元）
● リアアクスル差動ロック","● フロントアクスル差動ロック
● リアアクスル差動ロック",● リアアクスル差動ロック,"● フロントアクスル差動ロック
● リアアクスル差動ロック","○ フロントアクスル差動ロック
● リアアクスル差動ロック","● フロントアクスル差動ロック
● リアアクスル差動ロック","● フロントアクスル差動ロック
● リアアクスル差動ロック","○ フロントアクスル差動ロック
○ リアアクスル差動ロック",-,"○ フロントアクスル差動ロック
● リアアクスル差動ロック","○ フロントアクスル差動ロック
○ リアアクスル差動ロック","○ フロントアクスル差動ロック
○ リアアクスル差動ロック","● フロントアクスル差動ロック
● リアアクスル差動ロック","● フロントアクスル差動ロック
● リアアクスル差動ロック","○ フロントアクスル差動ロック
● リアアクスル差動ロック"
四驱/越野,四驱/越野,涉水感应系统,渡河感知システム,-,-,-,●,-,-,●,-,●,-,●,●,-,-,●,-,-,-,●,●
四驱/越野,四驱/越野,低速四驱,低速4WD,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
四驱/越野,四驱/越野,蠕行模式,クローリングモード,-,-,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●
四驱/越野,四驱/越野,坦克转弯,タンクターン,-,-,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●
四驱/越野,四驱/越野,拖挂钩,トレーラーフック,● マニュアル,-,● マニュアル,● マニュアル,-,● マニュアル,● マニュアル,● マニュアル,● マニュアル,● マニュアル,● マニュアル,● マニュアル,-,○ マニュアル,● マニュアル,○ マニュアル,○ マニュアル,● マニュアル,● マニュアル,● マニュアル
四驱/越野,四驱/越野,拖车取电口,トレーラー電源ソケット,●,-,●,●,-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前／後 ●,前／後 ●,前 ○ ／後 ●,前 ○ ／後 ●,前／後 ●,前 ○ ／後 ●,前 ○ ／後 ●,前席 ● / 後席 ●,前 ○ ／後 ●,前／後 ●,前 ○ ／後 ●,前 ○ ／後 ●,前／後 ●,前／後 ●,前／後 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前 ○ ／後 ●,前 ○ ／後 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ,● バックカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● バックカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● バックカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,-,-,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,-,● 単眼,● 単眼,-,● 単眼,● 単眼,● 単眼,● 単眼,-,● 単眼,● 単眼,-,-,-,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,● 1個,● 5個,● 5個,● 4個,"● 5個
○ 6個",● 5個,● 6個,● 5個,● 1個,● 5個,● 5個,● 1個,● 4個,● 4個,● 5個,● 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 4個,● 4個,"● 4個
○ 12個","● 4個
○ 12個",● 4個,"● 4個
○ 12個","● 4個
○ 12個",● 12個,"● 4個
○ 12個",● 4個,"● 4個
○ 12個","● 4個
○ 12個",● 4個,● 4個,● 4個,● 12個,● 12個,● 12個,"● 4個
○ 12個","● 4個
○ 12個"
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,-,● レベル2,● レベル2,-,● レベル2,● レベル2,● レベル2,● レベル2,-,● レベル2,● レベル2,-,-,-,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● テンセント,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● テンセント,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援システム,-,-,○,○,-,○,○,●,○,-,○,○,-,-,-,●,●,●,○,○
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,-,○,○,-,○,○,●,○,-,○,○,-,-,-,●,●,-,○,○
驾驶功能,運転機能,循迹倒车,トレースバックリバース,-,-,○,○,-,○,○,●,○,-,○,○,-,-,-,●,●,●,○,○
驾驶功能,運転機能,辅助变道,レーンチェンジアシスト,-,-,○,-,-,○,-,●,-,-,-,-,-,-,-,-,●,-,○,-
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,-,○ 高速道路区間,-,-,○ 高速道路区間,-,● 高速道路区間,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,-,-,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,尾门玻璃独立开启,テールゲートガラス独立開閉,-,-,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,-,●,-,-,-
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー",● リモコンキー,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー",● リモコンキー,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー",● リモコンキー,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,-,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-,● 前席,● 前席,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,-,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车侧脚踏板,サイドステップ,● 固定式,● 固定式,"● 固定式
○ 電動式",● 固定式,● 固定式,"● 固定式
○ 電動式",● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,"● 固定式
○ 電動式","● 固定式
○ 電動式",● 電動式,● 固定式,● 固定式
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特徴機能,-,-,● マトリクス式,● マトリクス式,-,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,-,● マトリクス式,● マトリクス式,-,-,● マトリクス式,-,-,-,● マトリクス式,● マトリクス式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,●,●,-,●,●,●,●,-,●,●,-,-,-,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,-,-,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,● LED,● LED,● LED,● LED,-,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,-,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,-,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,-,-,● 分割式手動サンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 分割式手動サンルーフ,● 分割式手動サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降機能,-,-,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,-,● 全席,● 全席,-,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,-,-,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー機能,-,-,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,-,● 雨量感知式,● 雨量感知式,-,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
天窗/玻璃,サンルーフ・ガラス,可加热喷水嘴,ヒーター付きウォッシャーノズル,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● ドアミラー加熱","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納"
互联/智能化,互联/智能化,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
