セクション,セクション_ja,項目,項目_ja,2025年モデル Max,2025年モデル Max+,2025年モデル Pro Max,2025年モデル Ultra,2024年モデル Max 標準版,2024年モデル Max ロングレンジ欧州版,2024年モデル Max ロングレンジ版,2024年モデル Max 超ロングレンジ版,2024年モデル Max ハイパフォーマンス版,2026年モデル 2WD 基本型,2026年モデル 2WD 中間グレード,2026年モデル 4WD 最上位グレード
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,-,-,-
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,-,-,-
驾驶功能,運転機能,高精地图,高精度地図,●,●,●,●,●,●,●,●,●,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●,●,●,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●,-,-,-
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●,●,●,●,●,-,-,-
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●,●,-,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,●,●,●,●,●,●,●,●,●,-,-,-
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●,●,●,●,●,●,-,-,-
驾驶功能,運転機能,记忆泊车,駐車メモリー,○,○,○,○,○,○,○,○,○,-,-,-
驾驶功能,運転機能,循迹倒车,トレースバック駐車,●,●,●,●,●,●,●,●,●,-,-,-
驾驶功能,運転機能,辅助变道,レーンチェンジアシスト,●,●,●,●,●,●,●,●,●,-,-,-
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出アシスト,○,○,○,○,○,○,○,○,○,-,-,-
驾驶功能,運転機能,信号灯识别,信号機認識,●,●,●,●,●,●,●,●,●,-,-,-
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,●,●,●,●,●,●,-,-,-
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,●,●,●,●,●,●,●,-,-,-
驾驶功能,運転機能,辅助驾驶路段,運転支援区間,"○ 市街地
○ 高速道路","○ 市街地
○ 高速道路","○ 市街地
○ 高速道路","○ 市街地
○ 高速道路","○ 市街地
○ 高速道路","○ 市街地
○ 高速道路","○ 市街地
○ 高速道路","○ 市街地
○ 高速道路","○ 市街地
○ 高速道路",-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,-,-,-
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●,●,●,●,●,●,●,-,-,-
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●,●,●,●,-,-,-
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●,●,●,●,●,-,-,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,-,-,-
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● Bluetoothキー
● NFC/RFIDキー","● Bluetoothキー
● NFC/RFIDキー","● Bluetoothキー
● NFC/RFIDキー","● Bluetoothキー
● NFC/RFIDキー","● Bluetoothキー
● NFC/RFIDキー","● Bluetoothキー
● NFC/RFIDキー","● Bluetoothキー
● NFC/RFIDキー","● Bluetoothキー
● NFC/RFIDキー","● Bluetoothキー
● NFC/RFIDキー",-,-,-
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,-,-,-
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-,-,-
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●,●,●,●,●,●,-,-,-
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,●,●,●,●,●,-,-,-
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,-,-,-
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●,●,●,●,●,-,-,-
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●,●,●,●,-,-,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-,-,-
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-,-,-
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,-,-,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,-,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,-,-,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,前大灯雨雾模式,ヘッドライトレインフォグモード,●,●,●,●,●,●,●,●,●,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,-,-,-
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,-,-,-
车外灯光,外部照明,场景灯语,シーンライト演出,○ （8000元）,○ （8000元）,○ （8000元）,○ （8000元）,●,-,●,●,●,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,-,-,-
天窗/玻璃,サンルーフ・ガラス,光感天幕,光感サンルーフ,○ （1.28万元）,○ （1.28万元）,○ （1.28万元）,○ （1.28万元）,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,-,-,-
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウアップダウン機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,-,-,-
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,-,-,-
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席",○ 車内全体（2000元）,● 全車,● 全車,● 全車,● 全車,-,-,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯",-,-,-
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納",-,-,-
互联/智能化,コネクティビティ／スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-,-,-
互联/智能化,コネクティビティ／スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 26.3インチ,● 26.3インチ,● 26.3インチ,● 26.3インチ,● 26.3インチ,● 26.3インチ,● 26.3インチ,● 26.3インチ,● 26.3インチ,-,-,-
互联/智能化,コネクティビティ／スマート機能,中控屏幕类型,センターコンソール画面タイプ,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,-,-,-
互联/智能化,コネクティビティ／スマート機能,中控屏幕分辨率,センターコンソール画面解像度,● 4320×720,● 4320×720,● 4320×720,● 4320×720,● 4320×720,● 4320×720,● 4320×720,● 4320×720,● 4320×720,-,-,-
互联/智能化,コネクティビティ／スマート機能,中控屏幕像素密度,センターコンソール画面ピクセル密度,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,-,-,-
互联/智能化,コネクティビティ／スマート機能,中控下屏幕尺寸,センター下部画面サイズ,● 10.5インチ,● 10.5インチ,● 10.5インチ,● 10.5インチ,● 10.5インチ,● 10.5インチ,● 10.5インチ,● 10.5インチ,● 10.5インチ,-,-,-
互联/智能化,コネクティビティ／スマート機能,中控下屏幕类型,センター下部画面タイプ,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,-,-,-
互联/智能化,コネクティビティ／スマート機能,中控下屏幕分辨率,センター下部画面解像度,● 1500×1640,● 1500×1640,● 1500×1640,● 1500×1640,● 1500×1640,● 1500×1640,● 1500×1640,● 1500×1640,● 1500×1640,-,-,-
互联/智能化,コネクティビティ／スマート機能,中控下屏幕像素密度,センター下部画面ピクセル密度,● 212PPI,● 212PPI,● 212PPI,● 212PPI,● 212PPI,● 212PPI,● 212PPI,● 212PPI,● 212PPI,-,-,-
互联/智能化,コネクティビティ／スマート機能,副驾娱乐屏尺寸,助手席エンタメ画面サイズ,-,● 15.5インチ,-,● 15.5インチ,○ 15.5インチ（6000元）,○ 15.5インチ（6000元）,○ 15.5インチ（6000元）,○ 15.5インチ（6000元）,● 15.5インチ,-,-,-
互联/智能化,コネクティビティ／スマート機能,副驾屏幕类型,助手席画面タイプ,-,● LCD,-,● LCD,○ LCD,○ LCD,○ LCD,○ LCD,● LCD,-,-,-
互联/智能化,コネクティビティ／スマート機能,副驾屏幕分辨率,助手席画面解像度,-,● 2488×720,-,● 2488×720,○ 2488×720,○ 2488×720,○ 2488×720,○ 2488×720,● 2488×720,-,-,-
互联/智能化,コネクティビティ／スマート機能,副驾屏幕像素密度,助手席画面ピクセル密度,-,● 167PPI,-,● 167PPI,○ 167PPI,○ 167PPI,○ 167PPI,○ 167PPI,● 167PPI,-,-,-
互联/智能化,コネクティビティ／スマート機能,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,-,-,-
互联/智能化,コネクティビティ／スマート機能,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応",● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,-,-,-
互联/智能化,コネクティビティ／スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション",-,-,-
互联/智能化,コネクティビティ／スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、智己,● こんにちは、智己,● こんにちは、智己,● こんにちは、智己,● こんにちは、智己,● こんにちは、智己,● こんにちは、智己,● こんにちは、智己,● こんにちは、智己,-,-,-
互联/智能化,コネクティビティ／スマート機能,语音免唤醒词,ウェイクワード不要音声認識,●,●,●,●,●,●,●,●,●,-,-,-
互联/智能化,コネクティビティ／スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,-,-,-
互联/智能化,コネクティビティ／スマート機能,语音连续识别,連続音声認識,●,●,●,●,●,●,●,●,●,-,-,-
互联/智能化,コネクティビティ／スマート機能,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●,●,●,●,-,-,-
互联/智能化,コネクティビティ／スマート機能,应用商店,アプリストア,●,●,●,●,●,●,●,●,●,-,-,-
互联/智能化,コネクティビティ／スマート機能,车载智能系统,車載インテリジェントシステム,● IM OS,● IM OS,● IM OS,● IM OS,● IM OS,● IM OS,● IM OS,● IM OS,● IM OS,-,-,-
互联/智能化,コネクティビティ／スマート機能,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,-,-,-
互联/智能化,コネクティビティ／スマート機能,多指飞屏操控,マルチタッチ画面操作,●,●,●,●,●,●,●,●,●,-,-,-
互联/智能化,コネクティビティ／スマート機能,车联网,コネクテッドカー,●,●,●,●,●,●,●,●,●,-,-,-
互联/智能化,コネクティビティ／スマート機能,4G/5G网络,4G／5Gネットワーク,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,-,-,-
互联/智能化,コネクティビティ／スマート機能,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,-,-,-
互联/智能化,コネクティビティ／スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,-,-,-
互联/智能化,コネクティビティ／スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約",-,-,-
互联/智能化,コネクティビティ／スマート機能,主动降噪,アクティブノイズキャンセリング,●,●,●,●,○ （2000元）,●,●,●,●,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 本革,● 本革,● 本革,● 本革,● 本革,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,●,●,●,●,●,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,-,-,-,-,-,-,-,-,-,-,-,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,-,-,-
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,-,-,-
车内充电,車内充電設備,USB/Type-C最大充电功率,USB／Type-C最大充電出力,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,-,-,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-,-,-
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,-,-,-
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ソケット,●,●,●,●,●,●,●,●,●,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 本革,"○ 本革（8000元）
● 合成皮革","○ 本革（8000元）
● 合成皮革",● 本革,● 本革,● 本革,-,-,-
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）
○ 座面硬さ調整（2000元）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）
○ 座面硬さ調整（2000元）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）
○ 座面硬さ調整（2000元）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）
○ 座面硬さ調整（2000元）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）",-,-,-
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）",-,-,-
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,メイン ● / サブ ●,メイン ● / サブ ●,メイン ● / サブ ●,メイン ● / サブ ●,メイン ● / サブ ●,メイン ● / サブ ●,メイン ● / サブ ●,メイン ● / サブ ●,メイン ● / サブ ●,-,-,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● 加熱
● 通風
● マッサージ","● 加熱
● 通風
● マッサージ","● 加熱
● 通風
● マッサージ","● 加熱
● 通風
● マッサージ","● 加熱
● 通風","● 加熱
● 通風","● 加熱
● 通風","● 加熱
● 通風","● 加熱
● 通風",-,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席",● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,-,-,-
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,●,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,● 加熱,"● 加熱
● マッサージ",● 加熱,"● 加熱
● マッサージ",-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,-,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,-,-,-
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 21スピーカー,● 21スピーカー,● 21スピーカー,● 21スピーカー,○ 21スピーカー（6000元）,● 21スピーカー,● 21スピーカー,● 21スピーカー,● 21スピーカー,-,-,-
音响/车内灯光,オーディオ・室内照明,WANOS全景声,WANOSパノラマサウンド,●,●,●,●,○,●,●,●,●,-,-,-
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●,●,●,●,-,-,-
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 256色,● 256色,● 256色,● 256色,● 256色,● 256色,● 256色,● 256色,● 256色,-,-,-
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●,●,●,●,●,●,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,-,-,-
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●,●,●,●,●,●,-,-,-
