セクション,セクション_ja,項目,項目_ja,2025年モデル 1.5T 2WD 尊享ハイブリッド版,2025年モデル 1.5T 2WD 尊雅ハイブリッド版,2025年モデル 2.0T 2WD 尊悦版,2025年モデル 2.0T 2WD 尊享版,2025年モデル 2.0T 2WD 尊雅版,2025年モデル 2.0T 4WD 尊耀版,2024年モデル 2.0T 2WD 尊悦版,2024年モデル 2.0T 2WD 尊享版,2024年モデル 2.0T 2WD 尊雅版,2024年モデル 2.0T 4WD 尊耀版,2024年モデル 1.5T 2WD 尊享ハイブリッド版,2024年モデル 1.5T 2WD 尊雅ハイブリッド版,2024年モデル 1.5T 2WD 木蘭特別ハイブリッド版
驾驶功能,運転機能,地图品牌,地図ブランド,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,●,-,-,●,●,-,-,●,●,-,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,-,●,-,-,●,●,-,-,●,●,-,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,●,-,-,-,●,-,-,-
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,-,-,-,-,-,-,-,-,-,●,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,●,-,-,●,●,-,-,●,●,-,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,"● リモコンキー
● ブルートゥースキー",● リモコンキー,● リモコンキー,● リモコンキー,"● リモコンキー
● ブルートゥースキー",● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,スマートキーエントリー,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,-,-,-,-,-,●,-,-,-,●,-,-,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,-,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,-,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインドウ多層防音ガラス,● 前席,● 全車対応,● 前席,● 前席,● 全車対応,● 全車対応,● 前席,● 前席,● 全車対応,● 全車対応,● 前席,● 全車対応,● 全車対応
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側面プライバシーガラス,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目機能","● 電動調整
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目機能","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目機能","● 電動調整
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目機能","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目機能","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目機能","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目機能"
互联/智能化,コネクティビティ／スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ／スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 27インチ,● 27インチ,● 27インチ,● 27インチ,● 27インチ,● 27インチ,● 27インチ,● 27インチ,● 27インチ,● 27インチ,● 27インチ,● 27インチ,● 27インチ
互联/智能化,コネクティビティ／スマート機能,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応
互联/智能化,コネクティビティ／スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン"
互联/智能化,コネクティビティ／スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、リンカーン（音声認識システム）,● こんにちは、リンカーン（音声認識システム）,● こんにちは、リンカーン（音声認識システム）,● こんにちは、リンカーン（音声認識システム）,● こんにちは、リンカーン（音声認識システム）,● こんにちは、リンカーン（音声認識システム）,● こんにちは、リンカーン（音声認識システム）,● こんにちは、リンカーン（音声認識システム）,● こんにちは、リンカーン（音声認識システム）,● こんにちは、リンカーン（音声認識システム）,● こんにちは、リンカーン（音声認識システム）,● こんにちは、リンカーン（音声認識システム）,● こんにちは、リンカーン（音声認識システム）
互联/智能化,コネクティビティ／スマート機能,语音免唤醒词,音声起動ワード不要,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン（2ゾーンエアコン）,● デュアルゾーン（2ゾーンエアコン）,● デュアルゾーン（2ゾーンエアコン）,● デュアルゾーン（2ゾーンエアコン）,● デュアルゾーン（2ゾーンエアコン）,● デュアルゾーン（2ゾーンエアコン）,● デュアルゾーン（2ゾーンエアコン）,● デュアルゾーン（2ゾーンエアコン）,● デュアルゾーン（2ゾーンエアコン）,● デュアルゾーン（2ゾーンエアコン）,● デュアルゾーン（2ゾーンエアコン）,● デュアルゾーン（2ゾーンエアコン）,● デュアルゾーン（2ゾーンエアコン）
互联/智能化,コネクティビティ／スマート機能,语音连续识别,音声連続認識,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,车载智能系统,車載インテリジェントシステム,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+
互联/智能化,コネクティビティ／スマート機能,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
互联/智能化,コネクティビティ／スマート機能,车联网,コネクテッドカー,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,4G/5G网络,4G/5Gネットワーク,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応
互联/智能化,コネクティビティ／スマート機能,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,V2X通讯,V2X通信,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索"
互联/智能化,コネクティビティ／スマート機能,主动降噪,アクティブノイズキャンセリング,●,●,-,-,-,●,-,-,-,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,-,-,●,●,●,●,●,●,●,●,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,-,●,●,●,-,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,●,-,-,-,●,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,-,-,-,●,-,-,-,●,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,-,-,-,-,-,● 17インチ,-,-,-,● 17インチ,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 自動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマートフォンワイヤレス充電機能,-,● 前席,-,-,● 前席,● 前席,-,-,● 前席,● 前席,-,● 前席,● 前席
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革（フェイクレザー）,● 本革,● 合成皮革（フェイクレザー）,● 合成皮革（フェイクレザー）,● 本革,● 本革,● 合成皮革（フェイクレザー）,● 合成皮革（フェイクレザー）,● 本革,● 本革,● 合成皮革（フェイクレザー）,● 本革,● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 肩部調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 肩部調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 肩部調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 肩部調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● シートヒーター
● ベンチレーション（通風）","● シートヒーター
● ベンチレーション（通風）",● シートヒーター,"● シートヒーター
● ベンチレーション（通風）","● シートヒーター
● ベンチレーション（通風）","● シートヒーター
● ベンチレーション（通風）
● マッサージ機能",● シートヒーター,"● シートヒーター
● ベンチレーション（通風）","● シートヒーター
● ベンチレーション（通風）","● シートヒーター
● ベンチレーション（通風）
● マッサージ機能","● シートヒーター
● ベンチレーション（通風）","● シートヒーター
● ベンチレーション（通風）","● シートヒーター
● ベンチレーション（通風）"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,-,-,-,● シートヒーター,-,-,-,● シートヒーター,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,后排座椅电动放倒,後席電動可倒,-,-,-,-,-,●,-,-,-,●,-,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,○ Revel（レベル）スピーカー（8000元）,-,-,○ Revel（レベル）スピーカー（8000元）,● Revel（レベル）スピーカー,-,-,○ Revel（レベル）スピーカー（8000元）,● Revel（レベル）スピーカー,-,○ Revel（レベル）スピーカー（8000元）,○ Revel（レベル）スピーカー（8000元）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 8スピーカー,"● 8スピーカー
○ 14スピーカー",● 8スピーカー,● 8スピーカー,"● 8スピーカー
○ 14スピーカー",● 14スピーカー,● 8スピーカー,● 8スピーカー,"● 8スピーカー
○ 14スピーカー",● 14スピーカー,● 8スピーカー,"● 8スピーカー
○ 14スピーカー","● 8スピーカー
○ 14スピーカー"
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 7色（イルミネーション）,● 7色（イルミネーション）,-,● 7色（イルミネーション）,● 7色（イルミネーション）,● 7色（イルミネーション）,-,● 7色（イルミネーション）,● 7色（イルミネーション）,● 7色（イルミネーション）,● 7色（イルミネーション）,● 7色（イルミネーション）,● 7色（イルミネーション）
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●
