セクション,項目,捷途山海L7 PLUS 2026款 121km 标准版 5座,捷途山海L7 PLUS 2026款 121km 舒适版 5座,捷途山海L7 PLUS 2026款 121km 豪华版 5座,捷途山海L7 PLUS 2026款 121km 豪华版 7座,捷途山海L7 PLUS 2026款 220km 精英版 5座,捷途山海L7 PLUS 2026款 220km 精英版 7座,捷途山海L7 PLUS 2026款 220km 豪华版 5座,捷途山海L7 PLUS 2026款 220km 豪华版 7座,捷途山海L7 PLUS 2026款 220km 旗舰版 5座,捷途山海L7 PLUS 2026款 220km 旗舰版 7座
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机APP远程功能,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排1个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个
车内充电,220V/230V电源,-,-,-,-,-,-,-,-,-,○
车内充电,手机无线充电功能,-,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,-,-,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,-,-,"● 加热
● 通风","● 加热
● 通风","● 加热
● 通风","● 加热
● 通风","● 加热
● 通风","● 加热
● 通风","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩"
座椅配置,电动座椅记忆功能,-,-,-,-,-,"● 驾驶位
● 副驾驶位",-,"● 驾驶位
● 副驾驶位",-,"● 驾驶位
● 副驾驶位"
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,○
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,"● 前后调节
● 靠背调节",● 靠背调节,"● 前后调节
● 靠背调节",● 靠背调节,"● 前后调节
● 靠背调节",● 靠背调节,"● 前后调节
● 靠背调节"
座椅配置,第二排座椅电动调节,-,-,-,-,-,●,-,●,-,●
座椅配置,第二排座椅功能,-,-,-,-,-,-,-,-,-,○ 加热
座椅配置,后排小桌板,-,-,-,-,-,-,-,-,●,●
座椅配置,第三排座椅调节,-,-,-,● 靠背调节,-,● 靠背调节,-,● 靠背调节,-,● 靠背调节
座椅配置,第三排座椅电动调节,-,-,-,-,-,●,-,●,-,●
座椅配置,座椅布局,-,-,-,● 2-3-2,-,● 2-3-2,-,● 2-3-2,-,● 2-3-2
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,后排座椅电动放倒,-,-,-,-,-,●,-,●,-,●
座椅配置,前/后中央扶手,前 ● /后-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,-,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 6喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,"● 8喇叭
○ 12喇叭"
音响/车内灯光,车内环境氛围灯,-,-,●,●,●,●,●,●,●,●
音响/车内灯光,主动式环境氛围灯,-,-,-,-,-,-,-,-,-,○
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,○
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,○
空调/冰箱,负离子发生器,-,-,-,-,-,-,-,-,-,○
空调/冰箱,空气质量监测,-,-,-,-,-,-,-,-,-,○
空调/冰箱,车载冰箱,-,-,-,-,-,-,-,-,●,●
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–
选装包,舒享选装包,-,-,-,-,-,-,-,-,-,○ 选配 (11000元)
