セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 1380 PLUS,2026年モデル 増程 1330 Max,2026年モデル 増程 1330 Ultra SE,2026年モデル 純電 550 PLUS,2026年モデル 純電 650 PLUS,2026年モデル 純電 525 Max,2026年モデル 純電 625 Max,2026年モデル 純電 525 Ultra SE,2026年モデル 純電 625 Ultra SE
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,辅助驾驶灯,運転支援ライト,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ウインドウワンタッチ昇降機能,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー機能,● 雨量感知式（レインセンサー）,● 雨量感知式（レインセンサー）,● 雨量感知式（レインセンサー）,● 雨量感知式（レインセンサー）,● 雨量感知式（レインセンサー）,● 雨量感知式（レインセンサー）,● 雨量感知式（レインセンサー）,● 雨量感知式（レインセンサー）,● 雨量感知式（レインセンサー）
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納"
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ
互联/智能化,コネクティビティ/スマート機能,中控屏幕分辨率,センターコンソール画面解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,"● HUAWEI HiCar対応
● Carlink対応","● HUAWEI HiCar対応
● Carlink対応","● HUAWEI HiCar対応
● Carlink対応","● HUAWEI HiCar対応
● Carlink対応","● HUAWEI HiCar対応
● Carlink対応","● HUAWEI HiCar対応
● Carlink対応","● HUAWEI HiCar対応
● Carlink対応","● HUAWEI HiCar対応
● Carlink対応","● HUAWEI HiCar対応
● Carlink対応"
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
○ シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
○ シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
○ シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
○ シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
○ シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
○ シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
○ シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
○ シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
○ シートマッサージ"
互联/智能化,コネクティビティ/スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小P（音声アシスタント）,● こんにちは、小P（音声アシスタント）,● こんにちは、小P（音声アシスタント）,● こんにちは、小P（音声アシスタント）,● こんにちは、小P（音声アシスタント）,● こんにちは、小P（音声アシスタント）,● こんにちは、小P（音声アシスタント）,● こんにちは、小P（音声アシスタント）,● こんにちは、小P（音声アシスタント）
互联/智能化,コネクティビティ/スマート機能,语音免唤醒词,音声起動ワード不要,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）
互联/智能化,コネクティビティ/スマート機能,语音连续识别,音声連続認識,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,应用商店,アプリストア,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车载智能系统,車載インテリジェントシステム,● 天玑AIOS,● 天玑AIOS,● 天玑AIOS,● 天玑AIOS,● 天玑AIOS,● 天玑AIOS,● 天玑AIOS,● 天玑AIOS,● 天玑AIOS
互联/智能化,コネクティビティ/スマート機能,车机智能芯片,車載スマートチップ,● MT8676,● MT8676,● MT8676,● MT8676,● MT8676,● MT8676,● MT8676,● MT8676,● MT8676
互联/智能化,コネクティビティ/スマート機能,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G/5Gネットワーク,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約"
互联/智能化,コネクティビティ/スマート機能,主动降噪,アクティブノイズキャンセリング,○ （600元）,○ （600元）,○ （600元）,○ （600元）,○ （600元）,○ （600元）,○ （600元）,○ （600元）,○ （600元）
互联/智能化,コネクティビティ/スマート機能,车载KTV,車載KTV,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ハンドル位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ハンドル,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,●,●,-,-,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,"● USB
● Type-Cポート","● USB
● Type-Cポート","● USB
● Type-Cポート","● USB
● Type-Cポート","● USB
● Type-Cポート","● USB
● Type-Cポート","● USB
● Type-Cポート","● USB
● Type-Cポート","● USB
● Type-Cポート"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ポート,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,"○ 本革
● 合成皮革","○ 本革
● 合成皮革","○ 本革
● 合成皮革","○ 本革
● 合成皮革","○ 本革
● 合成皮革","○ 本革
● 合成皮革","○ 本革
● 合成皮革","○ 本革
● 合成皮革","○ 本革
● 合成皮革"
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● シートヒーター
● ベンチレーション
○ マッサージ機能","● シートヒーター
● ベンチレーション
○ マッサージ機能","● シートヒーター
● ベンチレーション
○ マッサージ機能","● シートヒーター
● ベンチレーション
○ マッサージ機能","● シートヒーター
● ベンチレーション
○ マッサージ機能","● シートヒーター
● ベンチレーション
○ マッサージ機能","● シートヒーター
● ベンチレーション
○ マッサージ機能","● シートヒーター
● ベンチレーション
○ マッサージ機能","● シートヒーター
● ベンチレーション
○ マッサージ機能"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整
座椅配置,シート装備,零重力座椅,ゼログラビティシート,○ 助手席（6999元）,○ 助手席（6999元）,○ 助手席（6999元）,○ 助手席（6999元）,○ 助手席（6999元）,○ 助手席（6999元）,○ 助手席（6999元）,○ 助手席（6999元）,○ 助手席（6999元）
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,"● 9スピーカー
○ 20スピーカー（4000元）","● 9スピーカー
○ 20スピーカー（4000元）","● 9スピーカー
○ 20スピーカー（4000元）","● 9スピーカー
○ 20スピーカー（4000元）","● 9スピーカー
○ 20スピーカー（4000元）","● 9スピーカー
○ 20スピーカー（4000元）","● 9スピーカー
○ 20スピーカー（4000元）","● 9スピーカー
○ 20スピーカー（4000元）","● 9スピーカー
○ 20スピーカー（4000元）"
音响/车内灯光,オーディオ・室内照明,扬声器布局,スピーカー配置,○ 7.1.4サラウンド,○ 7.1.4サラウンド,○ 7.1.4サラウンド,○ 7.1.4サラウンド,○ 7.1.4サラウンド,○ 7.1.4サラウンド,○ 7.1.4サラウンド,○ 7.1.4サラウンド,○ 7.1.4サラウンド
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 256色表示,● 256色表示,● 256色表示,● 256色表示,● 256色表示,● 256色表示,● 256色表示,● 256色表示,● 256色表示
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–
选装包,オプションパッケージ,副驾零重力座椅+前排座椅14点云朵按摩,助手席ゼログラビティシート＋前席14点クラウドマッサージ,○ オプション（6999元）,○ オプション（6999元）,○ オプション（6999元）,○ オプション（6999元）,○ オプション（6999元）,○ オプション（6999元）,○ オプション（6999元）,○ オプション（6999元）,○ オプション（6999元）
选装包,オプションパッケージ,ROAM主题套装,ROAMテーマパッケージ,○ オプション（9999元）,○ オプション（9999元）,○ オプション（9999元）,○ オプション（9999元）,○ オプション（9999元）,○ オプション（9999元）,○ オプション（9999元）,○ オプション（9999元）,○ オプション（9999元）
选装包,オプションパッケージ,AI底盘,AIシャーシ,-,○ オプション（4000元）,○ オプション（4000元）,-,-,○ オプション（4000元）,○ オプション（4000元）,○ オプション（4000元）,○ オプション（4000元）
