セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 1215 悦享版,2026年モデル 増程 1215 睿享版,2026年モデル 増程 1215 元境智行版,2026年モデル 純電 560 睿享版,2026年モデル 純電 560 元境智行版,2026年モデル 純電 660 元境神行版,2026年モデル 純電 705 元境智行版
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,"● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターディスプレイ解像度,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080
屏幕/系统,ディスプレイ・システム,中控屏幕像素密度,センターディスプレイ画素密度,● 141PPI,● 141PPI,● 141PPI,● 141PPI,● 141PPI,● 141PPI,● 141PPI
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● 純正連携/ミラーリング
● HUAWEI HiCar対応","● CarPlay対応
● 純正連携/ミラーリング
● HUAWEI HiCar対応","● CarPlay対応
● 純正連携/ミラーリング
● HUAWEI HiCar対応","● CarPlay対応
● 純正連携/ミラーリング
● HUAWEI HiCar対応","● CarPlay対応
● 純正連携/ミラーリング
● HUAWEI HiCar対応","● CarPlay対応
● 純正連携/ミラーリング
● HUAWEI HiCar対応","● CarPlay対応
● 純正連携/ミラーリング
● HUAWEI HiCar対応"
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ"
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● 小狐同学（AIアシスタント）,● 小狐同学（AIアシスタント）,● 小狐同学（AIアシスタント）,● 小狐同学（AIアシスタント）,● 小狐同学（AIアシスタント）,● 小狐同学（AIアシスタント）,● 小狐同学（AIアシスタント）
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● α-OS,● α-OS,● α-OS,● α-OS,● α-OS,● α-OS,● α-OS
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載チップセット,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8775,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8775,● Qualcomm Snapdragon 8775,● Qualcomm Snapdragon 8775
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 16,● 16,● 24,● 16,● 24,● 24,● 24
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 128,● 128,● 256,● 128,● 256,● 256,● 256
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/整備予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/整備予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/整備予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/整備予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/整備予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/整備予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/整備予約"
智能化配置,スマート機能装備,车载KTV,車載カラオケ,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,●,-,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,ヘッドアップディスプレイサイズ,● 22.8インチ,● 22.8インチ,● 22.8インチ,● 22.8インチ,● 22.8インチ,● 22.8インチ,● 22.8インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○,○,○,○,○,○,○
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB／Type-C最大充電出力,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,●,●,●,●,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席,主● / 副●,主● / 副●,主● / 副●,主● / 副●,主● / 副●,主● / 副●
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,"● シートヒーター
● シートベンチレーション","● シートヒーター
● シートベンチレーション
● シートマッサージ","● シートヒーター
● シートベンチレーション","● シートヒーター
● シートベンチレーション
● シートマッサージ","● シートヒーター
● シートベンチレーション
● シートマッサージ","● シートヒーター
● シートベンチレーション
● シートマッサージ"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,● シートヒーター,-,● シートヒーター,● シートヒーター,● シートヒーター
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 8スピーカー,● 8スピーカー,● 18スピーカー,● 8スピーカー,● 18スピーカー,● 18スピーカー,● 18スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,● 256色,-,● 256色,● 256色,● 256色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,-,-,-,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–
