セクション,項目,长安UNI-V 2025款 第三代 1.5T 500Bar尊贵型,长安UNI-V 2025款 第三代 1.5T 500Bar尊贵运动型,长安UNI-V 2025款 1.5T 500Bar尊享型,长安UNI-V 2025款 1.5T 500Bar尊贵型,长安UNI-V 2025款 1.5T 500Bar尊贵运动型,长安UNI-V 2025款 1.5T 500Bar黑武士版,长安UNI-V 2025款 1.5T 500Bar高能版,长安UNI-V 2025款 1.5T 500Bar高能运动版,长安UNI-V 2025款 第三代 2.0T 劲速型,长安UNI-V 2025款 第三代 2.0T 劲擎型,长安UNI-V 2024款 1.5T 尊享型,长安UNI-V 2024款 1.5T 高能版,长安UNI-V 2024款 1.5T 尊贵型,长安UNI-V 2024款 1.5T 尊贵运动型,长安UNI-V 2024款 1.5T 智慧领航型,长安UNI-V 2024款 2.0T 高能版,长安UNI-V 2024款 2.0T 经典运动型
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,-,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,-,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 14.6英寸,● 14.6英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 14.6英寸,● 14.6英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,"● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink",● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,"● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink",● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调"
互联/智能化,语音助手唤醒词,● 小安，你好,● 小安，你好,-,-,-,-,-,-,● 小安，你好,● 小安，你好,-,-,-,-,-,-,-
互联/智能化,语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,-,-
互联/智能化,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,-,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
互联/智能化,手势控制,-,-,-,●,●,●,●,●,-,-,-,●,●,●,●,●,●
互联/智能化,面部识别,-,-,-,●,●,●,●,●,-,-,-,●,●,●,●,●,●
互联/智能化,应用商店,●,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-
互联/智能化,车载智能系统,● 引力OS,● 引力OS,● 引力OS,● 引力OS,● 引力OS,● 引力OS,● 引力OS,● 引力OS,● 引力OS,● 引力OS,● 引力OS,-,● 引力OS,● 引力OS,● 引力OS,-,-
互联/智能化,车机智能芯片,● SuperFast,● SuperFast,● SuperFast,● SuperFast,● SuperFast,● SuperFast,● SuperFast,● SuperFast,● SuperFast,● SuperFast,● SuperFast,● SuperFast,● SuperFast,● SuperFast,● SuperFast,● SuperFast,● SuperFast
互联/智能化,多指飞屏操控,●,●,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●
互联/智能化,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 车灯控制
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车
● 多媒体控制","● 车门控制
● 车窗控制
● 车辆启动
● 车灯控制
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车
● 多媒体控制","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 车灯控制
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车
● 多媒体控制","● 车门控制
● 车窗控制
● 车辆启动
● 车灯控制
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车
● 多媒体控制","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车"
互联/智能化,车载KTV,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●,-,-
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,-,●,-,●,●,●,●,●,-,●,-,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.25英寸,● 10.25英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,● USB,● USB,"● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD",● USB,● USB,"● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD","● USB
● SD"
车内充电,USB/Type-C接口数量,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个
车内充电,手机无线充电功能,● 前排,● 前排,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,● 50W,● 50W,-,-,-,-,-,-,● 50W,● 50W,-,-,-,-,-,-,-
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 皮/翻毛材质混搭,● 皮/翻毛材质混搭,● 仿皮,● 皮/翻毛材质混搭,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,运动风格座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,"● 加热(仅驾驶位)
● 通风(仅驾驶位)
○ 加热(仅副驾驶位)
○ 通风(仅副驾驶位)","● 加热(仅驾驶位)
● 通风(仅驾驶位)",-,"● 加热(仅驾驶位)
● 通风(仅驾驶位)","● 加热(仅驾驶位)
● 通风(仅驾驶位)","● 加热(仅驾驶位)
● 通风(仅驾驶位)",-,-,"● 加热(仅驾驶位)
● 通风(仅驾驶位)","● 加热(仅驾驶位)
● 通风(仅驾驶位)",-,-,"● 加热(仅驾驶位)
● 通风(仅驾驶位)","● 加热(仅驾驶位)
● 通风(仅驾驶位)","● 加热(仅驾驶位)
● 通风(仅驾驶位)","● 加热(仅驾驶位)
● 通风(仅驾驶位)","● 加热(仅驾驶位)
● 通风(仅驾驶位)"
座椅配置,电动座椅记忆功能,○ 驾驶位,-,-,● 驾驶位,● 驾驶位,● 驾驶位,-,-,-,-,-,-,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,○ Pioneer先锋,○ Pioneer先锋,○ Pioneer先锋,-,-,-,-,-,-,○ SONY索尼 (1999元),○ SONY索尼 (1999元),● SONY索尼,● SONY索尼,● SONY索尼
音响/车内灯光,扬声器数量,"● 8喇叭
○ 18喇叭 (2999元)","● 8喇叭
○ 18喇叭 (2999元)",● 6喇叭,"● 8喇叭
○ 10喇叭","● 8喇叭
○ 10喇叭","● 8喇叭
○ 10喇叭",● 8喇叭,● 8喇叭,"● 8喇叭
○ 18喇叭 (2999元)","● 8喇叭
○ 18喇叭 (2999元)",● 6喇叭,● 8喇叭,"● 8喇叭
○ 10喇叭","● 8喇叭
○ 10喇叭",● 10喇叭,● 10喇叭,● 10喇叭
音响/车内灯光,杜比全景声(Dolby Atmos),○,○,-,-,-,-,-,-,○,○,-,-,-,-,-,-,-
音响/车内灯光,车内环境氛围灯,● 256色,● 256色,-,● 64色,● 64色,● 64色,● 64色,● 64色,● 256色,● 256色,-,● 64色,● 64色,● 64色,● 64色,● 64色,● 64色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,○,-,-,●,●,●,●,●,-,-,-,●,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,负离子发生器,-,-,-,●,●,●,●,●,-,-,-,●,●,●,●,●,●
特色配置,三指飞屏多功能双屏互动,●,●,-,-,-,-,-,-,●,●,-,●,-,-,-,●,●
特色配置,可变排气声浪,-,●,-,-,-,-,-,-,-,●,-,-,-,-,-,●,●
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
选装包,静享舒适包,○ 选配 (暂无价格),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
选装包,杜比影音包,○ 选配 (2999元),○ 选配 (2999元),-,-,-,-,-,-,○ 选配 (2999元),○ 选配 (2999元),-,-,-,-,-,-,-
选装包,驾控性能包,-,○ 选配 (2999元),-,-,-,-,-,-,○ 选配 (2999元),-,-,-,-,-,-,-,-
选装包,畅享音质包,-,-,-,○ 选配 (1499元),○ 选配 (1499元),○ 选配 (1499元),-,-,-,-,-,-,-,-,-,-,-
选装包,畅享音质包,-,-,-,-,-,-,-,-,-,-,-,-,○ 选配 (1999元),○ 选配 (1999元),-,-,-
选装包,静享驾悦包,-,-,-,-,-,-,-,-,-,-,-,-,○ 选配 (2999元),-,○ 选配 (2999元),-,-
