セクション,セクション_ja,項目,項目_ja,2025年モデル 615 Air版,2025年モデル 615 Pro版,2025年モデル 615 Max版,2025年モデル 560 4WD Max版,2024年モデル 615 Air版,2024年モデル 615 Pro版,2024年モデル 615 Max版,2024年モデル 560 4WD Max版
互联/智能化,コネクティビティ/スマート機能,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,-,-,-,-
互联/智能化,コネクティビティ/スマート機能,车联网,車載ネットワーク,●,●,●,●,-,●,●,●
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,-,● 4G,● 4G,● 4G
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,●,●,●,●,-,●,●,●
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,-,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドア操作
● 車両始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検／整備予約","● ドア操作
● 車両始動
● 充電管理
● エアコン操作
● ステアリングヒーター
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検／整備予約","● ドア操作
● 車両始動
● 充電管理
● エアコン操作
● ステアリングヒーター
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検／整備予約","● ドア操作
● 車両始動
● 充電管理
● エアコン操作
● ステアリングヒーター
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検／整備予約","● ドア操作
● 車両始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検／整備予約","● ドア操作
● 車両始動
● 充電管理
● エアコン操作
● ステアリングヒーター
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検／整備予約","● ドア操作
● 車両始動
● 充電管理
● エアコン操作
● ステアリングヒーター
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検／整備予約","● ドア操作
● 車両始動
● 充電管理
● エアコン操作
● ステアリングヒーター
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検／整備予約"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● 本革,● 本革,● 本革,● プラスチック,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,●,●,●,-,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 自動防眩,● 自動防眩,● 手動防眩,● 手動防眩,● 自動防眩,● 自動防眩
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ （600元）,○ （600元）,○ （600元）,○ （600元）,○ （600元）,○ （600元）,○ （600元）,○ （600元）
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,● 前席,● 前席,-,-,● 前席,● 前席
座椅配置,シート装備,座椅材质,シート素材,● 革／ファブリックコンビ,"● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革",● 革／ファブリックコンビ,"● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革"
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,-,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,"● ヒーター
● ベンチレーション","● ヒーター
● ベンチレーション","● ヒーター
● ベンチレーション",-,"● ヒーター
● ベンチレーション","● ヒーター
● ベンチレーション","● ヒーター
● ベンチレーション"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,● 運転席,● 運転席,-,-,●,●
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,● JBL,● JBL,-,-,● JBL,● JBL
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,● 9スピーカー,● 9スピーカー,● 6スピーカー,● 6スピーカー,● 9スピーカー,● 9スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,○,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,-,○,-,-,-,-
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–
选装包,オプションパッケージ,高性能20英寸轮毂套装,高性能20インチホイールセット,-,-,-,○ オプション（価格未定）,-,-,-,○ オプション（価格未定）
选装包,オプションパッケージ,白色专属轮眉,専用ホワイトフェンダーフレア,-,-,-,-,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）
选装包,オプションパッケージ,高性能20英寸轮毂套装,高性能20インチホイールセット,-,-,-,-,-,-,-,○ オプション（価格未定）
选装包,オプションパッケージ,高效太阳能充电穹顶,高効率ソーラー充電ドーム,-,-,-,-,-,-,-,○ オプション（価格未定）
选装包,オプションパッケージ,高效太阳能充电穹顶,高効率ソーラー充電ドーム,-,-,-,-,-,-,-,○ オプション（価格未定）
