セクション,項目,腾势N9 2026款 闪充 尊荣型,腾势N9 2026款 闪充 尊越型,腾势N9 2026款 闪充 旗舰型,腾势N9 2026款 尊荣型,腾势N9 2026款 尊越型,腾势N9 2026款 旗舰版
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,行李厢12V电源接口,●,●,●,●,●,●
座椅配置,座椅材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)
● 侧翼支撑(主动)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)
● 侧翼支撑(主动)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)
● 侧翼支撑(主动)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)
● 侧翼支撑(主动)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)
● 侧翼支撑(主动)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)
● 侧翼支撑(主动)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩
● 头枕扬声器","● 加热
● 通风
● 按摩
● 头枕扬声器","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩
● 头枕扬声器"
座椅配置,电动座椅记忆功能,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位"
座椅配置,副驾驶位后排可调节按钮,●,●,●,●,●,●
座椅配置,第二排座椅调节,"● 前后调节
● 靠背调节
● 腰部调节
● 左右调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节
● 左右调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节
● 左右调节","● 前后调节
● 靠背调节
● 腰部调节
● 左右调节","● 前后调节
● 靠背调节
● 腰部调节
● 左右调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节
● 左右调节"
座椅配置,第二排座椅电动调节,●,●,●,●,●,●
座椅配置,第二排座椅功能,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩"
座椅配置,后排小桌板,●,●,●,●,●,●
座椅配置,零重力座椅,-,● 副驾驶,● 副驾驶,-,● 副驾驶,● 副驾驶
座椅配置,第二排独立座椅,●,●,●,●,●,●
座椅配置,第三排座椅调节,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节"
座椅配置,第三排座椅电动调节,●,●,●,●,●,●
座椅配置,第三排座椅功能,● 加热,● 加热,● 加热,-,-,● 加热
座椅配置,座椅布局,● 2-2-2,● 2-2-2,● 2-2-2,● 2-2-2,● 2-2-2,● 2-2-2
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,后排座椅电动放倒,●,●,●,●,●,●
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,● DEVIALET帝瓦雷,● DEVIALET帝瓦雷,● DEVIALET帝瓦雷,● DEVIALET帝瓦雷,● DEVIALET帝瓦雷,● DEVIALET帝瓦雷
音响/车内灯光,扬声器数量,● 20喇叭,● 26喇叭,● 26喇叭,● 20喇叭,● 20喇叭,● 26喇叭
音响/车内灯光,杜比全景声(Dolby Atmos),●,●,●,●,●,●
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色
音响/车内灯光,主动式环境氛围灯,●,●,●,●,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,●,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●
空调/冰箱,负离子发生器,●,●,●,●,●,●
空调/冰箱,车内香氛装置,●,●,●,●,●,●
空调/冰箱,空气质量监测,●,●,●,●,●,●
空调/冰箱,车载冰箱,●,●,●,●,●,●
颜色,外观颜色,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–
选装包,吸顶屏套装,○ 选配 (16000元),-,-,○ 选配 (16000元),-,-
选装包,极致性能套装,-,-,-,○ 选配 (21000元),○ 选配 (21000元),-
选装包,灵鸢比亚迪智能车载无人机系统,-,-,-,-,-,○ 选配 (16968元)
