セクション,セクション_ja,項目,項目_ja,2026年モデル 初心者向け 330 Fly,2026年モデル 知的遊び版 305 Fly,2026年モデル 初心者向け 330 Air,2026年モデル 知的遊び版 305 Air,2026年モデル 初心者向け 330 Plus,2026年モデル 初心者向け 430 Air,2026年モデル 知的遊び版 305 Ultra,2026年モデル プレミアム 330 Pro,2026年モデル プレミアム 330 Ultra,2026年モデル 知的遊び版 430 Pro,2026年モデル プレミアム 430 Pro,2026年モデル Cross Pro,2026年モデル Cross Ultra,2026年モデル プレミアム 430 Ultra,2025年モデル 330 教習車版,2024年モデル 330 業務用版,2024年モデル 430 業務用版,2024年モデル リニューアル版 430 Plus智+,2024年モデル リニューアル版 430 Max智+
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,-,-,-,-,-,-,-,● 単眼,-,● 単眼,-,● 単眼,● 単眼,-,-,-,-,● 単眼
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,-,-,● 1個,○ 1個,● 4個,● 1個,● 4個,● 4個,● 5個,● 4個,● 5個,● 4個,● 5個,● 5個,-,● 1個,● 1個,● 4個,● 5個
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,-,-,-,-,-,-,-,-,● 200万画素,-,● 200万画素,-,● 200万画素,● 200万画素,-,-,-,-,● 200万画素
驾驶硬件,運転ハードウェア,环视摄像头像素,全周囲カメラ画素数,-,-,-,-,● 100万画素,-,-,● 100万画素,● 100万画素,-,● 100万画素,● 100万画素,● 100万画素,● 100万画素,-,-,-,● 100万画素,● 100万画素
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 12個,● 12個,● 3個,● 3個,● 3個,● 3個,● 12個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,-,-,-,-,● クルーズコントロール,-,● クルーズコントロール,● クルーズコントロール,● アダプティブクルーズコントロール,● クルーズコントロール,● アダプティブクルーズコントロール,● クルーズコントロール,● アダプティブクルーズコントロール,● アダプティブクルーズコントロール,-,-,-,● クルーズコントロール,● アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,-,-,-,-,-,-,-,-,-,-,-,● レベル2,-,-,-,-,-,-
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,-,-,●,-,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,-,●,-,●,●,-,●,●,-,●,●,●,●,-,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,-,-,● バイドゥ,-,● バイドゥ,● バイドゥ,● ガオデ,● ガオデ,● ガオデ,● ガオデ,● ガオデ,● ガオデ,● ガオデ,● ガオデ,-,● ガオデ,● ガオデ,● バイドゥ,● バイドゥ
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,-,-,-,-,●,-,●,-,●,●,-,-,-,-,●
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,-,-,-,-,-,-,-,-,●,-,●,-,●,●,-,-,-,-,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,-,-,-,-,-,-,-,●,-,●,-,●,●,-,-,-,-,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●
驾驶功能,運転機能,循迹倒车,トレースバックリバース（後退追従）,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● 鋼,● 鋼,● 鋼,● 鋼,● 鋼,● 鋼,"● 鋼
○ アルミ合金",● 鋼,● 鋼,● 鋼,● 鋼,"● 鋼
○ アルミ合金",● アルミ合金,● アルミ合金,● 鋼,● 鋼,● 鋼,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,"● リモコンキー
● Bluetoothキー",● リモコンキー,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー",● リモコンキー,● リモコンキー,● リモコンキー,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,-,-,-,-,● 運転席,-,● 運転席,-,● 前席,● 運転席,-,● 前席,● 前席,● 前席,-,-,-,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,-,-,-,-,●,-,●,●,●,●,●,●,●,●,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,-,-,-,-,-,●,-,-,-,●,●,●,●,●,-,-,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● LED,● ハロゲン,● LED,● ハロゲン,● LED,● LED,● LED,● LED,● LED,● LED,● ハロゲン,● ハロゲン,● ハロゲン,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● LED,● ハロゲン,● LED,● ハロゲン,● LED,● LED,● LED,● LED,● LED,● LED,● ハロゲン,● ハロゲン,● ハロゲン,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,-,-,-,-,-,●,-,●,-,●,●,-,-,-,-,●
车外灯光,外部照明,自动头灯,オートヘッドライト,-,-,-,-,●,-,●,●,●,●,●,●,●,●,-,-,-,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,-,-,-,-,●,-,●,-,●,-,-,-,●,●,-,-,-,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降機能,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 助手席
● 運転席＋照明灯","● 運転席
● 助手席","● 助手席
● 運転席＋照明灯","● 運転席
● 助手席","● 助手席
● 運転席＋照明灯","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 助手席
● 運転席＋照明灯","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 助手席
● 運転席＋照明灯","● 助手席
● 運転席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー（自動間欠ワイパー）機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,● 電動調整,● 電動調整,● 電動調整,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納",● 電動調整,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納",● 電動調整,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納",● 電動調整,● 電動調整,● 電動調整,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納",● 電動調整,● 電動調整,● 電動調整,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納"
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,-,-,● タッチ液晶画面,○ タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,-,-,● 12.8インチ,○ 12.95インチ,● 12.8インチ,● 12.8インチ,● 15.6インチ,● 12.8インチ,● 12.8インチ,● 15.6インチ,● 12.8インチ,● 15.6インチ,● 15.6インチ,● 12.8インチ,-,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ
互联/智能化,コネクティビティ/スマート機能,中控屏幕分辨率,センターコンソール画面解像度,-,-,-,-,-,-,● 2.5K,-,-,● 2.5K,-,● 2.5K,● 2.5K,-,-,-,-,-,-
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth/車載電話,-,-,●,○,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,-,-,● 純正連携／ミラーリング,-,● 純正連携／ミラーリング,● 純正連携／ミラーリング,-,-,-,-,-,-,-,-,-,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,-,-,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン",-,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウィンドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウィンドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウィンドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウィンドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン",-,"● マルチメディアシステム
● ナビゲーション
● 電話","● マルチメディアシステム
● ナビゲーション
● 電話","● マルチメディアシステム
● ナビゲーション
● 電話","● マルチメディアシステム
● ナビゲーション
● 電話"
互联/智能化,コネクティビティ/スマート機能,语音助手唤醒词,音声アシスタント起動ワード,-,-,● こんにちは、ナノ,-,● こんにちは、ナノ,● こんにちは、ナノ,● こんにちは、ナノ,● こんにちは、ナノ,● こんにちは、ナノ,● こんにちは、ナノ,● こんにちは、ナノ,● こんにちは、ナノ,● こんにちは、ナノ,● こんにちは、ナノ,-,-,-,-,-
互联/智能化,コネクティビティ/スマート機能,语音免唤醒词,音声起動ワード不要機能,-,-,●,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別起動認識,-,-,● シングルゾーン,-,● シングルゾーン,● シングルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,-,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン
互联/智能化,コネクティビティ/スマート機能,语音连续识别,音声連続認識,-,-,●,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-
互联/智能化,コネクティビティ/スマート機能,可见即可说,見てすぐ話せる機能,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-
互联/智能化,コネクティビティ/スマート機能,车机智能芯片,車載インテリジェントチップ,-,-,-,-,-,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 6125,● Qualcomm Snapdragon 6125,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 6125,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 6125,-,-,-,-,-
互联/智能化,コネクティビティ/スマート機能,车联网,コネクテッドカー,-,-,●,○,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G/5Gネットワーク,-,-,● 4G,○ 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,-,-,-,● 4G,● 4G
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,-,-,●,-,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiホットスポット,-,-,-,-,-,-,-,●,●,-,●,●,●,●,-,-,-,-,-
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● パワーウィンドウコントロール
● エンジン始動
● ライトコントロール
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車探し","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● パワーウィンドウコントロール
● エンジン始動
● ライトコントロール
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車探し","● ドアコントロール
● パワーウィンドウコントロール
● エンジン始動
● ライトコントロール
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車探し","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索",●,●,"● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● レザー,● プラスチック,● レザー,● プラスチック,● レザー,● レザー,● プラスチック,● レザー,● レザー,● レザー,● プラスチック,● プラスチック,● プラスチック,● レザー,● レザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 5インチ,● 5インチ,● 5インチ,● 5インチ,● 5インチ,● 5インチ,● 8.88インチ,● 5インチ,● 5インチ,● 8.88インチ,● 5インチ,● 8.88インチ,● 8.88インチ,● 5インチ,● 5インチ,● 5インチ,● 5インチ,● 5インチ,● 5インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席2個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席2個,● 前席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,● 前席,-,-,-,● 前席,-,-,-,-,● 前席,-,-,-,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,-,-,● 50W,-,-,-,● 50W,-,-,-,-,● 50W,-,-,-,● 50W,● 50W
座椅配置,シート装備,座椅材质,シート素材,● ファブリック,● ファブリック,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● ファブリック,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,-,-,運転席 ● / 助手席,-,運転席 ● / 助手席,-,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,-,-,-,運転席 ● / 助手席,運転席 ● / 助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,-,"● ヒーター（運転席のみ）
● ベンチレーション（運転席のみ）",-,"● ヒーター（運転席のみ）
● ベンチレーション（運転席のみ）",-,"● ヒーター（運転席のみ）
● ベンチレーション（運転席のみ）",-,-,"● ヒーター（運転席のみ）
● ベンチレーション（運転席のみ）","● ヒーター（運転席のみ）
● ベンチレーション（運転席のみ）","● ヒーター（運転席のみ）
● ベンチレーション（運転席のみ）",-,-,-,"● ヒーター（運転席のみ）
● ベンチレーション（運転席のみ）","● ヒーター（運転席のみ）
● ベンチレーション（運転席のみ）"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,● 運転席,-,● 運転席,-,● 運転席,-,-,● 運転席,● 運転席,● 運転席,-,-,-,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前●／後,前●／後,前●／後,前●／後,前●／後,前●／後,前●／後,前●／後,前●／後,前●／後,前●／後,前●／後,前●／後,前●／後,前●／後,前●／後,前●／後,前●／後,前●／後
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,● EDIFIER（エディファイア）,-,-,● EDIFIER（エディファイア）,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,-,-,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 8スピーカー,● 4スピーカー,● 6スピーカー,● 8スピーカー,● 6スピーカー,-,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 6スピーカー
音响/车内灯光,オーディオ・室内照明,车外扬声器数量,車外スピーカー数,-,-,-,-,-,-,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,● 多色,-,● 多色,-,● 多色,-,-,-,-,● 多色,-,-,-,● 32色,● 32色
