セクション,項目,星途ES 2025款 增程 Plus 舒适智享,星途ES 2025款 增程 Pro 高速辅助驾驶,星途ES 2025款 增程 Max 城区辅助驾驶,星途ES 2025款 增程 Ultra 四驱旗舰,星途ES 2025款 纯电 乐享版 64kWh,星途ES 2025款 纯电 尊享版 70kWh,星途ES 2025款 纯电 Pro 高速辅助驾驶,星途ES 2025款 纯电 Max 城区辅助驾驶,星途ES 2025款 纯电 Pro 77kWh,星途ES 2025款 纯电 Pro城区辅助驾驶 77kWh,星途ES 2025款 纯电 Pro 100kWh,星途ES 2025款 纯电 Pro城区辅助驾驶 100kWh,星途ES 2025款 纯电 至臻尊享版 77kWh,星途ES 2025款 纯电 富道版 77kWh,星途ES 2025款 纯电 Pro四驱 77kWh,星途ES 2025款 纯电 Pro四驱 100kWh,星途ES 2025款 纯电 Ultra四驱旗舰 城区辅助驾驶,星途ES 2025款 纯电 Ultra旗舰 100kWh,星途ES 2027款 纯电 860 Max激光雷达版,星途ES 2027款 增程 302 Max激光雷达版,星途ES 2027款 增程 255 Ultra四驱激光雷达版
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 245/50 R19,● 245/50 R19,● 245/50 R19,● 245/50 R19,● 245/50 R19,● 245/50 R19,"● 245/50 R19
○ 255/40 R21 (3.00万元)","● 245/50 R19
○ 255/40 R21 (3.00万元)","● 245/50 R19
○ 255/40 R21 (3.00万元)","● 245/50 R19
○ 255/40 R21 (3.00万元)","● 245/50 R19
○ 255/40 R21 (3.00万元)","● 245/50 R19
○ 255/40 R21 (3.00万元)",● 245/50 R19,● 245/50 R19,● 245/50 R19,● 245/50 R19,● 255/40 R21,● 255/40 R21,"● 245/50 R19
○ 245/45 R20 (6000元)","● 245/50 R19
○ 245/45 R20 (6000元)",● 245/45 R20
车轮制动,后轮胎规格,● 245/50 R19,● 245/50 R19,● 245/50 R19,● 245/50 R19,● 245/50 R19,● 245/50 R19,"● 245/50 R19
○ 255/40 R21 (3.00万元)","● 245/50 R19
○ 255/40 R21 (3.00万元)","● 245/50 R19
○ 255/40 R21 (3.00万元)","● 245/50 R19
○ 255/40 R21 (3.00万元)","● 245/50 R19
○ 255/40 R21 (3.00万元)","● 245/50 R19
○ 255/40 R21 (3.00万元)",● 245/50 R19,● 245/50 R19,● 245/50 R19,● 245/50 R19,● 255/40 R21,● 255/40 R21,"● 245/50 R19
○ 245/45 R20","● 245/50 R19
○ 245/45 R20",● 245/45 R20
车轮制动,备胎规格,-,-,-,-,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前排中间气囊,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,●,●,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,-,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,-,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,-,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化"
驾驶操控,单踏板模式,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,-,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,-,-,-,-,-,-,-,-,"○ 悬架软硬调节
○ 悬架高低调节","○ 悬架软硬调节
○ 悬架高低调节","○ 悬架软硬调节
○ 悬架高低调节","○ 悬架软硬调节
○ 悬架高低调节",-,-,-,-,"● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节",● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节
驾驶操控,空气悬架,-,-,-,-,-,-,-,-,○ (2.00万元),○ (2.00万元),○ (2.00万元),○ (2.00万元),-,-,-,-,●,●,-,-,-
驾驶操控,空气悬挂类型,-,-,-,-,-,-,-,-,○ 单腔,○ 单腔,○ 单腔,○ 单腔,-,-,-,-,● 单腔,● 单腔,-,-,-
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,● 地平线征程3,● 地平线征程3,● 2颗 英伟达 Orin-X,● 2颗 英伟达 Orin-X,● 地平线征程3,● 地平线征程3,● 地平线征程3,● 2颗 英伟达 Orin-X,● 地平线征程3,● 2颗 英伟达 Orin-X,● 地平线征程3,● 2颗 英伟达 Orin-X,-,● 地平线征程3,● 地平线征程3,● 地平线征程3,● 2颗 英伟达 Orin-X,● 2颗 英伟达 Orin-X,● 英伟达 Orin-Y,● 英伟达 Orin-Y,● 英伟达 Orin-Y
驾驶硬件,芯片总算力,-,● 18 TOPS,● 508 TOPS,● 508 TOPS,-,-,-,● 508 TOPS,-,● 508 TOPS,-,● 508 TOPS,-,-,-,-,● 508 TOPS,● 508 TOPS,-,-,-
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 三目,● 三目,● 单目,● 单目,● 单目,● 三目,● 单目,● 三目,● 单目,● 三目,-,● 单目,● 单目,● 单目,● 三目,● 三目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 5个,● 10个,● 12个,● 12个,● 5个,● 5个,● 10个,● 12个,● 10个,● 12个,● 10个,● 12个,-,● 10个,● 10个,● 10个,● 12个,● 12个,● 11个,● 11个,● 11个
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,● 800万,● 800万,-,-,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,-,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万
驾驶硬件,环境感知摄像头像素,-,● 200万,● 200万,● 200万,-,-,● 200万,● 200万,● 200万,● 200万,● 200万,● 200万,-,-,● 200万,● 200万,● 200万,● 200万,● 200万,● 200万,● 200万
驾驶硬件,环视摄像头像素,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,-,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万
驾驶硬件,车内摄像头数量,-,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,-,● 1个,● 1个,● 1个,● 2个,● 2个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 8个,● 12个,● 12个,● 12个,● 8个,● 8个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,-,● 8个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,-,● 5个,● 5个,● 5个,● 2个,● 2个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,-,● 2个,● 5个,● 5个,● 5个,● 5个,● 3个,● 3个,● 3个
驾驶硬件,激光雷达品牌,-,-,● RoboSense速腾聚创,● RoboSense速腾聚创,-,-,-,● RoboSense速腾聚创,-,● RoboSense速腾聚创,-,● RoboSense速腾聚创,-,-,-,-,● RoboSense速腾聚创,● RoboSense速腾聚创,● HESAI禾赛科技,● HESAI禾赛科技,● HESAI禾赛科技
驾驶硬件,激光雷达型号,-,-,● M2,● M2,-,-,-,● M2,-,● M2,-,● M2,-,-,-,-,● M2,● M2,● ATX,● ATX,● ATX
驾驶硬件,激光雷达数量,-,-,● 1个,● 1个,-,-,-,● 1个,-,● 1个,-,● 1个,-,-,-,-,● 1个,● 1个,● 1个,● 1个,● 1个
驾驶硬件,激光雷达线数,-,-,● 126线,● 126线,-,-,-,● 126线,-,● 126线,-,● 126线,-,-,-,-,● 126线,● 126线,-,-,-
驾驶硬件,激光雷达10%反射率探测距离,-,-,● 200米,● 200米,-,-,-,● 200米,-,● 200米,-,● 200米,-,-,-,-,● 200米,● 200米,-,-,-
驾驶硬件,激光雷达点云数量,-,-,● 150万/秒,● 150万/秒,-,-,-,● 150万/秒,-,● 150万/秒,-,● 150万/秒,-,-,-,-,● 150万/秒,● 150万/秒,-,-,-
驾驶硬件,前方最大探测距离,-,-,● 250米,● 250米,-,-,-,● 250米,-,● 250米,-,● 250米,-,-,-,-,● 250米,● 250米,-,-,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,● EXEED NEP,● EXEED NEP,● EXEED NEP,● EXEED NEP,● EXEED NEP,● EXEED NEP,● EXEED NEP,● EXEED NEP,● EXEED NEP,● EXEED NEP,● EXEED NEP,-,● EXEED NEP,● EXEED NEP,● EXEED NEP,● EXEED NEP,● EXEED NEP,● 猎鹰700,● 猎鹰700,● 猎鹰700
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,-,-,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,高精地图,-,-,-,-,-,-,-,-,-,●,-,●,-,-,-,-,-,●,-,-,-
驾驶功能,并线辅助,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,●,●,●,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●
驾驶功能,遥控泊车,-,●,●,●,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●
驾驶功能,记忆泊车,-,●,●,●,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●
驾驶功能,循迹倒车,-,●,●,●,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●
驾驶功能,辅助变道,-,●,●,●,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),-,●,●,●,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●
驾驶功能,信号灯识别,-,●,●,●,-,-,-,●,-,●,-,●,-,-,-,-,●,●,●,●,●
驾驶功能,方向盘离手检测,-,●,●,●,-,-,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
驾驶功能,起步提醒,-,●,●,●,-,-,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
驾驶功能,辅助驾驶路段,-,● 高速路段,"● 城市路段
● 高速路段","● 城市路段
● 高速路段",-,-,● 高速路段,"● 城市路段
● 高速路段",● 高速路段,"● 城市路段
● 高速路段",● 高速路段,"● 城市路段
● 高速路段",-,-,● 高速路段,● 高速路段,"● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段"
外观/防盗,外观套件,-,-,-,-,-,-,● 运动风格,● 运动风格,-,-,-,-,-,-,-,-,● 运动风格,-,-,-,-
外观/防盗,电动扰流板,-,-,-,●,●,●,-,-,●,●,●,●,-,●,●,●,●,●,○,○,○
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,无框设计车门,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢,-,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,-,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,发动机电子防盗,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 前排,● 前排,● 前排
外观/防盗,隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,主动闭合式进气格栅,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,场景灯语,-,●,●,●,-,-,-,-,●,●,●,●,-,●,●,●,●,●,○,○,○
车外灯光,辅助驾驶灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,-,-,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,后排侧隐私玻璃,-,-,-,-,-,-,-,-,●,●,●,●,-,●,●,●,-,●,-,-,-
