セクション,セクション_ja,項目,項目_ja,2025年モデル 増程 Plus 快適スマート,2025年モデル 増程 Pro 高速運転支援,2025年モデル 増程 Max 市街地運転支援,2025年モデル 増程 Ultra 4WD フラッグシップ,2025年モデル 純電 動楽版 64kWh,2025年モデル 純電 尊享版 70kWh,2025年モデル 純電 Pro 高速運転支援,2025年モデル 純電 Max 市街地運転支援,2025年モデル 純電 Pro 77kWh,2025年モデル 純電 Pro 市街地運転支援 77kWh,2025年モデル 純電 Pro 100kWh,2025年モデル 純電 Pro 市街地運転支援 100kWh,2025年モデル 純電 至高尊享版 77kWh,2025年モデル 純電 富道版 77kWh,2025年モデル 純電 Pro 4WD 77kWh,2025年モデル 純電 Pro 4WD 100kWh,2025年モデル 純電 Ultra 4WD フラッグシップ 市街地運転支援,2025年モデル 純電 Ultra フラッグシップ 100kWh,2027年モデル 純電 860 Maxレーザーレーダー版,2027年モデル 増程 302 Maxレーザーレーダー版,2027年モデル 増程 255 Ultra4WDレーザーレーダー版
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),205,205,205,205,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,240,205
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),255,255,255,255,550,605,705,705,680,680,880,880,680,680,605,775,710,710,860,302,255
电池/充电,バッテリー/充電,WLTC综合续航(km),WLTC総合航続距離(km),1550,1550,1550,1370,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1530,1370
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1645,1645,1645,1570,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1685,1570
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),34.7,34.7,34.7,41.16,64,70,77,77,77,77,100,100,77,77,77,100,100,100,100.2,41.1,41.1
电池/充电,バッテリー/充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),125,125,125,126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),16.4,16.4,16.4,19.6,12.4,12.7,12.1,12.1,12.4,12.4,12.1,12.1,12.4,12.4,14.2,14.4,14.9,14.9,12.4,18.2,19.6
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),107,107,107,107,-,-,420,420,420,420,297,297,420,420,420,297,297,297,297,107,107
电池/充电,バッテリー/充電,高压快充,高圧急速充電,-,-,-,-,-,-,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,-,-
电池/充电,バッテリー/充電,高压平台（V）,高圧プラットフォーム(V),400,400,400,400,400,400,800,800,800,800,800,800,800,800,800,800,800,800,800,400,400
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.29,0.29,0.29,0.29,0.47,0.47,0.15,0.15,0.15,0.15,0.25,0.25,0.17,0.15,0.15,0.25,0.25,0.25,0.25,0.29,0.29
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電容量範囲(%),20-80,20-80,20-80,20-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,20-80,30-80,30-80,30-80,30-80,30-80,30-80,20-80,20-80
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),5.5,5.5,5.5,6.8,-,-,13.5,13.5,13.5,13.5,16.5,16.5,11,13.5,13.5,16.5,16.5,16.5,-,-,-
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電容量範囲(%),5-100,5-100,5-100,5-100,-,-,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,-,-,-
电池/充电,バッテリー/充電,充电桩价格（元）,充電スタンド価格(元),3199,3199,3199,3199,-,-,-,-,3399,3399,3399,3399,3399,3399,3399,3399,-,3399,3399,3199,3199
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3.3,3.3,3.3,3.3,3.3,3.3,6,6,6,6,6,6,3.3,6,6,6,6,6,6,3.3,3.3
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,● 電動四輪駆動,-,-,-,-,-,-,-,-,-,-,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,-,-,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架,● 5リンク独立懸架
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 245/50 R19,● 245/50 R19,● 245/50 R19,● 245/50 R19,● 245/50 R19,● 245/50 R19,"● 245/50 R19
○ 255/40 R21（3.00万元）","● 245/50 R19
○ 255/40 R21（3.00万元）","● 245/50 R19
○ 255/40 R21（3.00万元）","● 245/50 R19
○ 255/40 R21（3.00万元）","● 245/50 R19
○ 255/40 R21（3.00万元）","● 245/50 R19
○ 255/40 R21（3.00万元）",● 245/50 R19,● 245/50 R19,● 245/50 R19,● 245/50 R19,● 255/40 R21,● 255/40 R21,"● 245/50 R19
○ 245/45 R20（6000元）","● 245/50 R19
○ 245/45 R20（6000元）",● 245/45 R20
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 245/50 R19,● 245/50 R19,● 245/50 R19,● 245/50 R19,● 245/50 R19,● 245/50 R19,"● 245/50 R19
○ 255/40 R21（3.00万元）","● 245/50 R19
○ 255/40 R21（3.00万元）","● 245/50 R19
○ 255/40 R21（3.00万元）","● 245/50 R19
○ 255/40 R21（3.00万元）","● 245/50 R19
○ 255/40 R21（3.00万元）","● 245/50 R19
○ 255/40 R21（3.00万元）",● 245/50 R19,● 245/50 R19,● 245/50 R19,● 245/50 R19,● 255/40 R21,● 255/40 R21,"● 245/50 R19
○ 245/45 R20","● 245/50 R19
○ 245/45 R20",● 245/45 R20
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,●,●,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,-,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● スノー
● カスタム／パーソナライズ"
驾驶操控,ドライビングコントロール,单踏板模式,ワンペダルモード,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,-,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,-,-,-,-,-,-,"○ サスペンション硬さ調整
○ サスペンション高さ調整","○ サスペンション硬さ調整
○ サスペンション高さ調整","○ サスペンション硬さ調整
○ サスペンション高さ調整","○ サスペンション硬さ調整
○ サスペンション高さ調整",-,-,-,-,"● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整",● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,-,-,-,-,-,-,-,-,○ （2.00万元）,○ （2.00万元）,○ （2.00万元）,○ （2.00万元）,-,-,-,-,●,●,-,-,-
驾驶操控,ドライビングコントロール,空气悬挂类型,エアサスペンションタイプ,-,-,-,-,-,-,-,-,○ 単室式,○ 単室式,○ 単室式,○ 単室式,-,-,-,-,● 単室式,● 単室式,-,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前-/後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● バックカメラ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● Horizon Journey 3（地平線征程3）,● Horizon Journey 3（地平線征程3）,● NVIDIA Orin-X 2基搭載,● NVIDIA Orin-X 2基搭載,● Horizon Journey 3（地平線征程3）,● Horizon Journey 3（地平線征程3）,● Horizon Journey 3（地平線征程3）,● NVIDIA Orin-X 2基搭載,● Horizon Journey 3（地平線征程3）,● NVIDIA Orin-X 2基搭載,● Horizon Journey 3（地平線征程3）,● NVIDIA Orin-X 2基搭載,-,● Horizon Journey 3（地平線征程3）,● Horizon Journey 3（地平線征程3）,● Horizon Journey 3（地平線征程3）,● NVIDIA Orin-X 2基搭載,● NVIDIA Orin-X 2基搭載,● NVIDIA Orin-Y,● NVIDIA Orin-Y,● NVIDIA Orin-Y
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,-,● 18 TOPS,● 508 TOPS,● 508 TOPS,-,-,-,● 508 TOPS,-,● 508 TOPS,-,● 508 TOPS,-,-,-,-,● 508 TOPS,● 508 TOPS,-,-,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 三眼カメラ,● 三眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 三眼カメラ,● 単眼カメラ,● 三眼カメラ,● 単眼カメラ,● 三眼カメラ,-,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 三眼カメラ,● 三眼カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 5個,● 10個,● 12個,● 12個,● 5個,● 5個,● 10個,● 12個,● 10個,● 12個,● 10個,● 12個,-,● 10個,● 10個,● 10個,● 12個,● 12個,● 11個,● 11個,● 11個
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 800万画素,● 800万画素,● 800万画素,● 800万画素,-,-,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,-,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素
驾驶硬件,運転ハードウェア,环境感知摄像头像素,環境検知カメラ画素数,-,● 200万画素,● 200万画素,● 200万画素,-,-,● 200万画素,● 200万画素,● 200万画素,● 200万画素,● 200万画素,● 200万画素,-,-,● 200万画素,● 200万画素,● 200万画素,● 200万画素,● 200万画素,● 200万画素,● 200万画素
驾驶硬件,運転ハードウェア,环视摄像头像素,全方位カメラ画素数,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,-,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,-,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,-,● 1個,● 1個,● 1個,● 2個,● 2個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 8個,● 12個,● 12個,● 12個,● 8個,● 8個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,-,● 8個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,-,● 5個,● 5個,● 5個,● 2個,● 2個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,-,● 2個,● 5個,● 5個,● 5個,● 5個,● 3個,● 3個,● 3個
驾驶硬件,運転ハードウェア,激光雷达品牌,レーザーレーダーブランド,-,-,● RoboSense（速騰聚創）,● RoboSense（速騰聚創）,-,-,-,● RoboSense（速騰聚創）,-,● RoboSense（速騰聚創）,-,● RoboSense（速騰聚創）,-,-,-,-,● RoboSense（速騰聚創）,● RoboSense（速騰聚創）,● HESAI（禾赛科技）,● HESAI（禾赛科技）,● HESAI（禾赛科技）
驾驶硬件,運転ハードウェア,激光雷达型号,レーザーレーダーモデル,-,-,● M2,● M2,-,-,-,● M2,-,● M2,-,● M2,-,-,-,-,● M2,● M2,● ATX,● ATX,● ATX
驾驶硬件,運転ハードウェア,激光雷达数量,レーザーレーダー数,-,-,● 1個,● 1個,-,-,-,● 1個,-,● 1個,-,● 1個,-,-,-,-,● 1個,● 1個,● 1個,● 1個,● 1個
