セクション,セクション_ja,項目,項目_ja,2024年モデル 栄光版 100KM快適型 5人乗り,2024年モデル 栄光版 100KM快適型 7人乗り,2024年モデル 栄光版 100KM上級型 5人乗り,2024年モデル 栄光版 100KM上級型 7人乗り,2024年モデル 栄光版 100KMプレミアム型 5人乗り,2024年モデル 栄光版 100KMプレミアム型 7人乗り,2023年モデル 1.5L DE i 100KM快適型 5人乗り,2023年モデル 1.5L DE i 100KM快適型 7人乗り,2023年モデル 1.5L DE i 100KMプレミアム型 5人乗り,2023年モデル 1.5L DE i 100KMプレミアム型 7人乗り,2023年モデル 1.5L DE i 110KMフラッグシップ型 5人乗り,2023年モデル 1.5L DE i 110KMフラッグシップ型 7人乗り
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席なし／後席●,前席なし／後席●,前席なし／後席●,前席なし／後席●,前席●／後席●,前席●／後席●,前席なし／後席●,前席なし／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● リアビューカメラ,● リアビューカメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● リアビューカメラ,● リアビューカメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,● 1個,● 5個,● 5個,● 6個,● 6個,● 1個,● 1個,● 6個,● 6個,● 6個,● 6個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 4個,● 4個,● 4個,● 4個,● 6個,● 6個,● 4個,● 4個,● 6個,● 6個,● 6個,● 6個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,-,-,● 2個,● 2個,● 2個,● 2個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●,-,-,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ道路状況表示,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 百度（Baidu）,● 百度（Baidu）,● 百度（Baidu）,● 百度（Baidu）,● 百度（Baidu）,● 百度（Baidu）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,-,-,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,-,●,●,●,●,-,-,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,-,●,●,●,●,-,-,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー",● リモコンキー,● リモコンキー,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー",● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,-,-,● 運転席,● 運転席,● 運転席,● 運転席,-,-,● 運転席,● 運転席,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリープリヒート機能,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,-,-,-,-,●,●,-,-,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,-,-,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面窓多層防音ガラス,-,-,-,-,-,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後部側面プライバシーガラス,-,-,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,感応式ワイパー機能,-,-,-,-,● 雨量感知式ワイパー,● 雨量感知式ワイパー,-,-,● 雨量感知式ワイパー,● 雨量感知式ワイパー,● 雨量感知式ワイパー,● 雨量感知式ワイパー
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納"
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ"
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン
互联/智能化,コネクティビティ/スマート機能,车载智能系统,車載インテリジェントシステム,● Huawei HiCar車載システム,● Huawei HiCar車載システム,● Huawei HiCar車載システム,● Huawei HiCar車載システム,● Huawei HiCar車載システム,● Huawei HiCar車載システム,● Huawei HiCar車載システム,● Huawei HiCar車載システム,● Huawei HiCar車載システム,● Huawei HiCar車載システム,● Huawei HiCar車載システム,● Huawei HiCar車載システム
互联/智能化,コネクティビティ/スマート機能,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G／5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドア操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● 点検・整備予約","● ドア操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● 点検・整備予約","● ドア操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● 点検・整備予約","● ドア操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● 点検・整備予約","● ドア操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● 点検・整備予約","● ドア操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● 点検・整備予約","● ドア操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● 点検・整備予約","● ドア操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● 点検・整備予約","● ドア操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● 点検・整備予約","● ドア操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● 点検・整備予約","● ドア操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● 点検・整備予約","● ドア操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● 点検・整備予約"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下調整,● 手動上下調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,● 前席,● 前席,-,-,● 前席,● 前席,● 前席,● 前席
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,運転席 ● ／助手席,運転席 ● ／助手席,運転席 ● ／助手席,運転席 ● ／助手席,-,-,運転席 ● ／助手席,運転席 ● ／助手席,運転席 ● ／助手席,運転席 ● ／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,-,"● ヒーター（運転席のみ）
● ベンチレーション（運転席のみ）","● ヒーター（運転席のみ）
● ベンチレーション（運転席のみ）",-,-,-,-,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● リクライニング調整,"● 前後調整
● リクライニング調整",● リクライニング調整,"● 前後調整
● リクライニング調整",● リクライニング調整,"● 前後調整
● リクライニング調整",● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整
座椅配置,シート装備,座椅布局,シートレイアウト,-,● 2-3-2（シート配列）,-,● 2-3-2（シート配列）,-,● 2-3-2（シート配列）,-,● 2-3-2（シート配列）,-,● 2-3-2（シート配列）,-,● 2-3-2（シート配列）
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席 ● ／後席 ○,前席 ● ／後席 ○,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,○,○,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 12スピーカー,● 12スピーカー,● 4スピーカー,● 4スピーカー,● 12スピーカー,● 12スピーカー,● 12スピーカー,● 12スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン,● マニュアルエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,●,●,-,-,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,-,-,●,●,-,-,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,-,-,●,●,-,-,-,-,-,-
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–,–,–,–
