セクション,項目,帝豪 2027款 第5代 1.5L i-HEV智擎混动驭风版,帝豪 2027款 第5代 1.5L i-HEV智擎混动追光版,帝豪 2027款 第5代 1.5L i-HEV智擎混动登峰版,帝豪 2027款 向上 1.5L 手动豪华型,帝豪 2027款 向上 1.5L CVT舒适型,帝豪 2027款 向上 1.5L CVT豪华型,帝豪 2026款 第5代 1.5L CVT豪华型,帝豪 2026款 第5代 1.5L CVT尊贵型,帝豪 2026款 第5代 1.5T DCT尊贵型,帝豪 2026款 第5代 1.5T DCT旗舰型,帝豪 2026款 400万纪念款 1.5L 手动超越型,帝豪 2026款 400万纪念款 1.5L CVT星耀型,帝豪 2026款 400万纪念款 1.5L CVT超越型,帝豪 2026款 400万纪念款 1.5L CVT飞越型,帝豪 2025款 1.5L 手动星耀版
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
○ 天窗",-,"● 多媒体系统
● 导航
● 电话
● 空调
○ 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热","● 多媒体系统
● 导航
● 电话
● 空调
○ 天窗","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
○ 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调"
互联/智能化,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,-,-,-,● 双区域,● 双区域,● 双区域,● 双区域,-,-,-,-,-
互联/智能化,语音连续识别,●,●,●,-,-,-,●,●,●,●,-,-,-,-,-
互联/智能化,应用商店,●,●,●,-,-,-,●,●,●,●,-,-,-,-,-
互联/智能化,车载智能系统,● Flyme Auto,● Flyme Auto,● Flyme Auto,● 吉利银河OS,-,● 吉利银河OS,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● 吉利银河OS,-,● 吉利银河OS,● 吉利银河OS,-
互联/智能化,车机智能芯片,-,-,-,-,-,-,-,-,-,○ 龍鹰一号,● 亿咖通E02,-,● 亿咖通E02,● 亿咖通E02,-
互联/智能化,车机系统内存(GB),-,-,-,● 6,-,● 6,● 8,● 8,● 8,● 8,● 6,-,● 6,● 6,-
互联/智能化,多指飞屏操控,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-
互联/智能化,车联网,●,●,●,●,-,●,●,●,●,●,●,-,●,●,-
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G,-,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,-,● 4G,● 4G,-
互联/智能化,OTA升级,●,●,●,●,-,●,●,●,●,●,●,-,●,●,-
互联/智能化,Wi-Fi热点,●,●,●,●,-,●,●,●,●,●,●,-,●,●,-
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车",-,-,●,"● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车",-,-,"● 车门控制
● 车窗控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车",-
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 塑料,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 塑料,● 皮质,● 皮质,● 塑料
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 单色
方向盘/内后视镜,全液晶仪表盘,●,●,●,-,-,-,-,●,●,●,-,-,-,●,-
方向盘/内后视镜,液晶仪表尺寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 10.25英寸,● 3.5英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",● USB,● USB,● USB,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",● USB,● USB,● USB,● USB,● USB
车内充电,USB/Type-C接口数量,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排1个/后排1个,● 前排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排1个/后排1个,● 前排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个
车内充电,手机无线充电功能,-,● 前排,● 前排,-,-,-,-,-,○ 前排,○ 前排,-,-,-,-,-
车内充电,手机无线充电功率,-,● 50W,● 50W,-,-,-,-,-,○ 50W,○ 50W,-,-,-,-,-
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 织物
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,主 ● /副-,主 ● /副 ●,-,-,-,-,-,-,主 ● /副-,-,-,-,主 ● /副-,-
座椅配置,前排座椅功能,-,-,"● 加热
● 通风",-,-,-,-,-,-,● 加热,-,-,-,-,-
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,-,-,-,● 整体放倒,● 整体放倒,● 比例放倒,● 比例放倒,-,-,-,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后 ●,前 ● /后 ●,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
座椅配置,后排杯架,●,●,●,-,-,-,-,-,●,●,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 4喇叭,● 6喇叭,● 6喇叭,● 4喇叭,● 2喇叭,● 4喇叭,● 4喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 4喇叭,● 2喇叭,● 4喇叭,● 4喇叭,● 2喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,-,-,-,●,●,●,●,-,-,-,-,-
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 手动空调,● 手动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 手动空调,● 手动空调,● 自动空调,● 自动空调,● 手动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,-,-,●,-,●,●,●,-,-,●,●,-
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,-,-,-,●,●,●,●,●,-,●,●,●
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
选装包,向上科技包,-,-,-,-,-,-,-,-,-,○ 选配 (6000元),-,-,-,-,-
