セクション,項目,极氪8X 2026款 Max版 55kWh,极氪8X 2026款 Max版 70kWh,极氪8X 2026款 Ultra版 55kWh,极氪8X 2026款 Ultra版 70kWh,极氪8X 2026款 Ultra+版 55kWh,极氪8X 2026款 Ultra+版 70kWh,极氪8X 2026款 曜影 70kWh
互联/智能化,后排液晶屏幕尺寸,"● 8英寸
○ 17英寸","● 8英寸
○ 17英寸","● 8英寸
● 17英寸","● 8英寸
● 17英寸","● 8英寸
● 17英寸","● 8英寸
● 17英寸","● 8英寸
● 17英寸"
互联/智能化,后排液晶屏幕类型,○ OLED,○ OLED,● OLED,● OLED,● OLED,● OLED,● OLED
互联/智能化,后排液晶屏幕分辨率,○ 3K,○ 3K,● 3K,● 3K,● 3K,● 3K,● 3K
互联/智能化,后排多媒体屏幕数量,"● 1个
○ 2个","● 1个
○ 2个",● 2个,● 2个,● 2个,● 2个,● 2个
互联/智能化,后排控制多媒体,●,●,●,●,●,●,●
互联/智能化,车联网,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
互联/智能化,OTA升级,●,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●,●
互联/智能化,车内生物监测系统,●,●,●,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修"
互联/智能化,主动降噪,-,-,-,-,-,-,●
互联/智能化,模拟声浪,●,●,●,●,●,●,●
互联/智能化,车载KTV,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘记忆,●,●,●,●,●,●,●
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 13.02英寸,● 13.02英寸,● 13.02英寸,● 13.02英寸,● 13.02英寸,● 13.02英寸,● 13.02英寸
方向盘/内后视镜,AR-HUD增强现实抬头显示,●,●,●,●,●,●,●
方向盘/内后视镜,HUD抬头尺寸,● 44英寸,● 44英寸,● 44英寸,● 44英寸,● 44英寸,● 44英寸,● 44英寸
方向盘/内后视镜,内后视镜功能,"● 自动防眩目
○ 流媒体","● 自动防眩目
○ 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体"
方向盘/内后视镜,ETC装置,●,●,●,●,●,●,●
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,"● 前排3个/后排2个
○ 前排3个/后排4个","● 前排3个/后排2个
○ 前排3个/后排4个","● 前排3个/后排2个
○ 前排3个/后排4个","● 前排3个/后排2个
○ 前排3个/后排4个","● 前排3个/后排2个
○ 前排3个/后排4个","● 前排3个/后排2个
○ 前排3个/后排4个",● 前排3个/后排2个
车内充电,USB/Type-C最大充电功率,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W
车内充电,220V/230V电源,●,●,●,●,●,●,●
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,行李厢12V电源接口,●,●,●,●,●,●,●
座椅配置,座椅材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 皮/翻毛材质混搭
座椅配置,运动风格座椅,-,-,-,-,-,-,●
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)
● 侧翼支撑(主动)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)
● 侧翼支撑(主动)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)
● 侧翼支撑(主动)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)
● 侧翼支撑(主动)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)
● 侧翼支撑(主动)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)
● 侧翼支撑(主动)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)
● 侧翼支撑(主动)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,"● 加热
● 通风
● 按摩
● 头枕扬声器","● 加热
● 通风
● 按摩
● 头枕扬声器","● 加热
● 通风
● 按摩
● 头枕扬声器","● 加热
● 通风
● 按摩
● 头枕扬声器","● 加热
● 通风
● 按摩
● 头枕扬声器","● 加热
● 通风
● 按摩
● 头枕扬声器","● 加热
● 通风
● 按摩
● 头枕扬声器"
座椅配置,电动座椅记忆功能,"● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排"
座椅配置,副驾驶位后排可调节按钮,●,●,●,●,●,●,●
座椅配置,第二排座椅调节,"● 前后调节
● 靠背调节
○ 腰部调节
● 腿托调节
● 脚踏调节","● 前后调节
● 靠背调节
○ 腰部调节
● 腿托调节
● 脚踏调节","● 前后调节
● 靠背调节
○ 腰部调节
● 腿托调节
● 脚踏调节","● 前后调节
● 靠背调节
○ 腰部调节
● 腿托调节
● 脚踏调节","● 前后调节
● 靠背调节
○ 腰部调节
● 腿托调节
● 脚踏调节","● 前后调节
● 靠背调节
○ 腰部调节
● 腿托调节
● 脚踏调节","● 前后调节
● 靠背调节
○ 腿托调节
○ 脚踏调节"
座椅配置,第二排座椅电动调节,●,●,●,●,●,●,●
座椅配置,第二排座椅功能,"● 加热
● 通风
● 按摩
● 头枕扬声器","● 加热
● 通风
● 按摩
● 头枕扬声器","● 加热
● 通风
● 按摩
● 头枕扬声器","● 加热
● 通风
● 按摩
● 头枕扬声器","● 加热
● 通风
● 按摩
● 头枕扬声器","● 加热
● 通风
● 按摩
● 头枕扬声器","● 加热
● 通风
● 按摩
● 头枕扬声器"
座椅配置,后排小桌板,●,●,●,●,●,●,○
座椅配置,第二排独立座椅,○,○,○,○,○,○,-
座椅配置,第三排座椅调节,○ 靠背调节,○ 靠背调节,○ 靠背调节,○ 靠背调节,○ 靠背调节,○ 靠背调节,-
座椅配置,第三排座椅电动调节,○,○,○,○,○,○,-
座椅配置,第三排座椅功能,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热,-
座椅配置,座椅布局,○ 2-2-2,○ 2-2-2,○ 2-2-2,○ 2-2-2,○ 2-2-2,○ 2-2-2,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,后排座椅电动放倒,●,●,●,●,●,●,●
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,○ Naim (5.00万元),○ Naim (5.00万元),○ Naim (5.00万元),○ Naim (5.00万元),○ Naim (5.00万元)
音响/车内灯光,扬声器数量,● 29喇叭,● 29喇叭,● 29喇叭,● 29喇叭,● 29喇叭,● 29喇叭,● 29喇叭
音响/车内灯光,杜比全景声(Dolby Atmos),●,●,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,● 1680万色,● 1680万色,● 1680万色,● 1680万色,● 1680万色,● 1680万色,● 1680万色
音响/车内灯光,主动式环境氛围灯,●,●,●,●,●,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,●,●,●,●,●,●,●
空调/冰箱,后排独立空调,●,●,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●
空调/冰箱,负离子发生器,●,●,●,●,●,●,●
空调/冰箱,车内香氛装置,●,●,●,●,●,●,●
空调/冰箱,空气质量监测,●,●,●,●,●,●,●
空调/冰箱,车载冰箱,●,●,●,●,●,●,●
颜色,外观颜色,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–
选装包,后排吸顶屏套装,○ 选配 (10000元),○ 选配 (10000元),-,-,-,-,-
选装包,六座悦享包,○ 选配 (10000元),○ 选配 (10000元),○ 选配 (10000元),○ 选配 (10000元),○ 选配 (10000元),○ 选配 (10000元),-
选装包,千里浩瀚H9,○ 选配 (25000元),○ 选配 (25000元),○ 选配 (25000元),○ 选配 (25000元),○ 选配 (25000元),○ 选配 (25000元),-
选装包,栖云舒享座椅套装,-,-,-,-,-,-,○ 选配 (免费)
