セクション,セクション_ja,項目,項目_ja,2026年モデル Max版 55kWh,2026年モデル Max版 70kWh,2026年モデル Ultra版 55kWh,2026年モデル Ultra版 70kWh,2026年モデル Ultra+版 55kWh,2026年モデル Ultra+版 70kWh,2026年モデル 曜影 70kWh
外观/防盗,エクステリア・盗難防止,电动吸合车门,電動ソフトクローズドア,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応
外观/防盗,エクステリア・盗難防止,自动开合车门,自動開閉ドア,-,-,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー
● UWBデジタルキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车侧脚踏板,サイドステップ,"○ 電動（10,000元）","○ 電動（10,000元）","○ 電動（10,000元）","○ 電動（10,000元）","○ 電動（10,000元）","○ 電動（10,000元）","○ 電動（10,000元）"
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,● マトリクス式,● マトリクス式,"● マトリクス式
● ピクセル式","● マトリクス式
● ピクセル式","● マトリクス式
● ピクセル式","● マトリクス式
● ピクセル式","● マトリクス式
● ピクセル式"
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●
车外灯光,外部照明,转向头灯,コーナリングライト,-,-,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●
车外灯光,外部照明,场景灯语,シーンライトメッセージ,●,●,●,●,●,●,●
车外灯光,外部照明,辅助驾驶灯,運転支援ライト,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウアップ／ダウン機能,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席"
天窗/玻璃,サンルーフ・ガラス,后排侧窗遮阳帘,後席側ウィンドウサンシェード,● 電動,● 電動,● 電動,● 電動,● 電動,● 電動,● 電動
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー機能,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目"
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 16インチ,● 16インチ,● 16インチ,● 16インチ,● 16インチ,● 16インチ,● 16インチ
互联/智能化,コネクティビティ/スマート機能,中控屏幕类型,センターコンソール画面タイプ,● MINI LED,● MINI LED,"● OLED
○ MINI LED","● OLED
○ MINI LED","● OLED
○ MINI LED","● OLED
○ MINI LED","● OLED
○ MINI LED"
互联/智能化,コネクティビティ/スマート機能,中控屏幕分辨率,センターコンソール画面解像度,● 3.5K,● 3.5K,● 3.5K,● 3.5K,● 3.5K,● 3.5K,● 3.5K
互联/智能化,コネクティビティ/スマート機能,副驾娱乐屏尺寸,助手席エンタメ画面サイズ,-,-,● 16インチ,● 16インチ,● 16インチ,● 16インチ,● 16インチ
互联/智能化,コネクティビティ/スマート機能,副驾屏幕类型,助手席画面タイプ,-,-,● OLED,● OLED,● OLED,● OLED,● OLED
互联/智能化,コネクティビティ/スマート機能,副驾屏幕分辨率,助手席画面解像度,-,-,● 3.5K,● 3.5K,● 3.5K,● 3.5K,● 3.5K
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウィンドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウィンドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウィンドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウィンドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウィンドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウィンドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウィンドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ"
互联/智能化,コネクティビティ/スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● Hi，Eva,● Hi，Eva,● Hi，Eva,● Hi，Eva,● Hi，Eva,● Hi，Eva,● Hi，Eva
互联/智能化,コネクティビティ/スマート機能,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別起動認識,"● 4ゾーン
○ 6ゾーン","● 4ゾーン
○ 6ゾーン","● 4ゾーン
○ 6ゾーン","● 4ゾーン
○ 6ゾーン","● 4ゾーン
○ 6ゾーン","● 4ゾーン
○ 6ゾーン",● 4ゾーン
互联/智能化,コネクティビティ/スマート機能,语音连续识别,連続音声認識,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,面部识别,顔認証,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,应用商店,アプリストア,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车载智能系统,車載インテリジェントシステム,● ZEEKR OS,● ZEEKR OS,● ZEEKR OS,● ZEEKR OS,● ZEEKR OS,● ZEEKR OS,● ZEEKR OS
互联/智能化,コネクティビティ/スマート機能,车机智能芯片,車載スマートチップ,"● Qualcomm Snapdragon 8295
○ 2基 Qualcomm Snapdragon 8295","● Qualcomm Snapdragon 8295
○ 2基 Qualcomm Snapdragon 8295",● 2基 Qualcomm Snapdragon 8295,● 2基 Qualcomm Snapdragon 8295,● 2基 Qualcomm Snapdragon 8295,● 2基 Qualcomm Snapdragon 8295,● 2基 Qualcomm Snapdragon 8295
互联/智能化,コネクティビティ/スマート機能,后排液晶屏幕,後席液晶画面,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,后排液晶屏幕尺寸,後席液晶画面サイズ,"● 8インチ
○ 17インチ","● 8インチ
○ 17インチ","● 8インチ
● 17インチ","● 8インチ
● 17インチ","● 8インチ
● 17インチ","● 8インチ
● 17インチ","● 8インチ
● 17インチ"
互联/智能化,コネクティビティ/スマート機能,后排液晶屏幕类型,後席液晶画面タイプ,○ OLED,○ OLED,● OLED,● OLED,● OLED,● OLED,● OLED
互联/智能化,コネクティビティ/スマート機能,后排液晶屏幕分辨率,後席液晶画面解像度,○ 3K,○ 3K,● 3K,● 3K,● 3K,● 3K,● 3K
互联/智能化,コネクティビティ/スマート機能,后排多媒体屏幕数量,後席マルチメディア画面数,"● 1個
○ 2個","● 1個
○ 2個",● 2個,● 2個,● 2個,● 2個,● 2個
互联/智能化,コネクティビティ/スマート機能,后排控制多媒体,後席マルチメディアコントロール,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车联网,車載ネットワーク,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车内生物监测系统,車内バイオモニタリングシステム,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス/修理予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス/修理予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス/修理予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス/修理予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス/修理予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス/修理予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス/修理予約"
互联/智能化,コネクティビティ/スマート機能,主动降噪,アクティブノイズキャンセリング,-,-,-,-,-,-,●
互联/智能化,コネクティビティ/スマート機能,模拟声浪,シミュレートエンジンサウンド,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车载KTV,車載カラオケ,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 13.02インチ,● 13.02インチ,● 13.02インチ,● 13.02インチ,● 13.02インチ,● 13.02インチ,● 13.02インチ
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,● 44インチ,● 44インチ,● 44インチ,● 44インチ,● 44インチ,● 44インチ,● 44インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,"● 自動防眩目
○ ストリーミングメディア","● 自動防眩目
○ ストリーミングメディア","● 自動防眩目
● ストリーミングメディア","● 自動防眩目
● ストリーミングメディア","● 自動防眩目
● ストリーミングメディア","● 自動防眩目
● ストリーミングメディア","● 自動防眩目
● ストリーミングメディア"
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,●,●,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,"● 前席3個／後席2個
○ 前席3個／後席4個","● 前席3個／後席2個
○ 前席3個／後席4個","● 前席3個／後席2個
○ 前席3個／後席4個","● 前席3個／後席2個
○ 前席3個／後席4個","● 前席3個／後席2個
○ 前席3個／後席4個","● 前席3個／後席2個
○ 前席3個／後席4個",● 前席3個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),●,●,●,●,●,●,●
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジ12V電源ポート,●,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 革／スエード素材の組み合わせ
座椅配置,シート装備,运动风格座椅,スポーツシート,-,-,-,-,-,-,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）
● サイドサポート（アクティブ）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）
● サイドサポート（アクティブ）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）
● サイドサポート（アクティブ）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）
● サイドサポート（アクティブ）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）
● サイドサポート（アクティブ）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）
● サイドサポート（アクティブ）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）
● サイドサポート（アクティブ）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,メイン●／サブ●,メイン●／サブ●,メイン●／サブ●,メイン●／サブ●,メイン●／サブ●,メイン●／サブ●,メイン●／サブ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● 前後調整
● 背もたれ調整
○ 腰部調整
● レッグレスト調整
● フットレスト調整","● 前後調整
● 背もたれ調整
○ 腰部調整
● レッグレスト調整
● フットレスト調整","● 前後調整
● 背もたれ調整
○ 腰部調整
● レッグレスト調整
● フットレスト調整","● 前後調整
● 背もたれ調整
○ 腰部調整
● レッグレスト調整
● フットレスト調整","● 前後調整
● 背もたれ調整
○ 腰部調整
● レッグレスト調整
● フットレスト調整","● 前後調整
● 背もたれ調整
○ 腰部調整
● レッグレスト調整
● フットレスト調整","● 前後調整
● 背もたれ調整
○ レッグレスト調整
○ フットレスト調整"
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,"● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー"
座椅配置,シート装備,后排小桌板,後席折りたたみテーブル,●,●,●,●,●,●,○
座椅配置,シート装備,第二排独立座椅,2列目独立シート,○,○,○,○,○,○,-
座椅配置,シート装備,第三排座椅调节,3列目シート調整,○ 背もたれ調整,○ 背もたれ調整,○ 背もたれ調整,○ 背もたれ調整,○ 背もたれ調整,○ 背もたれ調整,-
座椅配置,シート装備,第三排座椅电动调节,3列目電動シート調整,○,○,○,○,○,○,-
座椅配置,シート装備,第三排座椅功能,3列目シート機能,○ 加熱,○ 加熱,○ 加熱,○ 加熱,○ 加熱,○ 加熱,-
座椅配置,シート装備,座椅布局,シートレイアウト,○ 2-2-2,○ 2-2-2,○ 2-2-2,○ 2-2-2,○ 2-2-2,○ 2-2-2,-
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,后排座椅电动放倒,後席電動可倒,●,●,●,●,●,●,●
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,○ Naim（5.00万元）,○ Naim（5.00万元）,○ Naim（5.00万元）,○ Naim（5.00万元）,○ Naim（5.00万元）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 29スピーカー,● 29スピーカー,● 29スピーカー,● 29スピーカー,● 29スピーカー,● 29スピーカー,● 29スピーカー
音响/车内灯光,オーディオ・室内照明,杜比全景声(Dolby Atmos),ドルビーアトモス(Dolby Atmos),●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 1680万色,● 1680万色,● 1680万色,● 1680万色,● 1680万色,● 1680万色,● 1680万色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–
选装包,オプションパッケージ,后排吸顶屏套装,後席天井モニターセット,○ オプション（10000元）,○ オプション（10000元）,-,-,-,-,-
选装包,オプションパッケージ,六座悦享包,6人乗り快適パッケージ,○ オプション（10000元）,○ オプション（10000元）,○ オプション（10000元）,○ オプション（10000元）,○ オプション（10000元）,○ オプション（10000元）,-
选装包,オプションパッケージ,千里浩瀚H9,千里浩瀚H9,○ オプション（25000元）,○ オプション（25000元）,○ オプション（25000元）,○ オプション（25000元）,○ オプション（25000元）,○ オプション（25000元）,-
选装包,オプションパッケージ,栖云舒享座椅套装,栖云快適シートセット,-,-,-,-,-,-,○ オプション（無料）
