セクション,項目,捷途旅行者 2026款 1.5TD 探索,捷途旅行者 2026款 1.5TD 探索+,捷途旅行者 2026款 2.0TD XWD 发现,捷途旅行者 2026款 2.0TD XWD 穿越,捷途旅行者 2026款 2.0TD XWD 征服,捷途旅行者 2026款 2.0TD XWD 远征,捷途旅行者 2026款 2.0TD XWD 悦野,捷途旅行者 2026款 2.0TD DCT 骏马版 XWD发现,捷途旅行者 2026款 2.0TD DCT 骏马版 XWD穿越,捷途旅行者 2026款 PLUS 2.0TD XWD征服 5座,捷途旅行者 2026款 PLUS 2.0TD XWD征服 7座,捷途旅行者 2026款 PLUS 2.0TD XWD征服+ 5座,捷途旅行者 2026款 PLUS 2.0TD XWD征服+ 7座,捷途旅行者 2026款 1.5TD DCT 骏马版 探索+,捷途旅行者 2025款 1.5TD DCT 探索+畅行版,捷途旅行者 2025款 2.0TD DCT 四驱星际卫士,捷途旅行者 2025款 2.0TD DCT XWD 发现畅行版,捷途旅行者 2025款 2.0TD XWD 自动征服+畅行版,捷途旅行者 2025款 1.5TD DCT两驱探索,捷途旅行者 2025款 1.5TD DCT两驱探索+,捷途旅行者 2025款 2.0TD DCT XWD发现,捷途旅行者 2025款 2.0TD DCT XWD穿越,捷途旅行者 2025款 2.0TD DCT XWD穿越+,捷途旅行者 2025款 2.0TD XWD 自动悦野,捷途旅行者 2025款 2.0TD XWD 自动征服,捷途旅行者 2025款 2.0TD XWD 自动征服加长版 7座,捷途旅行者 2025款 2.0TD XWD 自动征服+,捷途旅行者 2025款 2.0TD XWD 自动征服+加长版 7座,捷途旅行者 2025款 2.0T DCT 星月女神,捷途旅行者 2025款 2.0T 自动四驱20万纪念版,捷途旅行者 2025款 2.0TD DCT 四驱银龙之翼Air,捷途旅行者 2024款 2.0T 四驱悦野PRO,捷途旅行者 2024款 2.0T 四驱穿越PRO娱乐版,捷途旅行者 2024款 2.0T 四驱穿越PRO+娱乐版,捷途旅行者 2024款 2.0T 四驱和平精英战神版,捷途旅行者 2023款 1.5T 两驱发现PRO
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置前驱
底盘转向,四驱形式,-,-,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,-,-,● 适时四驱,● 适时四驱,● 适时四驱,-,-,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,-
底盘转向,中央差速器结构,-,-,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,-,-,● 多片离合器,● 多片离合器,● 多片离合器,-,-,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,-
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/65 R18,● 235/65 R18,"● 255/60 R19
○ 255/55 R20 (2000元)","● 255/60 R19
○ 255/55 R20 (2000元)",● 255/60 R19,"● 255/60 R19
○ 255/55 R20 (2000元)","● 255/60 R19
○ 255/55 R20 (2000元)",● 255/60 R19,● 255/60 R19,● 255/55 R20,● 255/55 R20,● 255/55 R20,● 255/55 R20,● 235/65 R18,● 235/65 R18,● 255/60 R19,● 255/60 R19,● 255/60 R19,● 235/65 R18,● 235/65 R18,"● 255/60 R19
○ 255/55 R20","● 255/60 R19
○ 255/55 R20","● 255/60 R19
○ 255/55 R20","● 255/60 R19
○ 255/55 R20",● 255/60 R19,"● 255/55 R20
○ 255/60 R19",● 255/60 R19,"● 255/55 R20
○ 255/60 R19","● 255/60 R19
○ 255/55 R20",● 255/60 R19,● 255/55 R20,"● 255/60 R19
○ 255/55 R20",● 255/60 R19,● 255/60 R19,● 255/55 R20,● 235/65 R18
车轮制动,后轮胎规格,● 235/65 R18,● 235/65 R18,"● 255/60 R19
○ 255/55 R20","● 255/60 R19
○ 255/55 R20",● 255/60 R19,"● 255/60 R19
○ 255/55 R20","● 255/60 R19
○ 255/55 R20",● 255/60 R19,● 255/60 R19,● 255/55 R20,● 255/55 R20,● 255/55 R20,● 255/55 R20,● 235/65 R18,● 235/65 R18,● 255/60 R19,● 255/60 R19,● 255/60 R19,● 235/65 R18,● 235/65 R18,"● 255/60 R19
○ 255/55 R20","● 255/60 R19
○ 255/55 R20","● 255/60 R19
○ 255/55 R20","● 255/60 R19
○ 255/55 R20",● 255/60 R19,"● 255/55 R20
○ 255/60 R19",● 255/60 R19,"● 255/55 R20
○ 255/60 R19","● 255/60 R19
○ 255/55 R20",● 255/60 R19,● 255/55 R20,"● 255/60 R19
○ 255/55 R20",● 255/60 R19,● 255/60 R19,● 255/55 R20,● 235/65 R18
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,"● 非全尺寸
○ 全尺寸",● 非全尺寸,"● 非全尺寸
○ 全尺寸","● 非全尺寸
○ 全尺寸",● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 无,● 全尺寸,"● 非全尺寸
○ 全尺寸","● 非全尺寸
○ 全尺寸","● 非全尺寸
○ 全尺寸","● 非全尺寸
○ 全尺寸","● 非全尺寸
○ 全尺寸","● 非全尺寸
○ 全尺寸","● 非全尺寸
○ 全尺寸","● 非全尺寸
○ 全尺寸","● 非全尺寸
○ 全尺寸","● 非全尺寸
○ 全尺寸","● 非全尺寸
○ 全尺寸","● 非全尺寸
○ 全尺寸",● 非全尺寸,● 全尺寸,"● 非全尺寸
○ 全尺寸",● 非全尺寸,● 非全尺寸,● 全尺寸,"● 非全尺寸
○ 全尺寸"
车轮制动,备胎放置方式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,-,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,前 ● /后 ●,-,前 ● /后 ●,-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,主动刹车/主动安全系统,-,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,疲劳驾驶提示,-,●,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,-,-,-,●,●,●,●,-,●,-,-,●,●,-,●,●,-,●,-,●,-,●,●,●,●,●,●,●,●,●,-,●,●,●,-,●
主动安全,前方碰撞预警,-,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,后方碰撞预警,-,-,-,●,●,●,●,-,●,-,-,●,●,-,●,●,-,●,-,●,-,●,●,●,●,●,●,●,●,●,-,●,●,●,-,●
主动安全,内置行车记录仪,-,-,-,●,●,●,●,-,●,-,-,●,●,-,-,●,-,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适"
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,拖挂模式,-,-,○,○,●,○,○,○,○,○,○,●,●,-,-,-,○,○,-,-,○,○,○,○,○,○,○,○,-,●,-,-,-,-,-,-
四驱/越野,中央差速器锁止功能,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
四驱/越野,限滑差速器/差速锁,-,-,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,-,-,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,-,-,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,-
四驱/越野,涉水感应系统,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
四驱/越野,蠕行模式,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
四驱/越野,拖挂钩,-,-,○ 手动 (2000元),○ 手动 (2000元),● 手动,○ 手动 (2000元),○ 手动 (2000元),-,-,○ 手动,○ 手动,● 手动,● 手动,-,-,-,-,○ 手动 (2000元),-,-,○ 手动 (2000元),○ 手动 (2000元),○ 手动 (2000元),○ 手动 (2000元),○ 手动 (2000元),○ 手动,○ 手动 (2000元),○ 手动,○ 手动,● 手动,-,○ 手动,○ 手动 (2000元),○ 手动 (2000元),-,-
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前-/后 ●,前 ● /后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前-/后 ●,前 ● /后 ●,前-/后 ●,前 ● /后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,-,● 单目,-,● 单目,-,-,-,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,-
驾驶硬件,摄像头数量,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 4个,● 5个,● 4个,● 5个,● 4个,● 4个,● 4个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 4个
驾驶硬件,车内摄像头数量,-,● 1个,-,● 1个,● 1个,● 1个,● 1个,-,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 2个,● 1个,● 2个,● 2个,● 1个
驾驶硬件,超声波雷达数量,● 4个,● 4个,● 4个,● 12个,● 12个,● 12个,● 12个,● 4个,● 12个,● 4个,● 4个,● 12个,● 12个,● 4个,● 8个,● 8个,● 4个,● 12个,● 4个,● 8个,● 4个,● 8个,● 12个,● 8个,● 8个,● 8个,● 12个,● 12个,● 12个,● 12个,● 12个,● 8个,● 8个,● 12个,● 8个,● 8个
驾驶硬件,毫米波雷达数量,-,-,-,● 2个,● 2个,● 2个,● 2个,-,● 2个,-,-,● 2个,● 2个,-,● 2个,● 3个,-,● 3个,-,● 2个,-,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,-,-,-,-,-,-
驾驶功能,巡航系统,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航
驾驶功能,辅助驾驶等级,-,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,-,● L2,-,● L2,-,-,-,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,-
驾驶功能,倒车车侧预警系统,-,-,-,●,●,●,●,-,●,-,-,●,●,-,●,●,-,●,-,●,-,●,●,●,●,●,●,●,●,●,-,●,●,●,-,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,-,-,-,-,-
驾驶功能,并线辅助,-,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,-,●,-,●,-,●,●,●,●,●,●,●,●,●,-,●,●,●,-,●
