セクション,セクション_ja,項目,項目_ja,2026年モデル 1.5TD 探索,2026年モデル 1.5TD 探索+,2026年モデル 1.5TD DCT 駿馬版 探索+,2026年モデル 2.0TD XWD 発見,2026年モデル 2.0TD XWD 越境,2026年モデル 2.0TD XWD 征服,2026年モデル 2.0TD XWD 悦野,2026年モデル 2.0TD DCT 駿馬版 XWD 発見,2026年モデル 2.0TD DCT 駿馬版 XWD 越境,2025年モデル 1.5TD DCT 探索+ 快適版,2025年モデル 2.0TD DCT 4WD 星際衛士,2025年モデル 2.0TD DCT XWD 発見 快適版,2025年モデル 2.0TD XWD 自動 征服+ 快適版,2025年モデル 1.5TD DCT 2WD 探索,2025年モデル 1.5TD DCT 2WD 探索+,2025年モデル 2.0TD DCT XWD 発見,2025年モデル 2.0TD DCT XWD 越境,2025年モデル 2.0TD DCT XWD 越境+,2025年モデル 2.0TD XWD 自動 悦野,2025年モデル 2.0TD XWD 自動 征服,2025年モデル 2.0TD XWD 自動 征服 ロング版 7人乗り,2025年モデル 2.0TD XWD 自動 征服+,2025年モデル 2.0TD XWD 自動 征服+ ロング版 7人乗り,2025年モデル 2.0T DCT 星月女神,2025年モデル 2.0T 自動 4WD 20万記念版,2025年モデル 2.0TD DCT 4WD 銀龍の翼 Air,2024年モデル 2.0T 4WD 悦野PRO,2024年モデル 2.0T 4WD 越境PRO エンタメ版,2024年モデル 2.0T 4WD 越境PRO+ エンタメ版,2024年モデル 2.0T 4WD 平和精英 戦神版,2023年モデル 1.5T 2WD 発見PRO,2026年モデル 2.0TD XWD 征服 5人乗り,2026年モデル 2.0TD XWD 征服 7人乗り,2026年モデル 2.0TD XWD 征服+ 5人乗り,2026年モデル 2.0TD XWD 征服+ 7人乗り
发动机,エンジン,行程(mm),ストローク(mm),85.9,85.9,85.9,98.12,98.12,98.12,98.12,98.12,98.12,85.9,98.12,98.12,98.12,85.9,85.9,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,85.9,98.12,98.12,98.12,98.12
发动机,エンジン,最大马力(Ps),最高出力(Ps),184,184,184,254,254,254,254,254,254,184,254,254,254,184,184,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,184,254,254,254,254
发动机,エンジン,最大功率(kW),最大出力(kW),135,135,135,187,187,187,187,187,187,135,187,187,187,135,135,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,135,187,187,187,187
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),290,290,290,390,390,390,390,390,390,290,390,390,390,290,290,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,290,390,390,390,390
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2000-4000,2000-4000,2000-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,2000-4000,1750-4000,1750-4000,1750-4000,2000-4000,2000-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,2000-3500,1750-4000,1750-4000,1750-4000,1750-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),125,125,125,180,180,180,180,180,180,125,180,180,180,125,125,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,125,180,180,180,180
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
变速箱,トランスミッション,简称,略称,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,8速AT（オートマチック）,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,8速AT（オートマチック）,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,7速湿式デュアルクラッチ,8速AT（オートマチック）,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）
变速箱,トランスミッション,挡位个数,段数,7,7,7,7,7,8,7,7,7,7,7,7,8,7,7,7,7,7,7,8,8,8,8,7,8,7,7,7,7,7,7,8,8,8,8
变速箱,トランスミッション,变速箱类型,トランスミッション形式,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,AT（オートマチック）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,AT（オートマチック）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,AT（オートマチック）,AT（オートマチック）,AT（オートマチック）,AT（オートマチック）,湿式デュアルクラッチトランスミッション（DCT）,AT（オートマチック）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,AT（オートマチック）,AT（オートマチック）,AT（オートマチック）,AT（オートマチック）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,-,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,-,-,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,-,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,-,-,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,-,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,-,-,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,-,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/65 R18タイヤ,● 235/65 R18タイヤ,● 235/65 R18タイヤ,"● 255/60 R19タイヤ
○ 255/55 R20タイヤ（2000元追加）","● 255/60 R19タイヤ
○ 255/55 R20タイヤ（2000元追加）",● 255/60 R19タイヤ,"● 255/60 R19タイヤ
○ 255/55 R20タイヤ（2000元追加）",● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 235/65 R18タイヤ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 235/65 R18タイヤ,● 235/65 R18タイヤ,"● 255/60 R19タイヤ
○ 255/55 R20タイヤ","● 255/60 R19タイヤ
○ 255/55 R20タイヤ","● 255/60 R19タイヤ
○ 255/55 R20タイヤ","● 255/60 R19タイヤ
○ 255/55 R20タイヤ",● 255/60 R19タイヤ,"● 255/55 R20タイヤ
○ 255/60 R19タイヤ",● 255/60 R19タイヤ,"● 255/55 R20タイヤ
○ 255/60 R19タイヤ","● 255/60 R19タイヤ
○ 255/55 R20タイヤ",● 255/60 R19タイヤ,● 255/55 R20タイヤ,"● 255/60 R19タイヤ
○ 255/55 R20タイヤ",● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 255/55 R20タイヤ,● 235/65 R18タイヤ,● 255/55 R20タイヤ,● 255/55 R20タイヤ,● 255/55 R20タイヤ,● 255/55 R20タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/65 R18タイヤ,● 235/65 R18タイヤ,● 235/65 R18タイヤ,"● 255/60 R19タイヤ
○ 255/55 R20タイヤ","● 255/60 R19タイヤ
○ 255/55 R20タイヤ",● 255/60 R19タイヤ,"● 255/60 R19タイヤ
○ 255/55 R20タイヤ",● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 235/65 R18タイヤ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 235/65 R18タイヤ,● 235/65 R18タイヤ,"● 255/60 R19タイヤ
○ 255/55 R20タイヤ","● 255/60 R19タイヤ
○ 255/55 R20タイヤ","● 255/60 R19タイヤ
○ 255/55 R20タイヤ","● 255/60 R19タイヤ
○ 255/55 R20タイヤ",● 255/60 R19タイヤ,"● 255/55 R20タイヤ
○ 255/60 R19タイヤ",● 255/60 R19タイヤ,"● 255/55 R20タイヤ
○ 255/60 R19タイヤ","● 255/60 R19タイヤ
○ 255/55 R20タイヤ",● 255/60 R19タイヤ,● 255/55 R20タイヤ,"● 255/60 R19タイヤ
○ 255/55 R20タイヤ",● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 255/55 R20タイヤ,● 235/65 R18タイヤ,● 255/55 R20タイヤ,● 255/55 R20タイヤ,● 255/55 R20タイヤ,● 255/55 R20タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,"● フルサイズではない
○ フルサイズあり",● フルサイズではない,"● フルサイズではない
○ フルサイズあり",● フルサイズではない,● フルサイズではない,● フルサイズではない,● なし,● フルサイズあり,"● フルサイズではない
○ フルサイズあり","● フルサイズではない
○ フルサイズあり","● フルサイズではない
○ フルサイズあり","● フルサイズではない
○ フルサイズあり","● フルサイズではない
○ フルサイズあり","● フルサイズではない
○ フルサイズあり","● フルサイズではない
○ フルサイズあり","● フルサイズではない
○ フルサイズあり","● フルサイズではない
○ フルサイズあり","● フルサイズではない
○ フルサイズあり","● フルサイズではない
○ フルサイズあり","● フルサイズではない
○ フルサイズあり",● フルサイズではない,● フルサイズあり,"● フルサイズではない
○ フルサイズあり",● フルサイズではない,● フルサイズではない,● フルサイズあり,"● フルサイズではない
○ フルサイズあり",● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,-,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,-,前席●／後席●,-,前席●／後席●,-,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
