セクション,セクション_ja,項目,項目_ja,2026年モデル 青春版 1.5T 6MT 快適版,2026年モデル 青春版 1.5T 6DCT エリート版,2026年モデル 青春版 1.5T 6DCT 豪華版,2026年モデル 青春版 1.5T 6DCT 豪華＋版,2026年モデル 1.5T DCT エリート版,2026年モデル 1.5T DCT 豪華版,2026年モデル 1.5T DCT ブラックウォリアー版,2026年モデル 1.5TD DCT フラッグシップ版,2025年モデル 1.5T DCT エリート版,2025年モデル 1.5T DCT 豪華版,2025年モデル 1.5T DCT 至高版,2025年モデル 1.5TD DCT プレミアム版,2025年モデル 1.5TD DCT フラッグシップ版,2025年モデル 1.5T DCT 超越版,2025年モデル 1.5T DCT 青春UP,2024年モデル 1.5T DCT 星耀 ピーナッツ版
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席／後席●,前席／後席●,前席／後席●,前席／後席●,前席／後席●,前席／後席●,前席／後席●,前席／後席●,前席／後席●,前席／後席●,前席／後席●,前席／後席●,前席／後席●,前席／後席●,前席／後席●,前席／後席●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● リアビューカメラ,● リアビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● リアビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● リアビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,-,-,-,-,-,-,-,●,-,-,-,●,●,-,-,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,-,-,-,-,-,-,● 単眼カメラ,-,-,-,-,○ 単眼カメラ,-,-,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,● 1個,● 4個,● 4個,● 1個,● 4個,● 4個,● 5個,● 1個,● 4個,● 4個,● 4個,"● 4個
○ 5個",● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,"● クルーズコントロール
○ 全速度域アダプティブクルーズコントロール",● クルーズコントロール,● クルーズコントロール,● クルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,-,-,-,-,-,-,● レベル2,-,-,-,-,○ レベル2,-,-,-
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,"● 高徳
● テンセント","● 高徳
● テンセント","● 高徳
● テンセント","● 高徳
● テンセント",● 高徳,● 高徳,● 高徳,● 高徳,"● 高徳
● テンセント","● 高徳
● テンセント","● 高徳
● テンセント","● 高徳
● テンセント","● 高徳
● テンセント","● 高徳
● テンセント","● 高徳
● テンセント","● 高徳
● テンセント"
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,-,-,-,●,-,-,-,-,○,-,-,-
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,-,-,-,-,-,-,-,●,-,-,-,-,○,-,-,-
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,-,-,-,-,-,-,●,-,-,-,-,○,-,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,-,-,● スポーティスタイル,-,-,-,-,-,-,-,-,-,-,● スポーティスタイル,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● 鋼,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,-,-,-,-,●,●,●,-,-,-,●,●,-,-,-
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,-,-,-,-,●,●,●,-,-,-,●,●,-,-,-
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,"● リモコンキー
● Bluetoothキー",● リモコンキー,● リモコンキー,● リモコンキー,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,-,-,-,-,●,-,-,-,-,○,-,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,● LED,● LED,● LED,-,● LED,● LED,● LED,● LED,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,○ 開閉式パノラマサンルーフ（3000元）,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,○ 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,-,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 運転席,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 運転席,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,-,-,-,-,-,-,-,-,-,-,-,-,● 雨量感応式,-,-,-
天窗/玻璃,サンルーフ・ガラス,可加热喷水嘴,ヒーター付きウォッシャーノズル,-,-,○,-,-,○,-,○,-,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,"● 電動調整
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納",● 電動調整,"● 電動調整
● ドアミラー加熱",● 電動調整
互联/智能化,互联/智能化,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,互联/智能化,中控屏幕尺寸,センターディスプレイサイズ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 15.6インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 15.6インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ
互联/智能化,互联/智能化,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,手机互联/映射,スマホ連携/ミラーリング,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,-,-,-,-,-,● HUAWEI HiCar対応,● HUAWEI HiCar対応,-
互联/智能化,互联/智能化,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
○ サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ"
互联/智能化,互联/智能化,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小捷,● こんにちは、小捷,● こんにちは、小捷,● こんにちは、小捷,● こんにちは、小捷,● こんにちは、小捷,● こんにちは、小捷,● こんにちは、小捷,● 捷途、こんにちは,● 捷途、こんにちは,● 捷途、こんにちは,● 捷途、こんにちは,● 捷途、こんにちは,-,-,-
互联/智能化,互联/智能化,语音分区域唤醒识别,音声エリア別起動認識,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン
互联/智能化,互联/智能化,语音连续识别,連続音声認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,车联网,コネクテッドカー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,互联/智能化,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断",-,"● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● メカニカルシフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子式コラムシフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子式コラムシフトレバー,● 電子式コラムシフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,○,-,-,○,-,○,-,-,●,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,-,-,●,-,-,-,-,●,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 8インチ,● 8インチ,● 8インチ,● 8インチ,● 9.2インチ,● 9.2インチ,● 9.2インチ,● 9.2インチ,● 9.2インチ,● 9.2インチ,● 9.2インチ,● 9.2インチ,● 9.2インチ,● 8インチ,● 8インチ,● 8インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個,● 前席4個／後席1個,● 前席4個／後席1個,● 前席4個／後席1個,● 前席4個／後席1個,● 前席3個／後席1個,● 前席4個／後席1個,● 前席4個／後席1個,● 前席4個／後席1個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,-,● 前席,-,-,-,-,○ 前席,-,-,-
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,-,-,-,-,-,● 50W,-,-,-,-,○ 50W,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● ファブリック,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● ファブリック,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● ファブリック,● 合成皮革,● 合成皮革
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
○ レッグレスト調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,運転席 ● ／ 助手席,運転席 ● ／ 助手席,運転席 ● ／ 助手席,運転席 ● ／ 助手席,運転席 ● ／ 助手席,運転席 ● ／ 助手席,-,-,運転席 ● ／ 助手席,運転席 ● ／ 助手席,運転席 ● ／ 助手席 ○,-,運転席 ● ／ 助手席,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,"○ 加熱（運転席のみ）
○ ベンチレーション（運転席のみ）",-,-,"● 加熱（運転席のみ）
● ベンチレーション（運転席のみ）","● 加熱（運転席のみ）
● ベンチレーション（運転席のみ）","● 加熱（運転席のみ）
● ベンチレーション（運転席のみ）",-,-,"● 加熱（運転席のみ）
● ベンチレーション（運転席のみ）",-,"○ 加熱
○ ベンチレーション
● 加熱（運転席のみ）
● ベンチレーション（運転席のみ）
○ マッサージ（助手席のみ）",-,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-,-,○ 助手席,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部座席調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席の倒し方,● 分割合倒式,● 分割合倒式,● 分割合倒式,● 分割合倒式,● 分割合倒式,● 分割合倒式,● 分割合倒式,● 分割合倒式,● 分割合倒式,● 分割合倒式,● 分割合倒式,● 分割合倒式,● 分割合倒式,● 分割合倒式,● 分割合倒式,● 分割合倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-,● SONY（ソニー）,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 8スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,○,-,○,-,○,●,○,●,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● オートエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席用エアアウトレット,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,-,-,-,-,-,-,●,-,-,-,●,●,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,-,-,-,-,-,-,-,-,-,●,-,-
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
选装包,オプションパッケージ,舒享套件,快適装備パッケージ,-,-,○ オプション（2000元）,-,-,-,-,-,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,舒享套件,快適装備パッケージ,-,-,-,-,-,○ オプション（価格未定）,-,○ オプション（価格未定）,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,黑武士套件,ブラックウォリアーパッケージ,-,-,-,-,-,-,○ オプション（価格未定）,-,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,运动套件,スポーツパッケージ,-,-,-,-,-,-,-,-,-,○ オプション（価格未定）,-,○ オプション（価格未定）,-,-,-,-
选装包,オプションパッケージ,舒享套件,快適装備パッケージ,-,-,-,-,-,-,-,-,-,-,-,-,○ オプション（価格未定）,-,-,-
选装包,オプションパッケージ,智驾套件,スマートドライブパッケージ,-,-,-,-,-,-,-,-,-,-,-,-,○ オプション（価格未定）,-,-,-
