セクション,項目,捷途大圣 2026款 青春版 1.5T 6MT舒适版,捷途大圣 2026款 青春版 1.5T 6DCT精英版,捷途大圣 2026款 青春版 1.5T 6DCT豪华版,捷途大圣 2026款 青春版 1.5T 6DCT豪华+版,捷途大圣 2026款 1.5T DCT 精英版,捷途大圣 2026款 1.5T DCT 豪华版,捷途大圣 2026款 1.5T DCT 黑武士版,捷途大圣 2026款 1.5T DCT 星耀 花生版,捷途大圣 2026款 1.5TD DCT 旗舰版,捷途大圣 2025款 1.5T DCT 超越版,捷途大圣 2025款 1.5T DCT 精英版,捷途大圣 2025款 1.5T DCT青春UP,捷途大圣 2025款 1.5T DCT 豪华版,捷途大圣 2025款 1.5TD DCT 尊享版,捷途大圣 2025款 1.5T DCT 至臻版,捷途大圣 2025款 1.5TD DCT 旗舰版
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 15.6英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 15.6英寸
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,-,● 支持HUAWEI HiCar,-,-,-,-
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
○ 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗"
互联/智能化,语音助手唤醒词,● 你好，小捷,● 你好，小捷,● 你好，小捷,● 你好，小捷,● 你好，小捷,● 你好，小捷,● 你好，小捷,-,● 你好，小捷,-,● 捷途，你好,-,● 捷途，你好,● 捷途，你好,● 捷途，你好,● 捷途，你好
互联/智能化,语音分区域唤醒识别,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域
互联/智能化,语音连续识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断",-,"● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断"
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子式怀挡换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子式怀挡换挡,● 电子挡把换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,○,-,-,○,-,-,○,-,-,-,-,-,●,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,●
方向盘/内后视镜,液晶仪表尺寸,● 8英寸,● 8英寸,● 8英寸,● 8英寸,● 9.2英寸,● 9.2英寸,● 9.2英寸,● 8英寸,● 9.2英寸,● 8英寸,● 9.2英寸,● 8英寸,● 9.2英寸,● 9.2英寸,● 9.2英寸,● 9.2英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排3个/后排1个,● 前排3个/后排1个,● 前排3个/后排1个,● 前排3个/后排1个,● 前排3个/后排1个,● 前排3个/后排1个,● 前排3个/后排1个,● 前排4个/后排1个,● 前排3个/后排1个,● 前排4个/后排1个,● 前排4个/后排1个,● 前排4个/后排1个,● 前排4个/后排1个,● 前排4个/后排1个,● 前排4个/后排1个,● 前排3个/后排1个
车内充电,手机无线充电功能,-,-,-,-,-,-,-,-,● 前排,-,-,-,-,-,-,○ 前排
车内充电,手机无线充电功率,-,-,-,-,-,-,-,-,● 50W,-,-,-,-,-,-,○ 50W
座椅配置,座椅材质,● 织物,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 织物,● 织物,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,运动风格座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
○ 腿托调节"
座椅配置,主/副驾驶座电动调节,-,-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,-,主 ● /副-,-,-,主 ● /副-,-,主 ● /副-,主 ● /副-,主 ● /副 ○
座椅配置,前排座椅功能,-,-,"○ 加热(仅驾驶位)
○ 通风(仅驾驶位)",-,-,"● 加热(仅驾驶位)
● 通风(仅驾驶位)","● 加热(仅驾驶位)
● 通风(仅驾驶位)",-,"● 加热(仅驾驶位)
● 通风(仅驾驶位)",-,-,-,-,-,"● 加热(仅驾驶位)
● 通风(仅驾驶位)","○ 加热
○ 通风
● 加热(仅驾驶位)
● 通风(仅驾驶位)
○ 按摩(仅副驾驶位)"
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○ 副驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
座椅配置,后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● SONY索尼
音响/车内灯光,扬声器数量,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 8喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,○,-,-,○,-,-,-,○,○,●,●
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 自动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 自动空调,● 手动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-,●,-,-,-,-,●,-,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,-,-,-,●,-,●,-,-,-,-,-,-
空调/冰箱,空气质量监测,-,-,-,-,●,●,●,-,●,-,●,-,●,●,●,●
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
选装包,舒享套件,-,-,○ 选配 (2000元),-,-,-,-,-,-,-,-,-,-,-,-,-
选装包,舒享套件,-,-,-,-,-,○ 选配 (暂无价格),-,-,○ 选配 (暂无价格),-,-,-,-,-,-,-
选装包,黑武士套件,-,-,-,-,-,-,○ 选配 (暂无价格),-,-,-,-,-,-,-,-,-
选装包,运动套件,-,-,-,-,-,-,-,-,-,-,-,-,○ 选配 (暂无价格),○ 选配 (暂无价格),-,-
选装包,舒享套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○ 选配 (暂无价格)
选装包,智驾套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○ 选配 (暂无价格)
