セクション,セクション_ja,項目,項目_ja,2026年モデル 102kWh 行政通路ラグジュアリー版,2026年モデル 102kWh 行政センターラグジュアリー版,2026年モデル 102kWh 行政通路サイン版,2026年モデル 102kWh 行政センターサイン版,2026年モデル 102kWh ホライゾン通路特別版,2026年モデル 102kWh ホライゾンセンター特別版
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯
● 後席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯
● 後席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯
● 後席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,感応式ワイパー機能,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目"
互联/智能化,コネクティビティ／スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ／スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ
互联/智能化,コネクティビティ／スマート機能,中控屏幕类型,センターコンソール画面タイプ,● AMOLED,● AMOLED,● AMOLED,● AMOLED,● AMOLED,● AMOLED
互联/智能化,コネクティビティ／スマート機能,中控屏幕分辨率,センターコンソール画面解像度,● 3K,● 3K,● 3K,● 3K,● 3K,● 3K
互联/智能化,コネクティビティ／スマート機能,中控液晶屏分屏显示,センター液晶画面分割表示,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,手机互联/映射,スマホ連携/ミラーリング,-,-,-,-,-,-
互联/智能化,コネクティビティ／スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ"
互联/智能化,コネクティビティ／スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● ハイ、NOMI,● ハイ、NOMI,● ハイ、NOMI,● ハイ、NOMI,● ハイ、NOMI,● ハイ、NOMI
互联/智能化,コネクティビティ／スマート機能,语音免唤醒词,音声無起動ワード対応,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 6ゾーン
互联/智能化,コネクティビティ／スマート機能,语音连续识别,音声連続認識,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,手势控制,ジェスチャー操作,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,车外语音交互,車外音声インタラクション,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,应用商店,アプリストア,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,车载智能系统,車載インテリジェントシステム,● SkyOS・天枢,● SkyOS・天枢,● SkyOS・天枢,● SkyOS・天枢,● SkyOS・天枢,● SkyOS・天枢
互联/智能化,コネクティビティ／スマート機能,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P
互联/智能化,コネクティビティ／スマート機能,后排液晶屏幕,後席液晶画面,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,后排液晶屏幕尺寸,後席液晶画面サイズ,"● 8インチ
● 2×16インチ","● 8インチ
● 2×16インチ","● 8インチ
● 2×16インチ","● 8インチ
● 2×16インチ","● 8インチ
● 2×16インチ","● 8インチ
● 2×16インチ"
互联/智能化,コネクティビティ／スマート機能,后排液晶屏幕类型,後席液晶画面タイプ,● AMOLED,● AMOLED,● AMOLED,● AMOLED,● AMOLED,● AMOLED
互联/智能化,コネクティビティ／スマート機能,后排多媒体屏幕数量,後席マルチメディア画面数,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個
互联/智能化,コネクティビティ／スマート機能,后排控制多媒体,後席マルチメディア操作,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,车机系统内存(GB),車載システムメモリ(GB),● 32,● 32,● 32,● 32,● 32,● 32
互联/智能化,コネクティビティ／スマート機能,车机系统存储(GB),車載システムストレージ(GB),● 256,● 256,● 256,● 256,● 256,● 256
互联/智能化,コネクティビティ／スマート機能,车联网,車載ネットワーク,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
互联/智能化,コネクティビティ／スマート機能,OTA升级,OTAアップデート,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検・整備予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検・整備予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検・整備予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検・整備予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検・整備予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検・整備予約"
互联/智能化,コネクティビティ／スマート機能,主动降噪,アクティブノイズキャンセリング,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,"● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー"
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席5個,● 前席2個／後席4個,● 前席2個／後席5個,● 前席2個／後席4個,● 前席2個／後席5個,● 前席2個／後席4個
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),●,●,●,●,●,●
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,"● 前席
● 後席",● 前席,"● 前席
● 後席",● 前席,"● 前席
● 後席"
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ポート,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー
● ヘッドレストヒーター"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整
● 左右調整","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整
● 左右調整","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整
● 左右調整","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整"
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,"● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー
● フットマッサージ（右席）","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー
● フットマッサージ（右席）","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー
● ヘッドレストヒーター
● フットマッサージ（右席）"
座椅配置,シート装備,后排小桌板,後部小テーブル,●,●,●,●,●,●
座椅配置,シート装備,零重力座椅,ゼログラビティシート,● 2列目,● 2列目,● 2列目,● 2列目,● 2列目,● 2列目
座椅配置,シート装備,第二排独立座椅,2列目独立シート,●,●,●,●,●,●
座椅配置,シート装備,第三排座椅调节,3列目シート調整,"● 前後調整
● 背もたれ調整
● 高さ調整","● 前後調整
● 背もたれ調整
● 高さ調整","● 前後調整
● 背もたれ調整
● 高さ調整","● 前後調整
● 背もたれ調整
● 高さ調整","● 前後調整
● 背もたれ調整
● 高さ調整","● 前後調整
● 背もたれ調整
● 高さ調整"
座椅配置,シート装備,第三排座椅电动调节,3列目電動シート調整,●,●,●,●,●,●
座椅配置,シート装備,第三排座椅功能,3列目シート機能,● ヒーター,● ヒーター,● ヒーター,● ヒーター,● ヒーター,● ヒーター
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-2-2（3列6人乗り）,● 2-2-2（3列6人乗り）,● 2-2-2（3列6人乗り）,● 2-2-2（3列6人乗り）,● 2-2-2（3列6人乗り）,● 2-2-2（3列6人乗り）
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 47スピーカー,● 47スピーカー,● 47スピーカー,● 47スピーカー,● 47スピーカー,● 47スピーカー
音响/车内灯光,オーディオ・室内照明,功放最大输出功率（W）,アンプ最大出力（W）,● 4680,● 4680,● 4680,● 4680,● 4680,● 4680
音响/车内灯光,オーディオ・室内照明,扬声器布局,スピーカー配置,● 9.2.4.8,● 9.2.4.8,● 9.2.4.8,● 9.2.4.8,● 9.2.4.8,● 9.2.4.8
音响/车内灯光,オーディオ・室内照明,杜比全景声(Dolby Atmos),ドルビーアトモス(Dolby Atmos),●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,●,●,●,●,●,●
特色配置,特別装備,智能高清投影大灯,スマート高精細プロジェクションヘッドライト,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–
选装包,オプションパッケージ,蔚来智能辅助驾驶NAD服务（380元/月）,NIOスマート運転支援NADサービス（380元/月）,○ オプション（380元）,○ オプション（380元）,○ オプション（380元）,○ オプション（380元）,○ オプション（380元）,○ オプション（380元）
选装包,オプションパッケージ,蔚来智能辅助驾驶NAD服务（680元/月）,NIOスマート運転支援NADサービス（680元/月）,○ オプション（680元）,○ オプション（680元）,○ オプション（680元）,○ オプション（680元）,○ オプション（680元）,○ オプション（680元）
选装包,オプションパッケージ,卡钳颜色,キャリパーカラー,○ オプション（3500元）,○ オプション（3500元）,○ オプション（3500元）,○ オプション（3500元）,○ オプション（3500元）,○ オプション（3500元）
选装包,オプションパッケージ,NOMI车载人工智能系统,NOMI車載AIシステム,○ オプション（4900元）,○ オプション（4900元）,-,-,-,-
选装包,オプションパッケージ,玄金套装,玄金パッケージ,○ オプション（7800元）,○ オプション（7800元）,○ オプション（7800元）,○ オプション（7800元）,○ オプション（7800元）,○ オプション（7800元）
选装包,オプションパッケージ,22英寸多辐光辉轮圈,22インチ多本スポーク光沢ホイール,○ オプション（11500元）,○ オプション（11500元）,-,-,-,-
选装包,オプションパッケージ,22英寸锻造揽月轮圈,22インチ鍛造ランユエホイール,○ オプション（28000元）,○ オプション（28000元）,-,-,-,-
选装包,オプションパッケージ,23英寸锻造锋影轮圈,23インチ鍛造フォウエイホイール,○ オプション（28000元）,○ オプション（28000元）,-,-,-,-
选装包,オプションパッケージ,23英寸锻造玄金锋影轮圈,23インチ鍛造玄金フォウエイホイール,○ オプション（30000元）,○ オプション（30000元）,-,-,-,-
选装包,オプションパッケージ,22英寸锻造玄金揽月轮圈,22インチ鍛造玄金ランユエホイール,○ オプション（30000元）,○ オプション（30000元）,-,-,-,-
选装包,オプションパッケージ,23英寸锻造锋影轮圈,23インチ鍛造フォウエイホイール,-,-,○ オプション（16500元）,○ オプション（16500元）,-,-
选装包,オプションパッケージ,22英寸锻造揽月轮圈,22インチ鍛造ランユエホイール,-,-,○ オプション（16500元）,○ オプション（16500元）,-,-
选装包,オプションパッケージ,22英寸锻造玄金揽月轮圈,22インチ鍛造玄金ランユエホイール,-,-,○ オプション（18500元）,○ オプション（18500元）,-,-
选装包,オプションパッケージ,23英寸锻造玄金锋影轮圈,23インチ鍛造玄金フォウエイホイール,-,-,○ オプション（18500元）,○ オプション（18500元）,-,-
选装包,オプションパッケージ,地平线专属设计套装,ホライゾン専用デザインパッケージ,-,-,-,-,○ オプション（無料）,○ オプション（無料）
选装包,オプションパッケージ,22英寸锻造玄金揽月轮圈,22インチ鍛造玄金ランユエホイール,-,-,-,-,○ オプション（2000元）,○ オプション（2000元）
选装包,オプションパッケージ,23英寸锻造玄金锋影轮圈,23インチ鍛造玄金フォウエイホイール,-,-,-,-,○ オプション（2000元）,○ オプション（2000元）
