セクション,項目,星海S7 2026款 565轻享版,星海S7 2026款 565悦享版,星海S7 2026款 565 星享版,星海S7 2026款 565 共创版,星海S7 2026款 565 星创版,星海S7 2026款 650超快充奢享版,星海S7 2026款 650超快充至尊版,星海S7 2025款 235增程 悦享版,星海S7 2025款 235增程 奢享版,星海S7 2025款 235增程 行政版,星海S7 2025款 235增程 尊贵版,星海S7 2025款 235增程 尊誉版,星海S7 2025款 555星创版,星海S7 2025款 565 星创版,星海S7 2024款 555行政版,星海S7 2024款 650行政版,星海S7 2024款 555悦享版,星海S7 2024款 555奢享版,星海S7 2024款 650至尊版
驾驶硬件,环境感知摄像头像素,-,-,-,-,-,-,-,● 100万,● 100万,● 100万,● 100万,● 100万,-,-,● 100万,● 100万,● 100万,● 100万,● 100万
驾驶硬件,环视摄像头像素,● 30万,● 100万,● 30万,● 100万,● 30万,● 100万,● 100万,● 100万,● 100万,● 100万,● 100万,● 100万,-,-,● 100万,● 100万,● 100万,● 100万,● 100万
驾驶硬件,车内摄像头数量,-,-,-,-,-,-,● 1个,-,-,-,-,-,-,-,● 1个,● 1个,-,● 1个,● 1个
驾驶硬件,超声波雷达数量,-,● 4个,-,● 4个,● 4个,● 4个,● 8个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 8个,● 8个,● 4个,● 8个,● 8个
驾驶硬件,毫米波雷达数量,-,-,-,-,-,-,● 2个,-,-,-,-,-,-,-,● 2个,● 2个,-,● 2个,● 2个
驾驶功能,巡航系统,○ 全速自适应巡航,● 全速自适应巡航,○ 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,○ 星海Pilot,● 星海Pilot,○ 星海Pilot,● 星海Pilot,● 星海Pilot,● 星海Pilot,● 星海Pilot,-,● 星海Pilot,● 星海Pilot,● 星海Pilot,● 星海Pilot,● 星海Pilot,● 星海Pilot,● 星海Pilot,● 星海Pilot,● 星海Pilot,● 星海Pilot,● 星海Pilot
驾驶功能,辅助驾驶等级,○ L2,● L2,○ L2,● L2,● L2,● L2,● L2,-,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,-,-,-,-,-,-,●,●,●,●,-,-,●,●,-,●,●
驾驶功能,卫星导航系统,-,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●
驾驶功能,导航路况信息显示,-,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●
驾驶功能,地图品牌,-,● 高德,-,● 高德,-,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,-,-,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,-,-,-,-,-,●,-,-,-,-,-,-,-,●,●,-,●,●
驾驶功能,车道保持辅助系统,○,●,○,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,○,●,○,●,●,●,●,-,●,●,●,●,-,-,●,●,●,●,●
驾驶功能,道路交通标识识别,○,●,○,●,●,●,●,-,●,●,●,●,-,-,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
驾驶功能,遥控泊车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
驾驶功能,记忆泊车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
驾驶功能,循迹倒车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
驾驶功能,辅助变道,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
驾驶功能,辅助匝道自动驶出(入),-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
驾驶功能,辅助驾驶路段,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 高速路段,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,无框设计车门,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢,○,-,○,-,○,●,●,-,●,●,●,●,-,○,●,●,●,●,●
外观/防盗,感应后备厢,-,-,-,-,-,-,-,-,-,○,●,○,-,-,-,●,-,-,-
外观/防盗,电动后备厢位置记忆,○,-,○,-,-,●,●,-,●,●,●,●,-,-,●,●,●,●,●
外观/防盗,发动机电子防盗,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 机械钥匙
● 遥控钥匙","● 机械钥匙
● 遥控钥匙","● 机械钥匙
● 遥控钥匙","● 机械钥匙
● 遥控钥匙","● 机械钥匙
● 遥控钥匙","● 机械钥匙
● 遥控钥匙
● 蓝牙钥匙","● 机械钥匙
● 遥控钥匙
● 蓝牙钥匙","● 机械钥匙
● 遥控钥匙","● 机械钥匙
● 遥控钥匙
● 蓝牙钥匙","● 机械钥匙
● 遥控钥匙
● 蓝牙钥匙","● 机械钥匙
● 遥控钥匙
● 蓝牙钥匙","● 机械钥匙
● 遥控钥匙
● 蓝牙钥匙","● 机械钥匙
● 遥控钥匙","● 机械钥匙
● 遥控钥匙","● 机械钥匙
● 遥控钥匙
● 蓝牙钥匙","● 机械钥匙
● 遥控钥匙
● 蓝牙钥匙","● 机械钥匙
● 遥控钥匙
● 蓝牙钥匙","● 机械钥匙
● 遥控钥匙
● 蓝牙钥匙","● 机械钥匙
● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,-,●,-,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,○,●,○,●,●,●,●,-,●,●,●,●,-,-,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,场景灯语,-,-,-,-,-,-,-,●,●,●,●,●,-,-,●,●,●,●,●
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,后排侧窗遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-
天窗/玻璃,后排侧隐私玻璃,-,-,-,-,-,-,●,-,●,●,●,●,-,-,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,● 雨量感应式,-,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,-,-,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节,"● 电动调节
● 后视镜加热",● 电动调节,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,"● 14.6英寸
○ 15.6英寸",● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 支持CarPlay,● 支持CarPlay,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射
互联/智能化,语音识别控制系统,-,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗",-,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗",-,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风",-,-,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风"
互联/智能化,语音助手唤醒词,-,● 你好，风行,-,● 你好，风行,-,● 你好，风行,● 你好，风行,"● 风行，风行
● 你好，风行","● 风行，风行
● 你好，风行","● 风行，风行
● 你好，风行","● 风行，风行
● 你好，风行","● 风行，风行
● 你好，风行",-,-,"● 风行，风行
● 你好，风行","● 风行，风行
● 你好，风行","● 风行，风行
● 你好，风行","● 风行，风行
● 你好，风行","● 风行，风行
● 你好，风行"
互联/智能化,语音免唤醒词,-,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●
互联/智能化,语音分区域唤醒识别,-,● 双区域,-,● 双区域,-,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,-,-,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
互联/智能化,语音连续识别,-,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●
互联/智能化,可见即可说,-,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●
互联/智能化,面部识别,-,-,-,-,-,-,●,-,-,-,-,-,-,-,●,●,-,●,●
互联/智能化,车载智能系统,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS
互联/智能化,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断"
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,●,-,●,●,●,●,-,-,●,●,-,-,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个
车内充电,手机无线充电功能,-,-,-,-,-,-,● 前排,-,● 前排,● 前排,● 前排,● 前排,-,-,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,-,-,-,-,-,-,● 50W,-,● 50W,● 50W,● 50W,● 50W,-,-,● 50W,● 50W,● 50W,● 50W,● 50W
座椅配置,座椅材质,"○ 仿皮
● 皮/织物混搭",● 仿皮,"○ 仿皮
● 皮/织物混搭",● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,主 ○ /副 ○,主 ● /副-,主 ○ /副 ○,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,"○ 加热(仅驾驶位)
○ 通风(仅驾驶位)",-,"○ 加热(仅驾驶位)
○ 通风(仅驾驶位)",-,"○ 加热
○ 通风","● 加热
● 通风","● 加热
● 通风",-,"● 加热
● 通风(仅驾驶位)","● 加热
● 通风(仅驾驶位)","● 加热
● 通风(仅驾驶位)","● 加热
● 通风(仅驾驶位)",-,"○ 加热
○ 通风","● 加热
● 通风(仅驾驶位)","● 加热
● 通风(仅驾驶位)","● 加热
● 通风(仅驾驶位)","● 加热
● 通风(仅驾驶位)","● 加热
● 通风(仅驾驶位)"
座椅配置,电动座椅记忆功能,○ 驾驶位,● 驾驶位,○ 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,-,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒
座椅配置,前/后中央扶手,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
座椅配置,后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 12喇叭,● 6喇叭,● 12喇叭,● 12喇叭,● 12喇叭,● 12喇叭,● 6喇叭,● 6喇叭,● 12喇叭,● 12喇叭,● 6喇叭,● 12喇叭,● 12喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,● 64色,-,● 64色,● 64色,● 64色,● 64色,-,-,● 64色,● 64色,● 单色,● 单色,● 64色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,●,●,●,●,●,●,●,-,-,-,-,-,●,●,●,●,●,●,●
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
