セクション,セクション_ja,項目,項目_ja,2026年モデル 565 ライトエディション,2026年モデル 565 プレミアムエディション,2026年モデル 565 スターエディション,2026年モデル 565 コラボレーションエディション,2026年モデル 565 スタークリエイトエディション,2026年モデル 650 超急速充電 ラグジュアリーエディション,2026年モデル 650 超急速充電 プレミアムエディション,2025年モデル 235 増程 プレミアムエディション,2025年モデル 235 増程 ラグジュアリーエディション,2025年モデル 235 増程 エグゼクティブエディション,2025年モデル 235 増程 プレミアムグレード,2025年モデル 235 増程 プレミアムプレステージエディション,2025年モデル 555 スタークリエイトエディション,2025年モデル 565 スタークリエイトエディション,2024年モデル 555 エグゼクティブエディション,2024年モデル 650 エグゼクティブエディション,2024年モデル 555 プレミアムエディション,2024年モデル 555 ラグジュアリーエディション,2024年モデル 650 プレミアムエディション
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前 ○ /後,前 ● /後,前 ○ /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,-,-,前 ● /後 ●,前 ● /後 ●,-,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,-,-,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧表示,● タイヤ空気圧警報,● タイヤ空気圧表示,● タイヤ空気圧警報,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定用インターフェース,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,○,●,○,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),○,●,○,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,●,-,-,-,-,-,-,-,●,●,-,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,-,-,-,-,-,●,-,-,-,-,-,-,-,●,●,-,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,○,●,○,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,-,-,-,-,-,●,-,-,-,-,-,-,-,●,●,-,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,●,-,●,-,●,●,-,-,-,-,○,-,-,●,●,-,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,○ サスペンション硬さ調整,○ サスペンション硬さ調整,● サスペンション硬さ調整,○ サスペンション硬さ調整,○ サスペンション硬さ調整,○ サスペンション硬さ調整,○ サスペンション硬さ調整,○ サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整,○ サスペンション硬さ調整,○ サスペンション硬さ調整,-,● サスペンション硬さ調整,-,-,● サスペンション硬さ調整
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,前-/後 ●,-,前-/後 ●,前-/後 ●,前-/後 ●,前 ● /後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前 ● /後 ●,前 ● /後 ●,前-/後 ●,前 ● /後 ●,前 ● /後 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ,● 360度全方位カメラ,● バックカメラ,● 360度全方位カメラ,● バックカメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● バックカメラ,● バックカメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,○ 単眼カメラ,● 単眼カメラ,○ 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,"● 1個
○ 2個",● 5個,"● 1個
○ 2個",● 5個,● 2個,● 5個,● 5個,● 4個,● 5個,● 5個,● 5個,● 5個,● 2個,● 2個,● 6個,● 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,○ 170万画素,● 170万画素,○ 170万画素,● 170万画素,● 170万画素,● 170万画素,● 170万画素,-,● 100万画素,● 100万画素,● 100万画素,● 100万画素,● 100万画素,● 100万画素,● 100万画素,● 100万画素,● 100万画素,● 100万画素,● 100万画素
驾驶硬件,運転ハードウェア,环境感知摄像头像素,環境検知カメラ画素数,-,-,-,-,-,-,-,● 100万画素,● 100万画素,● 100万画素,● 100万画素,● 100万画素,-,-,● 100万画素,● 100万画素,● 100万画素,● 100万画素,● 100万画素
驾驶硬件,運転ハードウェア,环视摄像头像素,360度カメラ画素数,● 30万画素,● 100万画素,● 30万画素,● 100万画素,● 30万画素,● 100万画素,● 100万画素,● 100万画素,● 100万画素,● 100万画素,● 100万画素,● 100万画素,-,-,● 100万画素,● 100万画素,● 100万画素,● 100万画素,● 100万画素
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,-,-,-,-,-,-,● 1個,-,-,-,-,-,-,-,● 1個,● 1個,-,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,-,● 4個,-,● 4個,● 4個,● 4個,● 8個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 8個,● 8個,● 4個,● 8個,● 8個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,-,-,-,-,-,-,● 2個,-,-,-,-,-,-,-,● 2個,● 2個,-,● 2個,● 2個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,○ 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,○ 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,○ 星海Pilot,● 星海Pilot,○ 星海Pilot,● 星海Pilot,● 星海Pilot,● 星海Pilot,● 星海Pilot,-,● 星海Pilot,● 星海Pilot,● 星海Pilot,● 星海Pilot,● 星海Pilot,● 星海Pilot,● 星海Pilot,● 星海Pilot,● 星海Pilot,● 星海Pilot,● 星海Pilot
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,○ L2,● L2,○ L2,● L2,● L2,● L2,● L2,-,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,-,-,-,-,-,●,●,●,●,-,-,●,●,-,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,-,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,-,● 高徳（Gaode）,-,● 高徳（Gaode）,-,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,-,-,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,●,-,-,-,-,-,-,-,●,●,-,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,○,●,○,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,○,●,○,●,●,●,●,-,●,●,●,●,-,-,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,○,●,○,●,●,●,●,-,●,●,●,●,-,-,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
驾驶功能,運転機能,循迹倒车,トレースバック機能（バック時）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 高速道路区間,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,○,-,○,-,○,●,●,-,●,●,●,●,-,○,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,-,-,-,-,-,-,-,○,●,○,-,-,-,●,-,-,-
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,○,-,○,-,-,●,●,-,●,●,●,●,-,-,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● メカニカルキー
● リモコンキー","● メカニカルキー
● リモコンキー","● メカニカルキー
● リモコンキー","● メカニカルキー
● リモコンキー","● メカニカルキー
● リモコンキー","● メカニカルキー
● リモコンキー
● Bluetoothキー","● メカニカルキー
● リモコンキー
● Bluetoothキー","● メカニカルキー
● リモコンキー","● メカニカルキー
● リモコンキー
● Bluetoothキー","● メカニカルキー
● リモコンキー
● Bluetoothキー","● メカニカルキー
● リモコンキー
● Bluetoothキー","● メカニカルキー
● リモコンキー
● Bluetoothキー","● メカニカルキー
● リモコンキー","● メカニカルキー
● リモコンキー","● メカニカルキー
● リモコンキー
● Bluetoothキー","● メカニカルキー
● リモコンキー
● Bluetoothキー","● メカニカルキー
● リモコンキー
● Bluetoothキー","● メカニカルキー
● リモコンキー
● Bluetoothキー","● メカニカルキー
● リモコンキー
● Bluetoothキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キー不要エントリー機能,-,●,-,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,○,●,○,●,●,●,●,-,●,●,●,●,-,-,●,●,●,●,●
车外灯光,外部照明,自动头灯,自動ヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,场景灯语,シーンライト機能,-,-,-,-,-,-,-,●,●,●,●,●,-,-,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウ昇降機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,后排侧窗遮阳帘,後席側窓サンシェード,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,-,-,-,-,-,-,●,-,●,●,●,●,-,-,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,雨感センサー式ワイパー機能,-,-,-,-,-,-,● 雨量感知式,-,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,-,-,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,"● 電動調整
● ドアミラー加熱",● 電動調整,"● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納"
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,"● 14.6インチ
○ 15.6インチ",● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● CarPlay対応,● CarPlay対応,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,-,"● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ",-,"● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ",-,"● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション",-,-,"● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション"
互联/智能化,コネクティビティ/スマート機能,语音助手唤醒词,音声アシスタント起動ワード,-,● こんにちは、風行,-,● こんにちは、風行,-,● こんにちは、風行,● こんにちは、風行,"● 風行、風行
● こんにちは、風行","● 風行、風行
● こんにちは、風行","● 風行、風行
● こんにちは、風行","● 風行、風行
● こんにちは、風行","● 風行、風行
● こんにちは、風行",-,-,"● 風行、風行
● こんにちは、風行","● 風行、風行
● こんにちは、風行","● 風行、風行
● こんにちは、風行","● 風行、風行
● こんにちは、風行","● 風行、風行
● こんにちは、風行"
互联/智能化,コネクティビティ/スマート機能,语音免唤醒词,音声起動ワード不要機能,-,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別起動認識,-,● デュアルゾーン,-,● デュアルゾーン,-,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,-,-,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
互联/智能化,コネクティビティ/スマート機能,语音连续识别,音声連続認識機能,-,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,可见即可说,見てすぐ話せる機能,-,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,面部识别,顔認証機能,-,-,-,-,-,-,●,-,-,-,-,-,-,-,●,●,-,●,●
