セクション,項目,宝马5系新能源 2022款 535Le 豪华套装,宝马5系新能源 2022款 535Le M运动套装,宝马5系新能源 2022款 改款 535Le 豪华套装,宝马5系新能源 2022款 改款 535Le M运动套装,宝马5系新能源 2022款 改款二 535Le 豪华套装,宝马5系新能源 2022款 改款二 535Le M运动套装,宝马5系新能源 2022款 535Le 先锋版M运动套装,宝马5系新能源 2022款 改款 535Le 先锋版M运动套装,宝马5系新能源 2022款 改款二 535Le 先锋版M运动套装,宝马5系新能源 2022款 改款三 535Le 先锋版M运动套装
车内充电,手机无线充电功能,-,-,● 前排,● 前排,● 前排,● 前排,-,● 前排,"● 前排
● 后排","● 前排
● 后排"
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
○ 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
○ 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 肩部调节
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 肩部调节
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 肩部调节
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 肩部调节
● 腿托调节
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
○ 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
○ 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 肩部调节
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 肩部调节
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 肩部调节
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 肩部调节
● 腿托调节
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热,"● 加热
● 通风","● 加热
● 通风","● 加热
● 通风","● 加热
● 通风"
座椅配置,电动座椅记忆功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位"
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,●,●,●,●
座椅配置,第二排座椅调节,-,-,-,-,-,-,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,第二排座椅电动调节,-,-,-,-,-,-,●,●,●,●
座椅配置,第二排座椅功能,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热
座椅配置,后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,○ Harman/Kardon哈曼卡顿,○ Harman/Kardon哈曼卡顿,○ Harman/Kardon哈曼卡顿,○ Harman/Kardon哈曼卡顿,○ Harman/Kardon哈曼卡顿,○ Harman/Kardon哈曼卡顿,"● Harman/Kardon哈曼卡顿
○ Bowers & Wilkins宝华韦健 (3.60万元)","● Harman/Kardon哈曼卡顿
○ Bowers & Wilkins宝华韦健 (3.60万元)","● Harman/Kardon哈曼卡顿
○ Bowers & Wilkins宝华韦健 (3.60万元)","● Harman/Kardon哈曼卡顿
○ Bowers & Wilkins宝华韦健 (3.60万元)"
音响/车内灯光,扬声器数量,"● 12喇叭
○ 16喇叭","● 12喇叭
○ 16喇叭","● 12喇叭
○ 16喇叭","● 12喇叭
○ 16喇叭","● 12喇叭
○ 16喇叭","● 12喇叭
○ 16喇叭",● 16喇叭,● 16喇叭,● 16喇叭,● 16喇叭
音响/车内灯光,车内环境氛围灯,● 11色,● 11色,● 11色,● 11色,● 11色,● 11色,● 11色,● 11色,● 11色,● 11色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,○,○,○,○,○,○,○,○,○,○
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●
空调/冰箱,负离子发生器,-,-,○,○,○,○,-,-,○,○
空调/冰箱,车内香氛装置,○ (2600元),○ (2600元),○ (2600元),○ (2600元),○ (2600元),○ (2600元),○ (2600元),○ (2600元),○ (2600元),○ (2600元)
特色配置,星空全景天窗,○,○,○,○,○,○,○,○,○,○
特色配置,循迹倒车功能,○,○,○,○,○,○,●,○,○,○
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–
选装包,冬季套装,○ 选配 (6000元),○ 选配 (6000元),○ 选配 (6000元),○ 选配 (6000元),○ 选配 (6000元),○ 选配 (6000元),○ 选配 (6000元),○ 选配 (6000元),○ 选配 (6000元),○ 选配 (6000元)
选装包,驾驶辅助套装,○ 选配 (11000元),○ 选配 (11000元),○ 选配 (11000元),○ 选配 (11000元),○ 选配 (11000元),○ 选配 (11000元),-,-,-,-
选装包,娱乐套装,-,-,-,-,○ 选配 (7000元),○ 选配 (7000元),-,-,-,-
选装包,舒适套装,-,-,-,-,○ 选配 (8500元),○ 选配 (8500元),-,-,-,-
选装包,娱乐套装,-,-,-,-,-,-,○ 选配 (8000元),○ 选配 (8000元),○ 选配 (8000元),○ 选配 (8000元)
选装包,驾驶辅助套装2,-,-,-,-,-,-,-,○ 选配 (2000元),○ 选配 (2000元),○ 选配 (2000元)
选装包,舒适套装,-,-,-,-,-,-,-,-,○ 选配 (7500元),○ 选配 (7500元)
