セクション,セクション_ja,項目,項目_ja,2026年モデル 1250 Max,2026年モデル 1250 Ultra,2026年モデル 1330 Ultra,2026年モデル 1330 Ultra+
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検／整備予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● 車両状態確認／診断
● 車両位置特定／車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検／整備予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● 車両状態確認／診断
● 車両位置特定／車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検／整備予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● 車両状態確認／診断
● 車両位置特定／車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検／整備予約"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー調,● レザー調,● レザー調,● レザー調
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ハンドル位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ハンドル,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電端子,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席3個,● 前席2個／後席3個,● 前席2個／後席3個,● 前席2個／後席3個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 66W,● 66W,● 66W,● 66W
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),●,●,●,●
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,● 50W,● 50W,● 50W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,"● 本革
● 合成皮革"
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● ランバーサポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● ランバーサポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● ランバーサポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,● ヒーター（運転席のみ）,"● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整
● レッグレスト調整","● 前後調整
● リクライニング調整
● レッグレスト調整","● 前後調整
● リクライニング調整
● レッグレスト調整"
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,● ヒーター,"● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ"
座椅配置,シート装備,后排小桌板,後部小テーブル,-,●,●,●
座椅配置,シート装備,零重力座椅,ゼログラビティシート,-,● 2列目シート,-,● 2列目シート
座椅配置,シート装備,第二排独立座椅,2列目独立シート,●,●,●,●
座椅配置,シート装備,第三排座椅调节,3列目シート調整,"● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整"
座椅配置,シート装備,第三排座椅电动调节,3列目電動シート調整,-,●,-,●
座椅配置,シート装備,第三排座椅功能,3列目シート機能,-,● ヒーター,-,● ヒーター
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-2-3配列,● 2-2-3配列,● 2-2-3配列,● 2-2-3配列
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 8スピーカー,● 20スピーカー,● 20スピーカー,● 22スピーカー
音响/车内灯光,オーディオ・室内照明,功放最大输出功率（W）,アンプ最大出力（W）,-,● 1280,● 1280,● 1280
音响/车内灯光,オーディオ・室内照明,扬声器布局,スピーカー配置,-,● 7.1.6,● 7.1.6,● 7.1.6
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 256色,● 256色,● 256色,● 256色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,●,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,-,●,●,●
特色配置,特徴装備,抗醛苯净味座舱,ホルムアルデヒド・ベンゼン除去機能付きキャビン,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–
