セクション,項目,哈弗H9 2026款 2.4T 柴油四驱拓境版,哈弗H9 2026款 2.4T 柴油四驱极境版,哈弗H9 2026款 2.0T 汽油四驱探境版,哈弗H9 2026款 2.0T 汽油四驱拓境版,哈弗H9 2026款 2.0T 汽油四驱极境版,哈弗H9 2025款 2.4T 柴油四驱穿越版,哈弗H9 2025款 2.0T 汽油四驱勇士版,哈弗H9 2025款 2.4T 柴油四驱勇士版,哈弗H9 2024款 2.0T 汽油四驱探境版,哈弗H9 2024款 2.0T 汽油四驱拓境版,哈弗H9 2024款 2.0T 汽油四驱极境版,哈弗H9 2024款 2.4T 柴油四驱拓境版,哈弗H9 2024款 2.4T 柴油四驱极境版
互联/智能化,手机互联/映射,"● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink"
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩"
互联/智能化,语音助手唤醒词,● 你好，哈弗,● 你好，哈弗,● 你好，哈弗,● 你好，哈弗,● 你好，哈弗,● 你好，哈弗,● 你好，哈弗,● 你好，哈弗,● 你好，哈弗,● 你好，哈弗,● 你好，哈弗,● 你好，哈弗,● 你好，哈弗
互联/智能化,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,-,-,-,-,-,-,-,-
互联/智能化,语音连续识别,●,●,●,●,●,-,-,-,-,-,-,-,-
互联/智能化,声纹识别,●,●,●,●,●,-,-,-,-,-,-,-,-
互联/智能化,应用商店,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,车载智能系统,● Coffee OS,● Coffee OS,● Coffee OS,● Coffee OS,● Coffee OS,-,-,-,-,-,-,-,-
互联/智能化,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车辆定位/寻车"
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,●,●,-,●,●,●,●,●,-,●,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,●,●,●,●,●,●,●,●,○ (500元),○ (500元),○ (500元),○ (500元),○ (500元)
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排3个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排3个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,220V/230V电源,-,●,-,-,●,●,●,●,○ (500元),○ (500元),●,○ (500元),●
车内充电,手机无线充电功能,● 前排,● 前排,-,● 前排,● 前排,● 前排,● 前排,● 前排,-,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,● 50W,● 50W,-,● 50W,● 50W,● 50W,● 50W,● 50W,-,● 50W,● 50W,● 50W,● 50W
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,"● 加热
● 通风","● 加热
● 通风
● 按摩",-,"● 加热
● 通风","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩",-,"● 加热
● 通风","● 加热
● 通风
● 按摩","● 加热
● 通风","● 加热
● 通风
● 按摩"
座椅配置,电动座椅记忆功能,-,● 驾驶位,-,-,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,-,-,● 驾驶位,-,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,●,●,●,-,-,●,-,●
座椅配置,第二排座椅调节,"○ 前后调节
● 靠背调节","○ 前后调节
● 靠背调节",● 靠背调节,"○ 前后调节
● 靠背调节","○ 前后调节
● 靠背调节","○ 前后调节
● 靠背调节","○ 前后调节
● 靠背调节","○ 前后调节
● 靠背调节",● 靠背调节,"○ 前后调节
● 靠背调节","○ 前后调节
● 靠背调节","○ 前后调节
● 靠背调节","○ 前后调节
● 靠背调节"
座椅配置,第二排座椅功能,-,"● 加热
● 通风",-,-,"● 加热
● 通风","● 加热
● 通风","● 加热
● 通风","● 加热
● 通风",-,-,"● 加热
● 通风",-,"● 加热
● 通风"
座椅配置,座椅布局,○ 2-3-2,○ 2-3-2,-,○ 2-3-2,○ 2-3-2,○ 2-3-2,○ 2-3-2,○ 2-3-2,-,○ 2-3-2,○ 2-3-2,○ 2-3-2,○ 2-3-2
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 8喇叭,● 10喇叭,● 8喇叭,● 8喇叭,● 10喇叭,● 10喇叭,● 10喇叭,● 10喇叭,● 8喇叭,● 8喇叭,● 10喇叭,● 8喇叭,● 10喇叭
音响/车内灯光,车内环境氛围灯,-,● 多色,-,-,● 多色,-,● 单色,● 单色,-,● 单色,● 单色,● 单色,● 单色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,○,○,-,○,○,○,○,○,-,○,○,○,○
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–,–,–
选装包,硅油风扇,○ 选配 (暂无价格),○ 选配 (暂无价格),-,-,-,-,-,-,-,-,-,-,-
选装包,18英寸全地形轮胎,○ 选配 (3000元),○ 选配 (3000元),○ 选配 (3000元),○ 选配 (3000元),○ 选配 (3000元),-,-,-,○ 选配 (3000元),○ 选配 (3000元),○ 选配 (3000元),○ 选配 (3000元),○ 选配 (3000元)
选装包,硅油风扇,○ 选配 (5000元),○ 选配 (5000元),-,-,-,-,-,-,-,-,-,○ 选配 (5000元),○ 选配 (5000元)
选装包,融合泊车辅助系统+360环视行车记录仪,-,○ 选配 (3000元),-,-,○ 选配 (3000元),-,-,-,-,-,○ 选配 (3000元),-,○ 选配 (3000元)
选装包,硅油风扇,-,-,-,-,-,○ 选配 (免费),-,○ 选配 (免费),-,-,-,-,-
选装包,畅游包A,-,-,-,-,-,-,-,-,○ 选配 (8000元),○ 选配 (8000元),-,○ 选配 (8000元),-
选装包,畅游包B,-,-,-,-,-,-,-,-,○ 选配 (14000元),○ 选配 (14000元),-,○ 选配 (14000元),-
选装包,拖车预留取电口+后牵引装置,-,-,-,-,-,-,-,-,-,-,○ 选配 (2000元),-,-
选装包,畅游包C,-,-,-,-,-,-,-,-,-,-,○ 选配 (8000元),-,○ 选配 (8000元)
