セクション,項目,奥迪Q5L 2026款 45周年典藏版 40 TFSI 时尚动感型,奥迪Q5L 2026款 45周年典藏版 40 TFSI 豪华动感型,奥迪Q5L 2026款 智混豪华型,奥迪Q5L 2026款 千万用户专享版,奥迪Q5L 2026款 45周年典藏版 45 TFSI 豪华动感型,奥迪Q5L 2026款 智混尊享型,奥迪Q5L 2026款 智混旗舰型,奥迪Q5L 2025款 45周年典藏版 40 TFSI 时尚动感型,奥迪Q5L 2025款 45周年典藏版 40 TFSI 豪华动感型,奥迪Q5L 2025款 45周年典藏版 45 TFSI 豪华动感型,奥迪Q5L 2025款 45周年典藏版 45 TFSI 臻选动感型
屏幕/系统,语音识别控制系统,"● 多媒体系统
○ 导航
● 电话","● 多媒体系统
● 导航
● 电话","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
○ 座椅加热
○ 座椅通风
○ 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
○ 导航
● 电话","● 多媒体系统
● 导航
● 电话","● 多媒体系统
● 导航
● 电话","● 多媒体系统
● 导航
● 电话"
屏幕/系统,语音助手唤醒词,-,-,● 你好，奥迪,● 你好，奥迪,-,● 你好，奥迪,● 你好，奥迪,-,-,-,-
屏幕/系统,语音免唤醒词,-,-,●,●,-,●,●,-,-,-,-
屏幕/系统,语音分区域唤醒识别,● 单区域,● 单区域,● 双区域,● 双区域,● 单区域,● 双区域,● 双区域,● 单区域,● 单区域,● 单区域,● 单区域
屏幕/系统,语音连续识别,-,-,●,●,-,●,●,-,-,-,-
屏幕/系统,可见即可说,-,-,●,●,-,●,●,-,-,-,-
屏幕/系统,应用商店,○,●,●,●,●,●,●,○,●,●,●
屏幕/系统,车载智能系统,● 奥迪Connect,● 奥迪Connect,-,-,● 奥迪Connect,-,-,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect
屏幕/系统,触屏振动反馈,●,●,-,-,●,-,-,●,●,●,●
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,"● 4G
○ 5G","● 4G
○ 5G",● 5G,● 5G,"● 4G
○ 5G",● 5G,● 5G,"● 4G
○ 5G","● 4G
○ 5G","● 4G
○ 5G","● 4G
○ 5G"
智能化配置,OTA升级,-,-,●,●,-,●,●,-,-,-,-
智能化配置,Wi-Fi热点,○,●,●,●,●,●,●,○,●,●,●
智能化配置,V2X通讯,●,●,-,-,●,-,-,○ (2400元),○ (2400元),○ (2400元),○ (2400元)
智能化配置,车内生物监测系统,-,-,●,●,-,●,●,-,-,-,-
智能化配置,手机APP远程功能,●,●,●,●,●,●,●,"● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断"
智能化配置,主动降噪,-,-,○,○,-,●,●,-,-,-,-
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,"● 手动上下调节
○ 电动上下+前后调节 (3000元)","● 手动上下调节
○ 电动上下+前后调节 (3000元)",● 手动上下+前后调节,"● 手动上下调节
○ 电动上下+前后调节 (3000元)",● 电动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),-
方向盘/内后视镜,方向盘记忆,-,-,○,○,-,○,●,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 11.9英寸,● 11.9英寸,● 12.3英寸,● 11.9英寸,● 11.9英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,-,○ (1.79万元),○ (10000元),○ (10000元),○ (1.79万元),○ (10000元),●,-,○ (1.79万元),○ (1.79万元),○ (1.79万元)
方向盘/内后视镜,HUD抬头尺寸,-,-,○ 13.1英寸,○ 13.1英寸,-,○ 13.1英寸,● 13.1英寸,-,-,-,-
方向盘/内后视镜,内后视镜功能,"● 手动防眩目
○ 自动防眩目 (1500元)",● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,"● 手动防眩目
○ 自动防眩目 (1500元)",● 自动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,○ (500元),○ (500元),○ (1000元),○ (1000元),○ (500元),○ (1000元),○ (1000元),○ (500元),○ (500元),○ (500元),○ (500元)
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C",● Type-C,● Type-C,"● USB
● Type-C",● Type-C,● Type-C,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,-,● 前排,● 前排,-,● 前排,● 前排,-,-,-,-
车内充电,手机无线充电功率,-,-,● 40W,● 40W,-,● 40W,● 40W,-,-,-,-
车内充电,行李厢12V电源接口,●,●,-,-,●,-,-,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 真皮,● 仿皮,● 仿皮,● 仿皮,● 真皮
座椅配置,运动风格座椅,●,●,●,●,●,●,●,●,●,●,●
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
座椅配置,前排座椅功能,○ 加热 (2300元),● 加热,"○ 加热 (2500元)
○ 通风 (5000元)
○ 按摩 (5000元)
○ 头枕扬声器 (3500元)","● 加热
● 通风
● 按摩
○ 头枕扬声器 (3500元)",● 加热,"● 加热
● 通风
● 按摩
○ 头枕扬声器 (3500元)","● 加热
● 通风
● 按摩
● 头枕扬声器",○ 加热 (2300元),● 加热,● 加热,● 加热
座椅配置,电动座椅记忆功能,○ 驾驶位 (2500元),● 驾驶位,○ 驾驶位 (3500元),○ 驾驶位 (3500元),● 驾驶位,● 驾驶位,● 驾驶位,○ 驾驶位 (2500元),○ 驾驶位 (2500元),● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节",-,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节",-,-,-,-
座椅配置,第二排座椅功能,○ 加热 (3200元),○ 加热 (3200元),○ 加热 (3000元),○ 加热 (3000元),● 加热,○ 加热 (3000元),○ 加热 (3000元),○ 加热 (3200元),○ 加热 (3200元),○ 加热 (3200元),○ 加热 (3200元)
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●
座椅配置,加热/制冷杯架,○ 加热 (1600元),○ 加热 (1600元),-,-,○ 加热 (1600元),-,-,○ 加热 (1600元),○ 加热 (1600元),○ 加热 (1600元),○ 加热 (1600元)
音响/车内灯光,扬声器品牌名称,○ Bang & Olufsen (7200元),○ Bang & Olufsen (7200元),○ Bang & Olufsen (7200元),○ Bang & Olufsen (7200元),● Bang & Olufsen,● Bang & Olufsen,● Bang & Olufsen,○ Bang & Olufsen (7200元),○ Bang & Olufsen (7200元),● Bang & Olufsen,● Bang & Olufsen
音响/车内灯光,扬声器数量,"● 10喇叭
○ 19喇叭","● 10喇叭
○ 19喇叭","○ 16喇叭
● 待查","○ 16喇叭
● 待查",● 19喇叭,● 16喇叭,● 16喇叭,"● 10喇叭
○ 19喇叭","● 10喇叭
○ 19喇叭",● 19喇叭,● 19喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色
音响/车内灯光,主动式环境氛围灯,-,-,●,●,-,●,●,-,-,-,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,○,○,-,○,○,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,负离子发生器,-,-,○ (500元),○ (500元),-,○ (500元),○ (500元),-,-,-,-
空调/冰箱,空气质量监测,-,-,○,○,-,○,○,-,-,-,-
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–
选装包,奥迪高级驾驶辅助系统,-,-,○ 选配 (暂无价格),-,-,○ 选配 (暂无价格),○ 选配 (暂无价格),-,-,-,-
选装包,黑光包,-,-,○ 选配 (2500元),-,-,-,-,-,-,-,-
选装包,上市权益包,-,-,-,-,-,○ 选配 (3000元),-,-,-,-,-
