セクション,セクション_ja,項目,項目_ja,2025年モデル 増程 Ultra 後輪駆動版,2025年モデル 増程 Ultra 4WD版,2025年モデル 純電 Ultra 後輪駆動版,Unnamed 5
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（4方向）",–
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,–
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）",–
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,● 運転席,–
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,–
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,–
座椅配置,シート装備,第二排座椅功能,2列目シート機能,● ヒーター,● ヒーター,● ヒーター,–
座椅配置,シート装備,后排座椅放倒形式,後部座席の倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,–
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,–
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,–
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,–
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 19スピーカー,● 19スピーカー,● 19スピーカー,–
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,–
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 多色,● 多色,● 多色,–
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,–
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,–
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,-,-,●,–
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,–
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席用エアアウトレット,●,●,●,–
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,–
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,–
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,–
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,●,●,●,–
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,–
颜色,カラー,外观颜色,外装色,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–
选装包,オプションパッケージ,电动遮阳帘,電動サンシェード,○ オプション（6000元）,○ オプション（6000元）,○ オプション（6000元）,–
