セクション,項目,问界M8 2025款 增程 Max版 37kWh 5座版 (192线激光雷达）,问界M8 2025款 增程 Max版 37kWh 6座版 (192线激光雷达）,问界M8 2025款 增程 Max版 53.4kWh 5座版 (896线激光雷达）,问界M8 2025款 增程 Max+版 53.4kWh 5座版 (192线激光雷达）,问界M8 2025款 增程 Max版 53.4kWh 6座版 (896线激光雷达）,问界M8 2025款 增程 Max+版 53.4kWh 5座版 (896线激光雷达）,问界M8 2025款 增程 Max+版 53.4kWh 6座版 (192线激光雷达）,问界M8 2025款 增程 Max+版 53.4kWh 6座版 (896线激光雷达）,问界M8 2025款 增程 Ultra版 53.4kWh 5座版 (192线激光雷达）,问界M8 2025款 增程 Ultra版 53.4kWh 5座版 (896线激光雷达）,问界M8 2025款 增程 Ultra版 53.4kWh 6座版 (192线激光雷达）,问界M8 2025款 增程 Ultra版 53.4kWh 6座版 (896线激光雷达）,问界M8 2025款 纯电 Max+ 五座长续航版 (192线激光雷达）,问界M8 2025款 纯电 Max+ 五座长续航版 (896线激光雷达）,问界M8 2025款 纯电 Max+ 六座长续航版 (192线激光雷达）,问界M8 2025款 纯电 Max+ 六座长续航版 (896线激光雷达）,问界M8 2025款 纯电 Max+ 五座四驱版 (192线激光雷达）,问界M8 2025款 纯电 Max+ 五座四驱版 (896线激光雷达）,问界M8 2025款 纯电 Max+ 六座四驱版 (192线激光雷达）,问界M8 2025款 纯电 Max+ 六座四驱版 (896线激光雷达）,问界M8 2025款 纯电 Ultra 五座四驱版 (192线激光雷达）,问界M8 2025款 纯电 Ultra 五座四驱版 (896线激光雷达）,问界M8 2025款 纯电 Ultra 六座四驱版 (192线激光雷达）,问界M8 2025款 纯电 Ultra 六座四驱版 (896线激光雷达）,问界M8 2026款 增程 基本型 5座,问界M8 2026款 增程 基本型 6座
底盘转向,驱动方式,● 双电机四驱,● 双电机四驱,● 后置后驱,● 双电机四驱,● 后置后驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱
底盘转向,四驱形式,● 电动四驱,● 电动四驱,-,● 电动四驱,-,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,-,-,-,-,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,-,-
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,-,-
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,-,-
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,-,-
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,-,-
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)",● 255/50 R20,● 255/50 R20
车轮制动,后轮胎规格,"● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21",● 275/50 R20,● 275/50 R20
车轮制动,备胎规格,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,-,-
被动安全,前/后排侧气囊,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-
被动安全,前排中间气囊,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,-,-
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,-,-
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,DOW开门预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,后方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化",-,-
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶操控,可变悬架功能,"● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节",-,-
驾驶操控,空气悬架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶操控,空气悬挂类型,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,-,-
驾驶操控,魔毯智能悬架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,-,-
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,-,-
驾驶硬件,摄像头数量,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,-,-
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,-,-
驾驶硬件,环视摄像头像素,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,-,-
驾驶硬件,车内摄像头数量,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,-,-
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,-,-
驾驶硬件,毫米波雷达数量,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,-,-
驾驶硬件,激光雷达品牌,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,-,-
驾驶硬件,激光雷达数量,● 2个,● 2个,● 4个,● 2个,● 4个,● 4个,● 2个,● 4个,● 2个,● 4个,● 2个,● 4个,● 2个,● 4个,● 2个,● 4个,● 2个,● 4个,● 2个,● 4个,● 2个,● 4个,● 2个,● 4个,-,-
驾驶硬件,激光雷达线数,● 192线,● 192线,● 896线,● 192线,● 896线,● 896线,● 192线,● 896线,● 192线,● 896线,● 192线,● 896线,● 192线,● 896线,● 192线,● 896线,● 192线,● 896线,● 192线,● 896线,● 192线,● 896线,● 192线,● 896线,-,-
驾驶硬件,激光雷达点云数量,● 184万/秒,● 184万/秒,-,● 184万/秒,-,-,● 184万/秒,-,● 184万/秒,-,● 184万/秒,-,● 184万/秒,-,● 184万/秒,-,● 184万/秒,-,● 184万/秒,-,● 184万/秒,-,● 184万/秒,-,-,-
驾驶硬件,前方最大探测距离,● 250米,● 250米,-,● 250米,-,-,● 250米,-,● 250米,-,● 250米,-,● 250米,-,● 250米,-,● 250米,-,● 250米,-,● 250米,-,● 250米,-,-,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,-,-
驾驶功能,辅助驾驶系统,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,-,-
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,-,-
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,地图品牌,● 高德,● 高德,● 华为Petal,● 高德,● 华为Petal,● 华为Petal,● 高德,● 华为Petal,● 高德,● 华为Petal,● 高德,● 华为Petal,● 高德,● 华为Petal,● 高德,● 华为Petal,● 高德,● 华为Petal,● 高德,● 华为Petal,● 高德,● 华为Petal,● 高德,● 华为Petal,-,-
驾驶功能,高精定位,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,并线辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,遥控泊车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,记忆泊车,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,-
驾驶功能,循迹倒车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,辅助变道,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,辅助匝道自动驶出(入),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,信号灯识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,远程召唤,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,-
驾驶功能,方向盘离手检测,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,辅助驾驶路段,"○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段",-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,-,-
外观/防盗,电动吸合车门,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,-,-
外观/防盗,自动开合车门,-,-,○ (2.00万元),○ (2.00万元),○ (2.00万元),○ (2.00万元),○ (2.00万元),○ (2.00万元),●,●,●,●,○ (2.00万元),○ (2.00万元),○ (2.00万元),○ (2.00万元),○ (2.00万元),○ (2.00万元),○ (2.00万元),○ (2.00万元),●,●,●,●,-,-
外观/防盗,电动前备厢,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,感应后备厢,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
