セクション,項目,菱智 2025款 M5 1.6L 标准型 65L 5座CNG,菱智 2025款 M5 1.6L 标准型 110L 5座CNG,菱智 2025款 M5 1.6L 标准型 110L 7座CNG,菱智 2025款 M5 1.6L 基本型 110L 7座CNG,菱智 2025款 M5 1.6L 舒适型 110L 7座CNG,菱智 2025款 M5 1.6L 营运型 110L 7座CNG,菱智 2025款 M5 1.6L 营运型 110L 8座CNG,菱智 2025款 M5 1.6L 短轴实用型 5座,菱智 2025款 M5 1.6L 短轴实用型 7座,菱智 2025款 M5 1.6L 长轴基本型 5座,菱智 2025款 M5 1.6L 长轴基本型 7座,菱智 2025款 M5 1.6L 长轴舒适型 7座,菱智 2025款 M5 1.6L 长轴舒适型 9座,菱智 2025款 M5 1.6L 长轴豪华型 7座,菱智 2025款 M5 1.6L 长轴营运版 7座,菱智 2025款 M5 1.6L 长轴营运版 9座,菱智 2025款 V3 1.6L 长轴基本型 2座,菱智 2025款 M5 1.5T 长轴基本型 7座,菱智 2025款 M5 1.5T 长轴舒适型 7座,菱智 2025款 M5 1.5T 长轴舒适型 9座,菱智 2025款 M5 1.5T 长轴豪华型 7座,菱智 2024款 M5L 1.5T 手动基本型 7座,菱智 2024款 M5L 1.5T 手动舒适型 7座,菱智 2024款 M5L 1.5T 手动舒适型 9座,菱智 2024款 M5L 1.5T 手动豪华型 7座,菱智 2024款 M5 1.6L 标准型5座CNG,菱智 2024款 M5 1.6L 标准型7座CNG
驾驶功能,并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 铝合金,● 钢,● 钢,● 钢,● 铝合金,● 钢,● 钢
外观/防盗,侧滑门形式,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,近光灯光源,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素
车外灯光,远光灯光源,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素
车外灯光,LED日间行车灯,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,●,-,-,-,●,-,-
车外灯光,自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,●,-,-,-,●,-,-
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,前/后电动车窗,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后 ●,前 ● /后 ●,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
天窗/玻璃,车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,-,-,● 驾驶位,● 驾驶位,● 驾驶位,-,● 驾驶位,● 驾驶位,● 驾驶位,-,-
天窗/玻璃,车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,●,●,●,-,●,●,●,-,-
天窗/玻璃,车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,● 副驾驶,● 副驾驶,● 副驾驶,● 副驾驶,● 副驾驶,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,-,-,-,-,-,-,-,-,-,-,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热",-,-,-,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热",-,-,-,● 电动调节,-,-
互联/智能化,中控彩色屏幕,-,-,-,-,● 触控液晶屏,-,-,-,-,-,○ 触控液晶屏,○ 触控液晶屏,○ 触控液晶屏,○ 触控液晶屏,-,-,-,○ 触控液晶屏,○ 触控液晶屏,○ 触控液晶屏,○ 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,-
互联/智能化,中控屏幕尺寸,-,-,-,-,● 8英寸,-,-,-,-,-,○ 10英寸,○ 10英寸,○ 10英寸,○ 10英寸,-,-,-,○ 10英寸,○ 10英寸,○ 10英寸,○ 10英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,-,-
互联/智能化,蓝牙/车载电话,-,-,-,-,●,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,●,●,●,●,-,-
互联/智能化,手机互联/映射,-,-,-,-,-,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,-,-,-,-,-
互联/智能化,语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,OTA升级,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料
方向盘/内后视镜,方向盘位置调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,-,-,-,●,-,-,-,-,-,-
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,内后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内充电,多媒体/充电接口,-,-,-,-,-,● USB,● USB,-,-,● USB,● USB,● USB,● USB,● USB,● USB,● USB,-,● USB,● USB,● USB,● USB,-,-,-,-,-,-
车内充电,USB/Type-C接口数量,-,-,-,-,-,-,-,-,-,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,-,● 前排1个,● 前排1个,● 前排1个,● 前排1个,-,-,-,-,-,-
车内充电,手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内充电,行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●,-,-
座椅配置,座椅材质,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 织物,● 织物,● 织物,● 仿皮,● 仿皮,● 仿皮,● 织物,● 织物,● 织物,● 仿皮,● 织物,● 织物
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,副座椅调节方式,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节",● 靠背调节,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节",● 靠背调节,● 靠背调节,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节",● 靠背调节,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节",● 靠背调节,● 靠背调节
座椅配置,主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,● 靠背调节,-,-,-,● 靠背调节,-,● 靠背调节,"● 前后调节
● 靠背调节",● 靠背调节,"● 前后调节
● 靠背调节
● 旋转调节",● 靠背调节,● 靠背调节,-,● 靠背调节,"● 前后调节
● 靠背调节",● 靠背调节,"● 前后调节
● 靠背调节
● 旋转调节",● 靠背调节,"● 前后调节
● 靠背调节",● 靠背调节,"● 前后调节
● 靠背调节
● 旋转调节",-,-
座椅配置,第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-,-,-,●,-,●,-,●,-,●,-,-
座椅配置,座椅布局,-,-,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-3-3,-,● 2-2-3,-,● 2-2-3,● 2-2-3,● 2-2-2-3,● 2-2-3,● 2-2-3,● 2-2-2-3,-,● 2-2-3,● 2-2-3,● 2-2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-2-3,● 2-2-3,-,● 2-2-3
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,-,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 比例放倒,● 比例放倒,● 整体放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,前 ● /后-,-,-
座椅配置,后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 4喇叭,● 4喇叭,● 6喇叭,● 4喇叭,● 4喇叭,● 2喇叭,● 2喇叭,● 4喇叭,● 4喇叭,● 6喇叭,● 2喇叭,● 4喇叭,● 4喇叭,● 6喇叭,● 2喇叭,● 2喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调
空调/冰箱,后排独立空调,-,-,-,-,●,●,●,-,-,-,-,●,●,●,●,●,-,-,●,●,●,-,●,●,●,-,-
空调/冰箱,后座出风口,-,-,-,-,●,●,●,-,-,-,-,●,●,●,●,●,-,-,●,●,●,-,●,●,●,-,-
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
颜色,外观颜色,-,–,–,-,-,-,-,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,-,–,–,-,-,-,-,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
