セクション,セクション_ja,項目,項目_ja,2025年モデル 増程 Pro,2025年モデル 増程 Max,2025年モデル 純電 Pro,2025年モデル 純電 Max,2025年モデル 純電 Pro ロングレンジ,2025年モデル 純電 Max ロングレンジ
互联/智能化,互联/智能化,手机互联/映射,スマホ連携/ミラーリング,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応
互联/智能化,互联/智能化,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション"
互联/智能化,互联/智能化,语音助手唤醒词,音声アシスタント起動ワード,● シャオイー（音声アシスタント名）,● シャオイー（音声アシスタント名）,● シャオイー（音声アシスタント名）,● シャオイー（音声アシスタント名）,● シャオイー（音声アシスタント名）,● シャオイー（音声アシスタント名）
互联/智能化,互联/智能化,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●,●
互联/智能化,互联/智能化,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン
互联/智能化,互联/智能化,语音连续识别,連続音声認識,●,●,●,●,●,●
互联/智能化,互联/智能化,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●
互联/智能化,互联/智能化,面部识别,顔認証,●,●,●,●,●,●
互联/智能化,互联/智能化,应用商店,アプリストア,●,●,●,●,●,●
互联/智能化,互联/智能化,车载智能系统,車載インテリジェントシステム,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS
互联/智能化,互联/智能化,车联网,コネクテッドカー,●,●,●,●,●,●
互联/智能化,互联/智能化,4G/5G网络,4G／5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,互联/智能化,OTA升级,OTAアップデート,●,●,●,●,●,●
互联/智能化,互联/智能化,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●
互联/智能化,互联/智能化,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス/修理予約"
互联/智能化,互联/智能化,车载KTV,車載カラオケ,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○,○,○,○,○,○
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● SDカード
● Type-C","● USB
● SDカード
● Type-C","● USB
● SDカード
● Type-C","● USB
● SDカード
● Type-C","● USB
● SDカード
● Type-C","● USB
● SDカード
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB／Type-C最大充電出力,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジ12V電源ソケット,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● ヒーター
● ベンチレーション","● ヒーター
● ベンチレーション","● ヒーター
● ベンチレーション","● ヒーター
● ベンチレーション","● ヒーター
● ベンチレーション","● ヒーター
● ベンチレーション"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 12スピーカー,● 12スピーカー,● 12スピーカー,● 12スピーカー,● 12スピーカー,● 12スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,室内アンビエントライト,● 256色,● 256色,● 256色,● 256色,● 256色,● 256色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,-,-,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–
