セクション,セクション_ja,項目,項目_ja,2025年モデル 117km 劲为版,2025年モデル 117km 劲为PLUS版,2025年モデル 125km 劲为 200万台記念版,2025年モデル 125km 劲为PLUS 200万台記念版,2024年モデル 115km 劲为版
座椅配置,シート装備,运动风格座椅,スポーツシート,-,-,-,-,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ 高さ調整（4方向）
○ レッグレスト調整
○ 腰部サポート（4方向）","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● シートヒーター
● ベンチレーション","● シートヒーター
● ベンチレーション","● シートヒーター
● ベンチレーション
● マッサージ機能（運転席のみ）","● シートヒーター
● ベンチレーション
○ マッサージ機能
● マッサージ機能（運転席のみ）","● シートヒーター
● ベンチレーション"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,● 運転席,-,"● 運転席
○ 助手席",-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 253色,● 253色,● 253色,● 253色,● 253色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,-,-,-
颜色,カラー,外观颜色,外装色,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–
选装包,オプションパッケージ,座椅包,シートパッケージ,-,-,-,○ オプション（3000元）,-
