セクション,セクション_ja,項目,項目_ja,2026年モデル 11804WD Air版,2026年モデル 11804WD Pro版,2026年モデル 12204WD Max版,2026年モデル 金晖典蔵版
互联/智能化,コネクティビティ／スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/整備予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/整備予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/整備予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/整備予約"
互联/智能化,コネクティビティ／スマート機能,主动降噪,アクティブノイズキャンセリング,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,车载KTV,車載カラオケ,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 合皮,● 合皮,● 合皮,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ハンドル位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ハンドル,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューター画面,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,-,-,●,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,-,-,● 19.8インチ,● 19.8インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,"● 自動防眩
● デジタルインナーミラー"
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席6個,● 前席2個／後席6個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 60W,● 60W,● 60W,● 60W
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),●,●,●,●
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,"● 前席
● 後席","● 前席
● 後席"
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ソケット,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,"● ヒーター
● ベンチレーション","● ヒーター
● ベンチレーション
● マッサージ
○ ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ
○ ヘッドレストスピーカー（運転席のみ）"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 腰部調整
● レッグレスト調整"
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,"● 加熱
● 通風
● マッサージ","● 加熱
● 通風
● マッサージ"
座椅配置,シート装備,后排小桌板,後部小テーブル,●,●,●,●
座椅配置,シート装備,第二排独立座椅,2列目独立シート,●,●,●,●
座椅配置,シート装備,第三排座椅调节,3列目シート調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整
座椅配置,シート装備,第三排座椅电动调节,3列目シート電動調整,●,●,●,●
座椅配置,シート装備,第三排座椅功能,3列目シート機能,-,-,-,"● ヒーター
● ベンチレーション"
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-2-3,● 2-2-3,"○ 2-2-2
● 2-2-3
○ 2-2-2-2","○ 2-2-2
● 2-2-3
○ 2-2-2-2"
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒
座椅配置,シート装備,后排座椅电动放倒,後席電動可倒,●,●,●,●
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前輪●／後輪●,前輪●／後輪●,前輪●／後輪●,前輪●／後輪●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 14スピーカー,● 14スピーカー,"● 14スピーカー
○ 27スピーカー（1.58万元）","● 14スピーカー
○ 27スピーカー（1.58万元）"
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,● 256色,● 256色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,-,-,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部エアアウトレット,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,-,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,-,-,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,-,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,-,-,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–
选装包,オプションパッケージ,旗舰级纳米陶瓷漆,フラッグシップナノセラミック塗装,-,○ オプション（5000元）,○ オプション（5000元）,○ オプション（5000元）
选装包,オプションパッケージ,独立6座,独立6人乗り,-,-,○ オプション（価格未定）,-
选装包,オプションパッケージ,20寸曜日多幅铝合金轮毂+马牌静音轮胎,20インチ曜多スポークアルミホイール＋コンチネンタル静音タイヤ,-,-,○ オプション（10000元）,-
选装包,オプションパッケージ,四排8座,4列8人乗り,-,-,○ オプション（10000元）,○ オプション（10000元）
选装包,オプションパッケージ,豪华独立6座,ラグジュアリー独立6人乗り,-,-,-,○ オプション（価格未定）
选装包,オプションパッケージ,999纯金天马徽标,999純金ペガサスエンブレム,-,-,-,○ オプション（15000元）
