セクション,項目,狮铂拓界 2026款 1.5T 两驱舒适版,狮铂拓界 2026款 1.5T 两驱豪华版,狮铂拓界 2026款 1.5T 两驱尊贵版,狮铂拓界 2026款 2.0T 两驱尊贵版,狮铂拓界 2026款 2.0T 四驱尊贵版,狮铂拓界 2026款 2.0T 两驱旗舰版,狮铂拓界 2026款 2.0T 四驱旗舰版,狮铂拓界 2025款 1.5T 两驱豪华版,狮铂拓界 2025款 1.5T 两驱豪华舒享版,狮铂拓界 2025款 1.5T 两驱尊贵智享版,狮铂拓界 2025款 1.5T 两驱尊贵版,狮铂拓界 2025款 2.0T 两驱豪华版,狮铂拓界 2025款 2.0T 两驱豪华舒享版,狮铂拓界 2025款 2.0T 两驱尊贵智享版,狮铂拓界 2025款 2.0T 两驱尊贵版,狮铂拓界 2025款 2.0T 四驱豪华版,狮铂拓界 2025款 2.0L HEV 两驱豪华版,狮铂拓界 2025款 2.0T 四驱豪华舒享版,狮铂拓界 2025款 2.0T 四驱尊贵智享版,狮铂拓界 2025款 2.0T 四驱尊贵版,狮铂拓界 2025款 2.0L HEV 两驱尊贵版,狮铂拓界 2025款 2.0T 两驱旗舰版,狮铂拓界 2025款 2.0T 四驱旗舰版,狮铂拓界 2025款 2.0L HEV 两驱旗舰版
车内充电,手机无线充电功率,-,-,-,-,-,-,-,-,-,-,● 15W,-,-,-,● 15W,-,-,-,-,● 15W,● 15W,● 15W,● 15W,● 15W
车内充电,行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,"● 真皮
● 仿皮","● 真皮
● 仿皮","● 真皮
● 仿皮","● 真皮
● 仿皮","● 真皮
● 仿皮",● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,"○ 真皮
● 仿皮",● 仿皮,● 仿皮,● 仿皮,● 仿皮,"○ 真皮
● 仿皮","○ 真皮
● 仿皮",● 真皮,● 真皮,● 真皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副 ○,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副 ○,主 ● /副 ○,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,-,○ 加热,"● 加热
○ 通风","● 加热
○ 通风","● 加热
○ 通风","● 加热
● 通风","● 加热
● 通风",-,-,-,-,-,-,-,"○ 加热
○ 通风",-,-,-,-,"○ 加热
○ 通风","○ 加热
○ 通风","● 加热
● 通风","● 加热
● 通风","● 加热
● 通风"
座椅配置,电动座椅记忆功能,-,-,○ 驾驶位,○ 驾驶位,○ 驾驶位,● 驾驶位,● 驾驶位,-,-,-,-,-,-,-,○ 驾驶位,-,-,-,-,○ 驾驶位,○ 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,●,●,●,●,●,-,-,-,-,-,-,-,○,-,-,-,-,○,○,●,●,●
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,第二排座椅功能,-,-,○ 加热,○ 加热,○ 加热,● 加热,● 加热,-,-,-,-,-,-,-,○ 加热,-,-,-,-,○ 加热,○ 加热,● 加热,● 加热,● 加热
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,○ Harman/Kardon哈曼卡顿,○ Harman/Kardon哈曼卡顿,○ Harman/Kardon哈曼卡顿,○ Harman/Kardon哈曼卡顿,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,● 6喇叭,"● 6喇叭
○ 8喇叭","● 6喇叭
○ 8喇叭","● 6喇叭
○ 8喇叭","● 6喇叭
○ 8喇叭",● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 8喇叭,● 8喇叭,● 8喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,● 多色,● 多色,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 多色,● 多色,● 多色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
选装包,四季无忧包,-,-,○ 选配 (4000元),○ 选配 (4000元),○ 选配 (4000元),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
选装包,便利舒适包,-,-,○ 选配 (4500元),○ 选配 (4500元),○ 选配 (4500元),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
选装包,X-Line,-,-,-,○ 选配 (15000元),○ 选配 (15000元),○ 选配 (15000元),○ 选配 (15000元),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
选装包,高级真皮座椅,-,-,-,-,-,○ 选配 (3000元),○ 选配 (3000元),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
选装包,时尚设计包,-,-,-,-,-,-,-,-,-,○ 选配 (3000元),○ 选配 (3000元),-,-,-,-,-,-,-,-,-,○ 选配 (3000元),-,-,○ 选配 (3000元)
选装包,智能安全包,-,-,-,-,-,-,-,-,-,-,○ 选配 (5000元),-,-,-,○ 选配 (5000元),-,-,-,-,○ 选配 (5000元),○ 选配 (5000元),-,-,-
选装包,舒适座椅包,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○ 选配 (10000元),-,-,-,-,○ 选配 (10000元),○ 选配 (10000元),-,-,-
