セクション,セクション_ja,項目,項目_ja,2026年モデル 赤兎標準版,2025年モデル 標準版,2025年モデル 進階版,2025年モデル 標準版Ⅰ,2025年モデル 元境智行版,2025年モデル 卓越版,2025年モデル 業界版
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウィンドウワンタッチ昇降,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー機能,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶機能
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納"
互联/智能化,コネクティビティ／スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ／スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 12.8インチ,● 12.8インチ,● 15.6インチ,● 15.6インチ,● 12.8インチ,● 12.8インチ
互联/智能化,コネクティビティ／スマート機能,副驾娱乐屏尺寸,助手席エンタメ画面サイズ,● 15.6インチ,● 12.8インチ,● 12.8インチ,● 15.6インチ,● 15.6インチ,● 12.8インチ,● 12.8インチ
互联/智能化,コネクティビティ／スマート機能,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● イーリアン（Yilian）","● CarPlay対応
● イーリアン（Yilian）","● CarPlay対応
● イーリアン（Yilian）","● CarPlay対応
● イーリアン（Yilian）","● CarPlay対応
● イーリアン（Yilian）",● イーリアン（Yilian）,● イーリアン（Yilian）
互联/智能化,コネクティビティ／スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
○ シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
○ シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション"
互联/智能化,コネクティビティ／スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● 北京市,● 北京市,● 北京市,● 北京市,● 北京市,● 北京市,● 北京市
互联/智能化,コネクティビティ／スマート機能,语音免唤醒词,音声起動ワード不要,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
互联/智能化,コネクティビティ／スマート機能,语音连续识别,連続音声認識,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,可见即可说,見てすぐ話せる,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,应用商店,アプリストア,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,车载智能系统,車載インテリジェントシステム,● BEIJING OS,● BEIJING OS,● BEIJING OS,● BEIJING OS,● BEIJING OS,● BEIJING OS,● BEIJING OS
互联/智能化,コネクティビティ／スマート機能,车机智能芯片,車載チップ,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
互联/智能化,コネクティビティ／スマート機能,车机系统内存(GB),車載システムメモリ(GB),● 16,-,-,● 16,● 16,-,-
互联/智能化,コネクティビティ／スマート機能,车机系统存储(GB),車載システムストレージ(GB),● 128,-,-,● 128,● 128,-,-
互联/智能化,コネクティビティ／スマート機能,多指飞屏操控,マルチタッチ画面操作,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,车联网,車載ネットワーク,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,コネクティビティ／スマート機能,OTA升级,OTAアップデート,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス／修理予約"
互联/智能化,コネクティビティ／スマート機能,主动降噪,アクティブノイズキャンセリング,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,车载KTV,車載カラオケ,●,-,-,●,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ハンドル位置調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ハンドル,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,-,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,●,●,-,-,●,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,"● 自動防眩目
● ミラーストリーミング",● 自動防眩目,"● 自動防眩目
● ミラーストリーミング",● 手動防眩目,"● 自動防眩目
○ ミラーストリーミング",● 自動防眩目,● 自動防眩目
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),●,●,●,●,●,●,●
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,-,● 前席,-,● 前席,● 前席,-
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,-,● 50W,-,● 50W,● 50W,-
座椅配置,シート装備,座椅材质,シート素材,● 本革,● 合成皮革,● 本革,● 合成皮革,"○ 本革
● 合成皮革",● 本革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後スライド調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後スライド調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後スライド調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後スライド調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後スライド調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後スライド調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後スライド調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後スライド調整
● リクライニング調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後スライド調整
● リクライニング調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後スライド調整
● リクライニング調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後スライド調整
● リクライニング調整
● 高さ調整（2方向）","● 前後スライド調整
● リクライニング調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後スライド調整
● リクライニング調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後スライド調整
● リクライニング調整
● 高さ調整（2方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● シートヒーター
● ベンチレーション
● マッサージ機能","● シートヒーター
● ベンチレーション","● シートヒーター
● ベンチレーション
● マッサージ機能","● シートヒーター
● ベンチレーション","● シートヒーター
● ベンチレーション
○ マッサージ機能","● シートヒーター
● ベンチレーション","● シートヒーター
● ベンチレーション"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整
座椅配置,シート装備,零重力座椅,ゼログラビティシート,● 助手席,-,● 助手席,-,● 助手席,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シートの倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,● Infinity（インフィニティ）,-,● Infinity（インフィニティ）,-,● Infinity（インフィニティ）,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 12スピーカー,● 10スピーカー,● 12スピーカー,● 10スピーカー,● 12スピーカー,● 10スピーカー,● 10スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 単色表示,● 単色表示,● 256色表示,● 単色表示,● 256色表示,● 単色表示,● 単色表示
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席用エアアウトレット,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,●,●,-,-,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,●,●,-,-,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,●,●,-,-,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,●,●,-,-,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–,-,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,-,–
选装包,オプションパッケージ,户外越野包,アウトドアオフロードパッケージ,-,"○ オプション（10,000元）","○ オプション（10,000元）","○ オプション（10,000元）","○ オプション（10,000元）",-,-
选装包,オプションパッケージ,舒享包,快適パッケージ,-,-,-,-,"○ オプション（6,000元）",-,-
