セクション,項目,锐胜M8新能源 2026款 增程版 180尊享型 7座,锐胜M8新能源 2026款 增程版 230尊享型 7座,锐胜M8新能源 2026款 增程版 230尊享型 9座,锐胜M8新能源 2026款 增程版 230尊贵型 7座,锐胜M8新能源 2026款 增程版 230中级营运 7座,锐胜M8新能源 2026款 增程版 230中级营运 9座,锐胜M8新能源 2026款 增程版 230高级营运 7座,锐胜M8新能源 2026款 增程版 230高级营运 9座,锐胜M8新能源 2026款 增程版 230旗舰型 7座,锐胜M8新能源 2026款 增程版 230高级营运旗舰型 7座,锐胜M8新能源 2026款 增程版 230行政版 7座,锐胜M8新能源 2026款 纯电版 505尊享型 7座,锐胜M8新能源 2026款 纯电版 505尊享型 9座,锐胜M8新能源 2026款 纯电版 505中级营运 7座,锐胜M8新能源 2026款 纯电版 560尊享型 7座,锐胜M8新能源 2026款 纯电版 505中级营运 9座,锐胜M8新能源 2026款 纯电版 560尊享型 9座,锐胜M8新能源 2026款 纯电版 560中级营运 7座,锐胜M8新能源 2026款 纯电版 560中级营运 9座,锐胜M8新能源 2026款 纯电版 560高级营运 7座,锐胜M8新能源 2026款 纯电版 560尊贵型 7座,锐胜M8新能源 2026款 纯电版 560高级营运 9座,锐胜M8新能源 2026款 纯电版 560旗舰型 7座,锐胜M8新能源 2026款 纯电版 560高级营运旗舰型 7座,锐胜M8新能源 2026款 纯电版 560行政版 7座,锐胜M8新能源 2026款 改款 纯电版 505盛航版 7座,锐胜M8新能源 2026款 纯电版 505盛航版 7座
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18
车轮制动,后轮胎规格,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,-,-,-,前 ● /后-,-,-,-,-,前 ● /后-,前 ● /后-,前 ● /后-,-,-,-,-,-,-,-,-,-,前 ● /后-,-,前 ● /后-,前 ● /后-,前 ● /后-,-,-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
主动安全,主动刹车/主动安全系统,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,●,-,●,●,●,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,DOW开门预警,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,●,-,●,●,●,-,-,-
主动安全,前方碰撞预警,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,●,-,●,●,●,-,-,-
主动安全,后方碰撞预警,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,●,-,●,●,●,-,-,-
主动安全,低速行车警告,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,○,○,○,○,○,○,-,-
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前-/后 ●,前-/后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 倒车影像
驾驶硬件,透明底盘/540度影像,-,-,-,●,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,●,●,-,-
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 2个,● 2个,● 2个,● 5个,● 2个,● 2个,● 5个,● 5个,● 5个,● 5个,● 5个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 2个,● 2个
驾驶硬件,超声波雷达数量,● 4个,● 4个,● 4个,● 6个,● 4个,● 4个,● 6个,● 6个,● 6个,● 6个,● 6个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 6个,● 6个,● 6个,● 6个,● 6个,● 6个,● 4个,● 4个
驾驶硬件,毫米波雷达数量,-,-,-,-,-,-,● 2个,● 2个,● 2个,● 2个,-,-,-,-,-,-,-,-,-,● 2个,-,● 2个,● 2个,● 2个,-,-,-
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 定速巡航
驾驶功能,辅助驾驶等级,-,-,-,-,-,-,● L2,● L2,● L2,● L2,-,-,-,-,-,-,-,-,-,● L2,-,● L2,● L2,● L2,-,-,-
驾驶功能,倒车车侧预警系统,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,●,-,●,●,●,-,-,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,●,-,●,●,●,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,●,-,●,●,●,-,-,-
驾驶功能,车道居中保持,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,●,-,●,●,●,-,-,-
驾驶功能,道路交通标识识别,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,●,-,●,●,●,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,侧滑门形式,● 双侧手动,● 双侧手动,● 双侧手动,● 双侧电动,● 双侧手动,● 双侧手动,● 双侧手动,● 双侧手动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧手动,● 双侧手动,● 双侧手动,● 双侧手动,● 双侧手动,● 双侧手动,● 双侧手动,● 双侧手动,● 双侧手动,● 双侧电动,● 双侧手动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧手动
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,● 驾驶位,● 前排,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 前排,● 前排,● 前排,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 前排,● 驾驶位,● 前排,● 前排,● 前排,● 驾驶位,● 驾驶位
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,-,-,-,-,●,-,●,●,●,-,●,-,●,-,-,-,●,-,●,-,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶",-,-,-,-,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶",-,"● 主驾位
● 副驾驶",-,"● 主驾位
● 副驾驶",-,-,-,"● 主驾位
● 副驾驶",-,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,"● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink"
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调"
互联/智能化,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
